CED_NAME21	Sex	persons
Banks	F	83028
Banks	M	79869
Barton	F	91139
Barton	M	90505
Bennelong	F	97697
Bennelong	M	93521
Berowra	F	77373
Berowra	M	75201
Blaxland	F	92095
Blaxland	M	96511
Bradfield	F	87529
Bradfield	M	81650
Calare	F	84502
Calare	M	84728
Chifley	F	101944
Chifley	M	100120
Cook	F	76813
Cook	M	72635
Cowper	F	88020
Cowper	M	82185
Cunningham	F	82109
Cunningham	M	79564
Dobell	F	83974
Dobell	M	78744
Eden-Monaro	F	80724
Eden-Monaro	M	80807
Farrer	F	87339
Farrer	M	85777
Fowler	F	87839
Fowler	M	85684
Gilmore	F	83053
Gilmore	M	80692
Grayndler	F	77216
Grayndler	M	73515
Greenway	F	100159
Greenway	M	101385
Hughes	F	76248
Hughes	M	74052
Hume	F	86665
Hume	M	85432
Hunter	F	87384
Hunter	M	87036
Kingsford Smith	F	92410
Kingsford Smith	M	89527
Lindsay	F	95216
Lindsay	M	92631
Lyne	F	80459
Lyne	M	76884
Macarthur	F	104213
Macarthur	M	101285
Mackellar	F	79420
Mackellar	M	75968
Macquarie	F	74011
Macquarie	M	71325
McMahon	F	88217
McMahon	M	87426
Mitchell	F	95838
Mitchell	M	92376
New England	F	80894
New England	M	77752
Newcastle	F	84482
Newcastle	M	81680
North Sydney	F	86835
North Sydney	M	80375
Page	F	85376
Page	M	83408
Parkes	F	78220
Parkes	M	76753
Parramatta	F	99517
Parramatta	M	103754
Paterson	F	89647
Paterson	M	85927
Reid	F	101763
Reid	M	100054
Richmond	F	86993
Richmond	M	80437
Riverina	F	81571
Riverina	M	79774
Robertson	F	78375
Robertson	M	73596
Shortland	F	77775
Shortland	M	74146
Sydney	F	97307
Sydney	M	106905
Warringah	F	78145
Warringah	M	72669
Watson	F	90349
Watson	M	92809
Wentworth	F	76081
Wentworth	M	70021
Werriwa	F	100525
Werriwa	M	98652
Whitlam	F	86507
Whitlam	M	82035
No usual address (NSW)	F	4997
No usual address (NSW)	M	6375
Aston	F	81164
Aston	M	77940
Ballarat	F	78063
Ballarat	M	74181
Bendigo	F	78286
Bendigo	M	74267
Bruce	F	88799
Bruce	M	90343
Calwell	F	93729
Calwell	M	94756
Casey	F	79535
Casey	M	77906
Chisholm	F	93552
Chisholm	M	90099
Cooper	F	80287
Cooper	M	75990
Corangamite	F	78661
Corangamite	M	74092
Corio	F	81268
Corio	M	77971
Deakin	F	86289
Deakin	M	80822
Dunkley	F	80871
Dunkley	M	77143
Flinders	F	77714
Flinders	M	72638
Fraser	F	87592
Fraser	M	88791
Gellibrand	F	94911
Gellibrand	M	95075
Gippsland	F	78058
Gippsland	M	76298
Goldstein	F	80469
Goldstein	M	74264
Gorton	F	88900
Gorton	M	89201
Hawke	F	83986
Hawke	M	81404
Higgins	F	80562
Higgins	M	74497
Holt	F	93721
Holt	M	93534
Hotham	F	97169
Hotham	M	98421
Indi	F	79610
Indi	M	77010
Isaacs	F	82689
Isaacs	M	77828
Jagajaga	F	81452
Jagajaga	M	77412
Kooyong	F	85306
Kooyong	M	78044
La Trobe	F	86111
La Trobe	M	83354
Lalor	F	100333
Lalor	M	100992
Macnamara	F	85969
Macnamara	M	82107
Mallee	F	84301
Mallee	M	83340
Maribyrnong	F	78659
Maribyrnong	M	74746
McEwen	F	80801
McEwen	M	79087
Melbourne	F	101559
Melbourne	M	98410
Menzies	F	89005
Menzies	M	83846
Monash	F	74883
Monash	M	71468
Nicholls	F	80000
Nicholls	M	79509
Scullin	F	85498
Scullin	M	84897
Wannon	F	77714
Wannon	M	76844
Wills	F	81096
Wills	M	77216
No usual address (Vic.)	F	3915
No usual address (Vic.)	M	5170
Migratory - Offshore - Shipping (Vic.)	F	6
Migratory - Offshore - Shipping (Vic.)	M	36
Blair	F	95955
Blair	M	93989
Bonner	F	83459
Bonner	M	79425
Bowman	F	81498
Bowman	M	77727
Brisbane	F	92237
Brisbane	M	91020
Capricornia	F	78011
Capricornia	M	81784
Dawson	F	80096
Dawson	M	81985
Dickson	F	80662
Dickson	M	78905
Fadden	F	100202
Fadden	M	94416
Fairfax	F	87937
Fairfax	M	81533
Fisher	F	89519
Fisher	M	82661
Flynn	F	77766
Flynn	M	80918
Forde	F	98792
Forde	M	94551
Griffith	F	90780
Griffith	M	86810
Groom	F	83197
Groom	M	77671
Herbert	F	82738
Herbert	M	81309
Hinkler	F	80821
Hinkler	M	75739
Kennedy	F	84011
Kennedy	M	87392
Leichhardt	F	88573
Leichhardt	M	87048
Lilley	F	82842
Lilley	M	78720
Longman	F	95091
Longman	M	91490
Maranoa	F	75875
Maranoa	M	75547
McPherson	F	85643
McPherson	M	77965
Moncrieff	F	93016
Moncrieff	M	89128
Moreton	F	84858
Moreton	M	83616
Oxley	F	93200
Oxley	M	93316
Petrie	F	96101
Petrie	M	89184
Rankin	F	94401
Rankin	M	92452
Ryan	F	83367
Ryan	M	80434
Wide Bay	F	76871
Wide Bay	M	75366
Wright	F	91387
Wright	M	90275
No usual address (Qld)	F	6807
No usual address (Qld)	M	7861
Migratory - Offshore - Shipping (Qld)	F	28
Migratory - Offshore - Shipping (Qld)	M	149
Adelaide	F	99379
Adelaide	M	98241
Barker	F	85087
Barker	M	86597
Boothby	F	91268
Boothby	M	84355
Grey	F	84624
Grey	M	86860
Hindmarsh	F	88465
