CED_NAME16	HomeCensusNight	Sex	persons
Corangamite	1	M	70533
Corio	0	F	2651
Corio	0	M	2785
Corio	1	F	78614
Corio	1	M	75194
Deakin	0	F	2299
Deakin	0	M	2156
Deakin	1	F	83986
Deakin	1	M	78661
Dunkley	0	F	2291
Dunkley	0	M	2375
Dunkley	1	F	78576
Dunkley	1	M	74772
Flinders	0	F	3835
Flinders	0	M	3932
Flinders	1	F	73875
Flinders	1	M	68705
Fraser	0	F	2042
Fraser	0	M	2089
Fraser	1	F	85554
Fraser	1	M	86706
Gellibrand	0	F	1858
Gellibrand	0	M	1985
Gellibrand	1	F	93052
Gellibrand	1	M	93092
Gippsland	0	F	3426
Gippsland	0	M	3976
Gippsland	1	F	74635
Gippsland	1	M	72321
Goldstein	0	F	2657
Goldstein	0	M	2445
Goldstein	1	F	77813
Goldstein	1	M	71818
Gorton	0	F	1328
Gorton	0	M	1372
Gorton	1	F	87574
Gorton	1	M	87822
Hawke	0	F	1882
Hawke	0	M	1965
Hawke	1	F	82103
Hawke	1	M	79442
Higgins	0	F	3304
Higgins	0	M	3015
Higgins	1	F	77260
Higgins	1	M	71486
Holt	0	F	1557
Holt	0	M	1798
Holt	1	F	92162
Holt	1	M	91739
Hotham	0	F	2032
Hotham	0	M	1976
Hotham	1	F	95140
Hotham	1	M	96442
Indi	0	F	3577
Indi	0	M	3983
Indi	1	F	76032
Indi	1	M	73024
Isaacs	0	F	2024
Isaacs	0	M	1961
Isaacs	1	F	80670
Isaacs	1	M	75871
Jagajaga	0	F	2232
Jagajaga	0	M	2202
Jagajaga	1	F	79225
Jagajaga	1	M	75207
Kooyong	0	F	2937
Kooyong	0	M	2679
Kooyong	1	F	82375
Kooyong	1	M	75367
La Trobe	0	F	1931
La Trobe	0	M	1995
La Trobe	1	F	84187
La Trobe	1	M	81361
Lalor	0	F	1563
Lalor	0	M	1735
Lalor	1	F	98764
Lalor	1	M	99255
Macnamara	0	F	3721
Macnamara	0	M	3267
Macnamara	1	F	82254
Macnamara	1	M	78846
Mallee	0	F	3166
Mallee	0	M	3859
Mallee	1	F	81131
Mallee	1	M	79478
Maribyrnong	0	F	2234
Maribyrnong	0	M	2173
Maribyrnong	1	F	76426
Maribyrnong	1	M	72570
McEwen	0	F	2103
McEwen	0	M	2262
McEwen	1	F	78701
McEwen	1	M	76824
Melbourne	0	F	4387
Melbourne	0	M	4072
Melbourne	1	F	97176
Melbourne	1	M	94334
Menzies	0	F	2105
Menzies	0	M	1979
Menzies	1	F	86901
Menzies	1	M	81869
Monash	0	F	3479
