CED_NAME21	Age	NeedsAssistance	Sex	persons
Banks	0-4		F	183
Banks	0-4		M	254
Banks	0-4	0	F	3977
Banks	0-4	0	M	4341
Banks	0-4	1	F	31
Banks	0-4	1	M	77
Banks	5-14		F	443
Banks	5-14		M	433
Banks	5-14	0	F	8615
Banks	5-14	0	M	8848
Banks	5-14	1	F	171
Banks	5-14	1	M	421
Banks	15-19		F	180
Banks	15-19		M	178
Banks	15-19	0	F	4126
Banks	15-19	0	M	4396
Banks	15-19	1	F	84
Banks	15-19	1	M	172
Banks	20-24		F	240
Banks	20-24		M	275
Banks	20-24	0	F	4992
Banks	20-24	0	M	5316
Banks	20-24	1	F	69
Banks	20-24	1	M	122
Banks	25-34		F	592
Banks	25-34		M	647
Banks	25-34	0	F	10578
Banks	25-34	0	M	10618
Banks	25-34	1	F	140
Banks	25-34	1	M	195
Banks	35-44		F	520
Banks	35-44		M	511
Banks	35-44	0	F	10752
Banks	35-44	0	M	10110
Banks	35-44	1	F	176
Banks	35-44	1	M	163
Banks	45-54		F	428
Banks	45-54		M	368
Banks	45-54	0	F	10158
Banks	45-54	0	M	9277
Banks	45-54	1	F	330
Banks	45-54	1	M	262
Banks	55-64		F	382
Banks	55-64		M	402
Banks	55-64	0	F	9600
Banks	55-64	0	M	9077
Banks	55-64	1	F	630
Banks	55-64	1	M	526
Banks	65-74		F	305
Banks	65-74		M	325
Banks	65-74	0	F	6691
Banks	65-74	0	M	6237
Banks	65-74	1	F	936
Banks	65-74	1	M	659
Banks	75-84		F	307
Banks	75-84		M	220
Banks	75-84	0	F	3191
Banks	75-84	0	M	2879
Banks	75-84	1	F	1405
Banks	75-84	1	M	859
Banks	85+		F	404
Banks	85+		M	165
Banks	85+	0	F	937
Banks	85+	0	M	819
Banks	85+	1	F	1466
Banks	85+	1	M	724
Barton	0-4		F	264
Barton	0-4		M	310
Barton	0-4	0	F	4426
Barton	0-4	0	M	4747
Barton	0-4	1	F	40
Barton	0-4	1	M	62
Barton	5-14		F	445
Barton	5-14		M	473
Barton	5-14	0	F	7981
Barton	5-14	0	M	8275
Barton	5-14	1	F	148
Barton	5-14	1	M	328
Barton	15-19		F	177
Barton	15-19		M	223
Barton	15-19	0	F	3625
Barton	15-19	0	M	4031
Barton	15-19	1	F	68
Barton	15-19	1	M	131
Barton	20-24		F	366
Barton	20-24		M	450
Barton	20-24	0	F	6004
Barton	20-24	0	M	6697
Barton	20-24	1	F	79
Barton	20-24	1	M	104
Barton	25-34		F	1073
Barton	25-34		M	1162
Barton	25-34	0	F	16225
Barton	25-34	0	M	16445
Barton	25-34	1	F	178
Barton	25-34	1	M	196
Barton	35-44		F	697
Barton	35-44		M	744
Barton	35-44	0	F	12613
Barton	35-44	0	M	12859
Barton	35-44	1	F	187
Barton	35-44	1	M	182
Barton	45-54		F	524
Barton	45-54		M	538
Barton	45-54	0	F	10514
Barton	45-54	0	M	9790
Barton	45-54	1	F	330
Barton	45-54	1	M	265
Barton	55-64		F	417
Barton	55-64		M	477
Barton	55-64	0	F	8926
Barton	55-64	0	M	8395
Barton	55-64	1	F	586
Barton	55-64	1	M	450
Barton	65-74		F	359
Barton	65-74		M	378
Barton	65-74	0	F	6253
Barton	65-74	0	M	5841
Barton	65-74	1	F	1007
Barton	65-74	1	M	773
Barton	75-84		F	378
Barton	75-84		M	369
Barton	75-84	0	F	3009
Barton	75-84	0	M	2890
Barton	75-84	1	F	1657
Barton	75-84	1	M	1053
Barton	85+		F	492
Barton	85+		M	297
Barton	85+	0	F	669
Barton	85+	0	M	635
Barton	85+	1	F	1417
Barton	85+	1	M	948
Bennelong	0-4		F	218
Bennelong	0-4		M	241
Bennelong	0-4	0	F	4908
Bennelong	0-4	0	M	5102
Bennelong	0-4	1	F	32
Bennelong	0-4	1	M	62
Bennelong	5-14		F	377
Bennelong	5-14		M	421
Bennelong	5-14	0	F	10159
Bennelong	5-14	0	M	10599
Bennelong	5-14	1	F	140
Bennelong	5-14	1	M	368
Bennelong	15-19		F	149
Bennelong	15-19		M	148
Bennelong	15-19	0	F	4257
Bennelong	15-19	0	M	4580
Bennelong	15-19	1	F	69
Bennelong	15-19	1	M	99
Bennelong	20-24		F	264
Bennelong	20-24		M	248
Bennelong	20-24	0	F	5728
Bennelong	20-24	0	M	6026
Bennelong	20-24	1	F	66
Bennelong	20-24	1	M	98
Bennelong	25-34		F	752
Bennelong	25-34		M	779
Bennelong	25-34	0	F	15866
Bennelong	25-34	0	M	15081
Bennelong	25-34	1	F	140
Bennelong	25-34	1	M	167
Bennelong	35-44		F	601
Bennelong	35-44		M	640
Bennelong	35-44	0	F	15114
Bennelong	35-44	0	M	14628
Bennelong	35-44	1	F	170
Bennelong	35-44	1	M	171
Bennelong	45-54		F	381
Bennelong	45-54		M	413
Bennelong	45-54	0	F	11235
Bennelong	45-54	0	M	10362
Bennelong	45-54	1	F	280
Bennelong	45-54	1	M	228
Bennelong	55-64		F	366
Bennelong	55-64		M	376
Bennelong	55-64	0	F	10187
Bennelong	55-64	0	M	9265
Bennelong	55-64	1	F	499
Bennelong	55-64	1	M	382
Bennelong	65-74		F	270
Bennelong	65-74		M	277
