CED_NAME16	HomeCensusNight	persons
Banks	0	3531
Banks	1	159367
Barton	0	4008
Barton	1	177637
Bennelong	0	4444
Bennelong	1	186773
Berowra	0	3305
Berowra	1	149270
Blaxland	0	3642
Blaxland	1	184967
Bradfield	0	4279
Bradfield	1	164899
Calare	0	7506
Calare	1	161725
Chifley	0	3528
Chifley	1	198537
Cook	0	4003
Cook	1	145443
Cowper	0	7265
Cowper	1	162937
Cunningham	0	5251
Cunningham	1	156429
Dobell	0	4513
Dobell	1	158204
Eden-Monaro	0	7531
Eden-Monaro	1	154000
Farrer	0	7965
Farrer	1	165149
Fowler	0	4014
Fowler	1	169510
Gilmore	0	8107
Gilmore	1	155639
Grayndler	0	5431
Grayndler	1	145296
Greenway	0	2806
Greenway	1	198744
Hughes	0	3577
Hughes	1	146718
Hume	0	4843
Hume	1	167251
Hunter	0	6427
Hunter	1	167990
Kingsford Smith	0	5669
Kingsford Smith	1	176265
Lindsay	0	4138
Lindsay	1	183711
Lyne	0	7170
Lyne	1	150177
Macarthur	0	4207
Macarthur	1	201289
Mackellar	0	4631
Mackellar	1	150763
Macquarie	0	4136
Macquarie	1	141198
McMahon	0	3108
McMahon	1	172538
Mitchell	0	3102
Mitchell	1	185113
New England	0	6937
New England	1	151711
Newcastle	0	7238
Newcastle	1	158926
North Sydney	0	6518
North Sydney	1	160686
Page	0	6877
Page	1	161909
Parkes	0	7463
Parkes	1	147505
Parramatta	0	3911
Parramatta	1	199365
Paterson	0	6664
Paterson	1	168917
Reid	0	4473
Reid	1	197344
Richmond	0	7300
Richmond	1	160140
Riverina	0	7021
Riverina	1	154330
Robertson	0	4662
Robertson	1	147310
Shortland	0	5464
Shortland	1	146456
Sydney	0	9265
Sydney	1	194954
Warringah	0	5709
Warringah	1	145108
Watson	0	3787
Watson	1	179368
Wentworth	0	7646
Wentworth	1	138452
Werriwa	0	3519
Werriwa	1	195646
Whitlam	0	4863
Whitlam	1	163682
No usual address (NSW)	0	11371
Aston	0	3522
Aston	1	155584
Ballarat	0	5914
Ballarat	1	146328
Bendigo	0	5630
Bendigo	1	146919
Bruce	0	3508
Bruce	1	175636
Calwell	0	2778
Calwell	1	185710
Casey	0	5226
Casey	1	152218
Chisholm	0	4136
Chisholm	1	179517
Cooper	0	4790
Cooper	1	151494
Corangamite	0	6857
Corangamite	1	145895
Corio	0	5437
Corio	1	153807
Deakin	0	4454
Deakin	1	162653
Dunkley	0	4663
Dunkley	1	153349
Flinders	0	7768
Flinders	1	142587
Fraser	0	4126
Fraser	1	172260
Gellibrand	0	3847
Gellibrand	1	186144
Gippsland	0	7406
Gippsland	1	146951
Goldstein	0	5101
Goldstein	1	149631
Gorton	0	2698
Gorton	1	175397
Hawke	0	3846
Hawke	1	161544
Higgins	0	6314
Higgins	1	148749
Holt	0	3355
Holt	1	183899
Hotham	0	4006
Hotham	1	191581
Indi	0	7561
Indi	1	149053
Isaacs	0	3986
Isaacs	1	156540
Jagajaga	0	4433
Jagajaga	1	154436
Kooyong	0	5614
Kooyong	1	157743
La Trobe	0	3923
La Trobe	1	165546
Lalor	0	3305
Lalor	1	198021
Macnamara	0	6980
Macnamara	1	161095
Mallee	0	7025
Mallee	1	160613
Maribyrnong	0	4411
Maribyrnong	1	148997
McEwen	0	4359
McEwen	1	155529
Melbourne	0	8460
Melbourne	1	191509
Menzies	0	4083
Menzies	1	168770
Monash	0	7143
Monash	1	139205
Nicholls	0	6682
Nicholls	1	152825
Scullin	0	2983
Scullin	1	167415
Wannon	0	7452
Wannon	1	147106
Wills	0	4456
Wills	1	153863
No usual address (Vic.)	0	9089
Migratory - Offshore - Shipping (Vic.)	1	40
Blair	0	6354
Blair	1	183594
Bonner	0	4510
Bonner	1	158377
Bowman	0	5531
Bowman	1	153690
Brisbane	0	7642
Brisbane	1	175610
Capricornia	0	10416
Capricornia	1	149376
Dawson	0	10883
Dawson	1	151199
Dickson	0	4949
Dickson	1	154629
Fadden	0	6192
Fadden	1	188423
Fairfax	0	7432
Fairfax	1	162039
Fisher	0	7696
Fisher	1	164494
Flynn	0	9560
Flynn	1	149123
Forde	0	5535
Forde	1	187809
Griffith	0	6609
Griffith	1	170982
Groom	0	7212
Groom	1	153655
Herbert	0	8508
Herbert	1	155538
Hinkler	0	8326
Hinkler	1	148231
Kennedy	0	9710
Kennedy	1	161693
Leichhardt	0	9490
Leichhardt	1	166132
Lilley	0	5413
Lilley	1	156141
Longman	0	6855
Longman	1	179726
Maranoa	0	9095
Maranoa	1	142326
McPherson	0	6027
McPherson	1	157587
Moncrieff	0	6706
Moncrieff	1	175437
Moreton	0	4995
Moreton	1	163479
Oxley	0	4864
Oxley	1	181653
Petrie	0	5795
Petrie	1	179485
Rankin	0	4739
Rankin	1	182115
Ryan	0	5927
Ryan	1	157879
Wide Bay	0	8146
Wide Bay	1	144095
Wright	0	6134
Wright	1	175529
No usual address (Qld)	0	14670
Migratory - Offshore - Shipping (Qld)	0	70
Migratory - Offshore - Shipping (Qld)	1	112
Adelaide	0	6686
Adelaide	1	190933
Barker	0	8980
Barker	1	162705
Boothby	0	6734
Boothby	1	168896
Grey	0	11115
Grey	1	160373
Hindmarsh	0	6143
Hindmarsh	1	166392
Kingston	0	6103
Kingston	1	160005
Makin	0	5181
Makin	1	168575
Mayo	0	8907
Mayo	1	164823
Spence	0	6410
Spence	1	181813
Sturt	0	5608
Sturt	1	181743
No usual address (SA)	0	3377
Migratory - Offshore - Shipping (SA)	1	12
Brand	0	10226
Brand	1	171316
Burt	0	6856
Burt	1	175478
Canning	0	11453
Canning	1	148494
Cowan	0	6607
Cowan	1	173569
Curtin	0	8951
Curtin	1	164089
Durack	0	14662
Durack	1	186787
Forrest	0	12566
Forrest	1	145434
Fremantle	0	8328
Fremantle	1	158450
Hasluck	0	8891
Hasluck	1	165848
Moore	0	7852
Moore	1	156259
O'Connor	0	13612
O'Connor	1	162463
Pearce	0	8161
Pearce	1	169351
Perth	0	9125
Perth	1	172805
Swan	0	9211
Swan	1	180669
Tangney	0	7025
Tangney	1	176929
No usual address (WA)	0	8055
Migratory - Offshore - Shipping (WA)	0	5
Migratory - Offshore - Shipping (WA)	1	511
Bass	0	5184
Bass	1	104795
Braddon	0	6024
Braddon	1	103524
Clark	0	4790
Clark	1	106955
Franklin	0	5158
Franklin	1	106677
Lyons	0	5796
Lyons	1	107269
No usual address (Tas.)	0	1377
Migratory - Offshore - Shipping (Tas.)	1	16
Lingiari	0	7371
Lingiari	1	113628
Solomon	0	6231
Solomon	1	104052
No usual address (NT)	0	3500
Migratory - Offshore - Shipping (NT)	1	95
Bean	0	5137
Bean	1	147470
Canberra	0	6332
Canberra	1	139176
Fenner	0	4305
Fenner	1	153961
No usual address (ACT)	0	605
No usual address (OT)	0	11
