CED_NAME21	BornAust	Sex	persons
Banks	0	F	34076
Banks	0	M	31299
Banks	1	F	45665
Banks	1	M	45385
Barton	0	F	46449
Barton	0	M	43648
Barton	1	F	40610
Barton	1	M	42503
Bennelong	0	F	50897
Bennelong	0	M	45753
Bennelong	1	F	43577
Bennelong	1	M	44611
Berowra	0	F	28545
Berowra	0	M	26034
Berowra	1	F	47247
Berowra	1	M	47615
Blaxland	0	F	45290
Blaxland	0	M	48399
Blaxland	1	F	40227
Blaxland	1	M	40754
Bradfield	0	F	41487
Bradfield	0	M	36064
Bradfield	1	F	43961
Bradfield	1	M	43668
Calare	0	F	7893
Calare	0	M	7782
Calare	1	F	70843
Calare	1	M	70895
Chifley	0	F	45815
Chifley	0	M	43772
Chifley	1	F	49597
Chifley	1	M	49892
Cook	0	F	18727
Cook	0	M	16248
Cook	1	F	55281
Cook	1	M	53577
Cowper	0	F	11513
Cowper	0	M	10168
Cowper	1	F	70633
Cowper	1	M	66298
Cunningham	0	F	18363
Cunningham	0	M	16966
Cunningham	1	F	60418
Cunningham	1	M	59274
Dobell	0	F	12261
Dobell	0	M	10849
Dobell	1	F	67395
Dobell	1	M	63909
Eden-Monaro	0	F	11923
Eden-Monaro	0	M	11437
Eden-Monaro	1	F	63777
Eden-Monaro	1	M	64126
Farrer	0	F	10053
Farrer	0	M	9787
Farrer	1	F	70361
Farrer	1	M	68589
Fowler	0	F	49947
Fowler	0	M	45039
Fowler	1	F	32600
Fowler	1	M	35184
Gilmore	0	F	11738
Gilmore	0	M	10668
Gilmore	1	F	65997
Gilmore	1	M	64609
Grayndler	0	F	25289
Grayndler	0	M	23693
Grayndler	1	F	48931
Grayndler	1	M	46529
Greenway	0	F	46419
Greenway	0	M	45839
Greenway	1	F	49850
Greenway	1	M	51307
Hughes	0	F	16768
Hughes	0	M	15269
Hughes	1	F	57687
Hughes	1	M	56848
Hume	0	F	11413
Hume	0	M	10783
Hume	1	F	71174
Hume	1	M	70436
Hunter	0	F	8749
Hunter	0	M	8268
Hunter	1	F	74637
Hunter	1	M	74430
Kingsford Smith	0	F	40794
Kingsford Smith	0	M	37615
Kingsford Smith	1	F	47201
Kingsford Smith	1	M	47240
Lindsay	0	F	22204
Lindsay	0	M	20841
Lindsay	1	F	67661
Lindsay	1	M	66698
Lyne	0	F	7776
Lyne	0	M	7007
Lyne	1	F	67400
Lyne	1	M	64642
Macarthur	0	F	33589
Macarthur	0	M	31674
Macarthur	1	F	65746
Macarthur	1	M	64810
Mackellar	0	F	22596
Mackellar	0	M	20570
Mackellar	1	F	54361
Mackellar	1	M	53074
Macquarie	0	F	11758
Macquarie	0	M	10785
Macquarie	1	F	59478
Macquarie	1	M	57756
McMahon	0	F	40250
McMahon	0	M	38784
McMahon	1	F	42967
McMahon	1	M	43267
Mitchell	0	F	40266
Mitchell	0	M	37353
Mitchell	1	F	53471
Mitchell	1	M	53025
New England	0	F	7469
New England	0	M	7046
New England	1	F	66409
New England	1	M	63836
Newcastle	0	F	12696
Newcastle	0	M	12194
Newcastle	1	F	68249
Newcastle	1	M	65812
North Sydney	0	F	36390
North Sydney	0	M	31247
North Sydney	1	F	47328
North Sydney	1	M	46369
Page	0	F	8929
Page	0	M	7895
Page	1	F	70153
Page	1	M	69035
Parkes	0	F	5281
Parkes	0	M	4954
Parkes	1	F	63474
Parkes	1	M	62295
Parramatta	0	F	55687
Parramatta	0	M	57601
Parramatta	1	F	38031
Parramatta	1	M	39575
Paterson	0	F	9300
Paterson	0	M	8485
Paterson	1	F	76513
Paterson	1	M	73452
Reid	0	F	53680
Reid	0	M	50854
Reid	1	F	43847
Reid	1	M	44709
Richmond	0	F	14728
Richmond	0	M	12768
Richmond	1	F	65850
Richmond	1	M	61512
Riverina	0	F	6782
Riverina	0	M	6797
Riverina	1	F	69215
Riverina	1	M	67176
Robertson	0	F	15270
Robertson	0	M	13910
Robertson	1	F	59376
Robertson	1	M	56254
Shortland	0	F	8507
Shortland	0	M	7505
Shortland	1	F	66206
Shortland	1	M	63728
Sydney	0	F	49343
Sydney	0	M	50610
Sydney	1	F	41846
Sydney	1	M	48734
Warringah	0	F	27489
Warringah	0	M	24338
Warringah	1	F	48297
Warringah	1	M	46085
Watson	0	F	44055
Watson	0	M	45375
Watson	1	F	40867
