CED_NAME21	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Banks	15-19		F	207
Banks	15-19		M	211
Banks	15-19	0	F	3977
Banks	15-19	0	M	4324
Banks	15-19	1	F	207
Banks	15-19	1	M	216
Banks	20-24		F	279
Banks	20-24		M	344
Banks	20-24	0	F	4681
Banks	20-24	0	M	5087
Banks	20-24	1	F	345
Banks	20-24	1	M	290
Banks	25-34		F	693
Banks	25-34		M	738
Banks	25-34	0	F	9735
Banks	25-34	0	M	10050
Banks	25-34	1	F	880
Banks	25-34	1	M	676
Banks	35-44		F	563
Banks	35-44		M	602
Banks	35-44	0	F	9264
Banks	35-44	0	M	9154
Banks	35-44	1	F	1623
Banks	35-44	1	M	1031
Banks	45-54		F	477
Banks	45-54		M	431
Banks	45-54	0	F	8298
Banks	45-54	0	M	8074
Banks	45-54	1	F	2136
Banks	45-54	1	M	1391
Banks	55-64		F	404
Banks	55-64		M	431
Banks	55-64	0	F	8138
Banks	55-64	0	M	8142
Banks	55-64	1	F	2071
Banks	55-64	1	M	1431
Banks	65-74		F	330
Banks	65-74		M	355
Banks	65-74	0	F	6472
Banks	65-74	0	M	6031
Banks	65-74	1	F	1134
Banks	65-74	1	M	836
Banks	75-84		F	409
Banks	75-84		M	285
Banks	75-84	0	F	4032
Banks	75-84	0	M	3281
Banks	75-84	1	F	463
Banks	75-84	1	M	390
Banks	85+		F	538
Banks	85+		M	218
Banks	85+	0	F	2153
Banks	85+	0	M	1326
Banks	85+	1	F	112
Banks	85+	1	M	168
Barton	15-19		F	221
Barton	15-19		M	251
Barton	15-19	0	F	3447
Barton	15-19	0	M	3902
Barton	15-19	1	F	208
Barton	15-19	1	M	230
Barton	20-24		F	440
Barton	20-24		M	522
Barton	20-24	0	F	5644
Barton	20-24	0	M	6416
Barton	20-24	1	F	371
Barton	20-24	1	M	316
Barton	25-34		F	1236
Barton	25-34		M	1397
Barton	25-34	0	F	15207
Barton	25-34	0	M	15560
Barton	25-34	1	F	1030
Barton	25-34	1	M	846
Barton	35-44		F	776
Barton	35-44		M	859
Barton	35-44	0	F	11075
Barton	35-44	0	M	11746
Barton	35-44	1	F	1648
Barton	35-44	1	M	1174
Barton	45-54		F	593
Barton	45-54		M	604
Barton	45-54	0	F	8457
Barton	45-54	0	M	8401
Barton	45-54	1	F	2318
Barton	45-54	1	M	1589
Barton	55-64		F	472
Barton	55-64		M	508
Barton	55-64	0	F	7538
Barton	55-64	0	M	7437
Barton	55-64	1	F	1916
Barton	55-64	1	M	1378
Barton	65-74		F	405
Barton	65-74		M	405
Barton	65-74	0	F	6147
Barton	65-74	0	M	5848
Barton	65-74	1	F	1067
Barton	65-74	1	M	734
Barton	75-84		F	445
Barton	75-84		M	436
Barton	75-84	0	F	4022
Barton	75-84	0	M	3471
Barton	75-84	1	F	571
Barton	75-84	1	M	406
Barton	85+		F	560
Barton	85+		M	322
Barton	85+	0	F	1909
