CED_NAME21	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Banks		1	1	0	13
Banks		1	1	1800	4
Banks		1	1	3600	4
Banks		1	1	7200	4
Banks		1	1	9600	3
Banks		1	1	12000	3
Banks		1	1	14400	8
Banks		1	1	16800	9
Banks		1	1	19200	8
Banks		1	1	21600	8
Banks		1	1	24000	18
Banks		1	1	28800	8
Banks		1	1	31200	10
Banks		1	1	36000	15
Banks		1	1	48000	5
Banks		1	1	60000	7
Banks	0	1	0	0	58
Banks	0	1	0	1800	14
Banks	0	1	0	3600	26
Banks	0	1	0	5400	30
Banks	0	1	0	7200	47
Banks	0	1	0	9600	46
Banks	0	1	0	12000	46
Banks	0	1	0	14400	83
Banks	0	1	0	16800	74
Banks	0	1	0	19200	65
Banks	0	1	0	21600	48
Banks	0	1	0	24000	115
Banks	0	1	0	26400	35
Banks	0	1	0	28800	35
Banks	0	1	0	31200	75
Banks	0	1	0	36000	120
Banks	0	1	0	48000	56
Banks	0	1	0	60000	53
Banks	0	1	1	0	21
Banks	0	1	1	1800	3
Banks	0	1	1	3600	4
Banks	0	1	1	5400	8
Banks	0	1	1	7200	6
Banks	0	1	1	9600	13
Banks	0	1	1	12000	22
Banks	0	1	1	14400	33
Banks	0	1	1	16800	33
Banks	0	1	1	19200	48
Banks	0	1	1	21600	25
Banks	0	1	1	24000	56
Banks	0	1	1	26400	27
Banks	0	1	1	28800	27
Banks	0	1	1	31200	59
Banks	0	1	1	36000	98
Banks	0	1	1	48000	55
Banks	0	1	1	60000	49
Banks	1	0	0	0	180
Banks	1	0	0	1800	29
Banks	1	0	0	3600	58
Banks	1	0	0	5400	40
Banks	1	0	0	7200	69
Banks	1	0	0	9600	91
Banks	1	0	0	12000	115
Banks	1	0	0	14400	137
Banks	1	0	0	16800	153
Banks	1	0	0	19200	160
Banks	1	0	0	21600	130
Banks	1	0	0	24000	365
Banks	1	0	0	26400	177
Banks	1	0	0	28800	186
Banks	1	0	0	31200	365
Banks	1	0	0	36000	743
Banks	1	0	0	48000	333
Banks	1	0	0	60000	295
Banks	1	1	0	0	219
Banks	1	1	0	1800	49
Banks	1	1	0	3600	61
Banks	1	1	0	5400	56
Banks	1	1	0	7200	73
Banks	1	1	0	9600	109
Banks	1	1	0	12000	147
Banks	1	1	0	14400	168
Banks	1	1	0	16800	170
Banks	1	1	0	19200	177
Banks	1	1	0	21600	127
Banks	1	1	0	24000	349
Banks	1	1	0	26400	145
Banks	1	1	0	28800	113
Banks	1	1	0	31200	276
Banks	1	1	0	36000	632
Banks	1	1	0	48000	281
Banks	1	1	0	60000	242
Banks	1	1	1	0	190
Banks	1	1	1	1800	23
Banks	1	1	1	3600	44
Banks	1	1	1	5400	40
Banks	1	1	1	7200	65
Banks	1	1	1	9600	100
Banks	1	1	1	12000	156
Banks	1	1	1	14400	187
Banks	1	1	1	16800	189
Banks	1	1	1	19200	256
Banks	1	1	1	21600	264
Banks	1	1	1	24000	633
Banks	1	1	1	26400	329
Banks	1	1	1	28800	371
Banks	1	1	1	31200	770
Banks	1	1	1	36000	1869
Banks	1	1	1	48000	943
Banks	1	1	1	60000	761
Barton		1	1	0	17
Barton		1	1	7200	5
Barton		1	1	9600	9
Barton		1	1	12000	5
Barton		1	1	14400	5
Barton		1	1	16800	11
Barton		1	1	19200	13
Barton		1	1	21600	10
Barton		1	1	24000	14
Barton		1	1	26400	6
Barton		1	1	28800	8
Barton		1	1	31200	18
Barton		1	1	36000	15
Barton		1	1	48000	13
Barton		1	1	60000	7
Barton	0	1	0	0	54
Barton	0	1	0	1800	6
Barton	0	1	0	3600	33
Barton	0	1	0	5400	11
Barton	0	1	0	7200	34
Barton	0	1	0	9600	60
Barton	0	1	0	12000	56
Barton	0	1	0	14400	73
Barton	0	1	0	16800	58
Barton	0	1	0	19200	72
Barton	0	1	0	21600	51
Barton	0	1	0	24000	110
Barton	0	1	0	26400	33
Barton	0	1	0	28800	42
Barton	0	1	0	31200	71
Barton	0	1	0	36000	135
Barton	0	1	0	48000	78
Barton	0	1	0	60000	59
