CED_NAME21	medianTotalHouseholdIncome
Banks	99996
Barton	100724
Bennelong	110448
Berowra	135668
Blaxland	75504
Bradfield	137488
Calare	77636
Chifley	96928
Cook	111020
Cowper	63388
Cunningham	90636
Dobell	78468
Eden-Monaro	89440
Farrer	72280
Fowler	72956
Gilmore	67236
Grayndler	124176
Greenway	120952
Hughes	124436
Hume	102232
Hunter	82836
Kingsford Smith	114192
Lindsay	97136
Lyne	60996
Macarthur	99008
Mackellar	125840
Macquarie	96564
McMahon	82836
Mitchell	141180
New England	67704
Newcastle	93808
North Sydney	138320
Page	64272
Parkes	73320
Parramatta	99684
Paterson	77688
Reid	112788
Richmond	71552
Riverina	71448
Robertson	82732
Shortland	79820
Sydney	115700
Warringah	149240
Watson	80236
Wentworth	149240
Werriwa	97500
Whitlam	83356
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Aston	97968
Ballarat	75140
Bendigo	74516
Bruce	86944
Calwell	87412
Casey	97968
Chisholm	95264
Cooper	95940
Corangamite	93808
Corio	79560
Deakin	97656
Dunkley	89336
Flinders	76908
Fraser	84968
Gellibrand	112268
Gippsland	64376
Goldstein	123604
Gorton	100204
Hawke	90376
Higgins	114452
Holt	98176
Hotham	86944
Indi	71084
Isaacs	102232
Jagajaga	109668
Kooyong	121316
La Trobe	102752
Lalor	98332
Macnamara	107744
Mallee	63440
Maribyrnong	101712
McEwen	108888
Melbourne	95680
Menzies	99684
Monash	66716
Nicholls	68900
Scullin	86892
Wannon	69628
Wills	100204
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Blair	81952
Bonner	108732
Bowman	91884
Brisbane	109928
Capricornia	90324
Dawson	88140
Dickson	107068
Fadden	87360
Fairfax	83460
Fisher	82316
Flynn	79560
Forde	87620
Griffith	113620
Groom	77532
Herbert	86164
Hinkler	58396
Kennedy	73528
Leichhardt	78676
Lilley	99580
Longman	75452
Maranoa	64324
McPherson	90272
Moncrieff	77428
Moreton	100776
Oxley	95836
Petrie	85280
Rankin	83720
Ryan	119652
Wide Bay	63076
Wright	93444
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	90948
Adelaide	86424
Barker	65364
Boothby	85436
Grey	62036
Hindmarsh	79040
Kingston	75140
Makin	78780
Mayo	76336
Spence	66456
Sturt	89128
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Brand	89544
Burt	84344
Canning	77272
Cowan	80340
Curtin	120016
Durack	95212
Forrest	80132
Fremantle	102024
Hasluck	100152
Moore	115180
O'Connor	75712
Pearce	103584
Perth	97292
Swan	93132
Tangney	109200
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	117000
Bass	67080
Braddon	62088
Clark	81796
Franklin	79872
Lyons	64480
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Lingiari	98956
Solomon	112892
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	10823800
Bean	120744
Canberra	125788
Fenner	122564
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
