CED_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Banks					1867
Banks	0	0	0	1	7531
Banks	0	0	1	0	1785
Banks	0	0	1	1	1360
Banks	0	1	0	0	4997
Banks	0	1	0	1	592
Banks	0	1	1	0	1448
Banks	0	1	1	1	362
Banks	1	0	0	1	15852
Banks	1	0	1	0	7942
Banks	1	0	1	1	6146
Banks	1	1	0	0	41390
Banks	1	1	0	1	1931
Banks	1	1	1	0	9077
Banks	1	1	1	1	1766
Barton					2568
Barton	0	0	0	1	7911
Barton	0	0	1	0	2020
Barton	0	0	1	1	1175
Barton	0	1	0	0	5294
Barton	0	1	0	1	640
Barton	0	1	1	0	1271
Barton	0	1	1	1	391
Barton	1	0	0	1	15583
Barton	1	0	1	0	6570
Barton	1	0	1	1	5142
Barton	1	1	0	0	42872
Barton	1	1	0	1	1699
Barton	1	1	1	0	8079
Barton	1	1	1	1	1817
Bennelong					2043
Bennelong	0	0	0	1	5938
Bennelong	0	0	1	0	2217
Bennelong	0	0	1	1	970
Bennelong	0	1	0	0	5021
Bennelong	0	1	0	1	322
Bennelong	0	1	1	0	1223
Bennelong	0	1	1	1	147
Bennelong	1	0	0	1	14426
Bennelong	1	0	1	0	9798
Bennelong	1	0	1	1	5807
Bennelong	1	1	0	0	54940
Bennelong	1	1	0	1	1173
Bennelong	1	1	1	0	9928
Bennelong	1	1	1	1	947
Berowra					701
Berowra	0	0	0	1	4209
Berowra	0	0	1	0	1486
Berowra	0	0	1	1	967
Berowra	0	1	0	0	3190
Berowra	0	1	0	1	331
Berowra	0	1	1	0	1030
Berowra	0	1	1	1	228
Berowra	1	0	0	1	15976
Berowra	1	0	1	0	10540
Berowra	1	0	1	1	7388
Berowra	1	1	0	0	43924
Berowra	1	1	0	1	1582
Berowra	1	1	1	0	12814
Berowra	1	1	1	1	1767
Blaxland					2404
Blaxland	0	0	0	1	8609
Blaxland	0	0	1	0	2008
Blaxland	0	0	1	1	1754
Blaxland	0	1	0	0	7513
Blaxland	0	1	0	1	1285
Blaxland	0	1	1	0	2465
Blaxland	0	1	1	1	1127
Blaxland	1	0	0	1	16724
Blaxland	1	0	1	0	6022
Blaxland	1	0	1	1	6939
Blaxland	1	1	0	0	46126
Blaxland	1	1	0	1	3465
Blaxland	1	1	1	0	12922
Blaxland	1	1	1	1	4599
Bradfield					1124
Bradfield	0	0	0	1	4175
Bradfield	0	0	1	0	2528
Bradfield	0	0	1	1	855
Bradfield	0	1	0	0	4247
Bradfield	0	1	0	1	185
Bradfield	0	1	1	0	1591
Bradfield	0	1	1	1	122
Bradfield	1	0	0	1	11453
Bradfield	1	0	1	0	13126
Bradfield	1	0	1	1	6209
Bradfield	1	1	0	0	52227
Bradfield	1	1	0	1	923
Bradfield	1	1	1	0	13243
Bradfield	1	1	1	1	931
Calare					1303
Calare	0	0	0	1	5591
Calare	0	0	1	0	1095
Calare	0	0	1	1	673
Calare	0	1	0	0	8818
Calare	0	1	0	1	1351
Calare	0	1	1	0	1900
Calare	0	1	1	1	534
Calare	1	0	0	1	9691
Calare	1	0	1	0	3892
Calare	1	0	1	1	2780
Calare	1	1	0	0	38504
Calare	1	1	0	1	2815
Calare	1	1	1	0	8088
Calare	1	1	1	1	2140
Chifley					2163
Chifley	0	0	0	1	9443
Chifley	0	0	1	0	1552
Chifley	0	0	1	1	1478
Chifley	0	1	0	0	10741
Chifley	0	1	0	1	1832
Chifley	0	1	1	0	2671
Chifley	0	1	1	1	1308
Chifley	1	0	0	1	17657
Chifley	1	0	1	0	6655
Chifley	1	0	1	1	6843
Chifley	1	1	0	0	59819
Chifley	1	1	0	1	4389
Chifley	1	1	1	0	12974
Chifley	1	1	1	1	4215
Cook					1065
Cook	0	0	0	1	5653
Cook	0	0	1	0	1468
Cook	0	0	1	1	895
Cook	0	1	0	0	4152
Cook	0	1	0	1	384
Cook	0	1	1	0	1238
Cook	0	1	1	1	214
Cook	1	0	0	1	13317
Cook	1	0	1	0	6417
Cook	1	0	1	1	5872
Cook	1	1	0	0	38345
Cook	1	1	0	1	1578
Cook	1	1	1	0	8279
Cook	1	1	1	1	1410
Cowper					1392
