CED_NAME16	medianRent
Banks	22620
Barton	24960
Bennelong	24440
Berowra	28600
Blaxland	20800
Bradfield	28600
Calare	15600
Chifley	19760
Cook	26000
Cowper	18200
Cunningham	20280
Dobell	20280
Eden-Monaro	16640
Farrer	13000
Fowler	19240
Gilmore	18200
Grayndler	26000
Greenway	23400
Hughes	25480
Hume	20800
Hunter	18200
Kingsford Smith	28600
Lindsay	20540
Lyne	16900
Macarthur	20800
Mackellar	31200
Macquarie	20800
McMahon	21320
Mitchell	29120
New England	14560
Newcastle	20800
North Sydney	29172
Page	16640
Parkes	13000
Parramatta	21840
Paterson	18980
Reid	26520
Richmond	22360
Riverina	13520
Robertson	20800
Shortland	19500
Sydney	28860
Warringah	32500
Watson	20800
Wentworth	33800
Werriwa	21840
Whitlam	21320
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Aston	20800
Ballarat	15340
Bendigo	15600
Bruce	18200
Calwell	19188
Casey	19760
Chisholm	22880
Cooper	19812
Corangamite	20800
Corio	16640
Deakin	20384
Dunkley	18720
Flinders	19500
Fraser	18200
Gellibrand	20384
Gippsland	13000
Goldstein	25480
Gorton	19760
Hawke	17732
Higgins	21840
Holt	19760
Hotham	19916
Indi	14040
Isaacs	21112
Jagajaga	20800
Kooyong	23452
La Trobe	19500
Lalor	18460
Macnamara	21892
Mallee	11960
Maribyrnong	20124
McEwen	19812
Melbourne	20800
Menzies	22932
Monash	15080
Nicholls	13260
Scullin	19188
Wannon	13000
Wills	20800
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Blair	16640
Bonner	22100
Bowman	21840
Brisbane	21580
Capricornia	14560
Dawson	16640
Dickson	19500
Fadden	22880
Fairfax	22620
Fisher	23140
Flynn	13520
Forde	19500
Griffith	22360
Groom	15600
Herbert	15600
Hinkler	15600
Kennedy	13000
Leichhardt	16120
Lilley	20280
Longman	18200
Maranoa	12480
McPherson	25220
Moncrieff	22360
Moreton	20540
Oxley	18720
Petrie	19760
Rankin	18200
Ryan	21840
Wide Bay	15600
Wright	18460
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	17940
Barker	11440
Boothby	17160
Grey	10400
Hindmarsh	16380
Kingston	16640
Makin	16640
Mayo	16380
Spence	14300
Sturt	17680
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Brand	17160
Burt	16120
Canning	16380
Cowan	17160
Curtin	20800
Durack	12012
Forrest	16900
Fremantle	19240
Hasluck	17992
Moore	20800
O'Connor	13000
Pearce	19240
Perth	18720
Swan	18200
Tangney	20800
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Bass	14040
Braddon	12480
Clark	18460
Franklin	18200
Lyons	14040
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Lingiari	9880
Solomon	19760
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Bean	22360
Canberra	24700
Fenner	23400
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
