CED_NAME21	CountryOfBirth	persons
Banks		12092
Banks	AFG	22
Banks	AUS	91050
Banks	BGD	753
Banks	BIH	344
Banks	BRA	418
Banks	CAN	182
Banks	CHL	336
Banks	CHN	16161
Banks	DEU	351
Banks	EGY	1561
Banks	FJI	877
Banks	FRA	130
Banks	GBR	2530
Banks	GRC	1886
Banks	HKG	2990
Banks	HRV	625
Banks	IDN	1692
Banks	IND	2112
Banks	IRL	385
Banks	IRN	208
Banks	IRQ	215
Banks	ITA	953
Banks	JPN	320
Banks	KHM	94
Banks	KOR	501
Banks	LBN	2887
Banks	LKA	281
Banks	MKD	1579
Banks	MLT	239
Banks	MMR	138
Banks	MUS	210
Banks	MYS	1336
Banks	NLD	111
Banks	NPL	5393
Banks	NZL	2315
Banks	PAK	528
Banks	PHL	2813
Banks	PNG	84
Banks	POL	276
Banks	SGP	321
Banks	THA	752
Banks	TUR	179
Banks	TWN	400
Banks	USA	405
Banks	VNM	3109
Banks	WSM	147
Banks	ZAF	515
Banks	ZWE	82
Barton		18800
Barton	AFG	40
Barton	AUS	83119
Barton	BGD	1906
Barton	BIH	276
Barton	BRA	1778
Barton	CAN	223
Barton	CHL	536
Barton	CHN	17708
Barton	DEU	356
Barton	EGY	1224
Barton	FJI	875
Barton	FRA	267
Barton	GBR	2715
Barton	GRC	5409
Barton	HKG	2700
Barton	HRV	486
Barton	IDN	2509
Barton	IND	3014
Barton	IRL	566
Barton	IRN	275
Barton	IRQ	193
Barton	ITA	2015
Barton	JPN	530
Barton	KHM	149
Barton	KOR	757
Barton	LBN	4372
Barton	LKA	272
Barton	MKD	3213
Barton	MLT	320
Barton	MMR	135
Barton	MUS	146
Barton	MYS	1529
Barton	NLD	115
Barton	NPL	8618
Barton	NZL	2357
Barton	PAK	437
Barton	PHL	3638
Barton	PNG	91
Barton	POL	374
Barton	SGP	496
Barton	THA	1514
Barton	TUR	488
Barton	TWN	606
Barton	USA	589
Barton	VNM	3340
Barton	WSM	90
Barton	ZAF	406
Barton	ZWE	81
Bennelong		13326
Bennelong	AFG	359
Bennelong	AUS	88189
Bennelong	BGD	863
Bennelong	BIH	118
Bennelong	BRA	472
Bennelong	CAN	324
Bennelong	CHL	236
Bennelong	CHN	26243
Bennelong	DEU	511
Bennelong	EGY	571
Bennelong	FJI	588
Bennelong	FRA	282
Bennelong	GBR	3820
Bennelong	GRC	488
Bennelong	HKG	6375
Bennelong	HRV	337
Bennelong	IDN	1997
Bennelong	IND	8961
Bennelong	IRL	492
Bennelong	IRN	2597
Bennelong	IRQ	269
Bennelong	ITA	1795
Bennelong	JPN	772
Bennelong	KHM	113
Bennelong	KOR	8709
Bennelong	LBN	1217
Bennelong	LKA	1680
Bennelong	MKD	123
Bennelong	MLT	142
Bennelong	MMR	285
Bennelong	MUS	154
Bennelong	MYS	2914
Bennelong	NLD	208
Bennelong	NPL	980
Bennelong	NZL	2062
Bennelong	PAK	1158
Bennelong	PHL	3563
Bennelong	PNG	153
Bennelong	POL	369
Bennelong	SGP	956
Bennelong	THA	944
Bennelong	TUR	304
Bennelong	TWN	1436
Bennelong	USA	817
Bennelong	VNM	1780
Bennelong	WSM	27
Bennelong	ZAF	975
Bennelong	ZWE	175
Berowra		7291
Berowra	AFG	162
Berowra	AUS	94860
Berowra	BGD	192
Berowra	BIH	43
Berowra	BRA	119
Berowra	CAN	325
Berowra	CHL	181
Berowra	CHN	9555
Berowra	DEU	644
Berowra	EGY	268
Berowra	FJI	409
Berowra	FRA	190
Berowra	GBR	6892
Berowra	GRC	163
Berowra	HKG	2603
Berowra	HRV	176
Berowra	IDN	660
Berowra	IND	5784
Berowra	IRL	470
Berowra	IRN	1600
Berowra	IRQ	75
Berowra	ITA	911
Berowra	JPN	391
Berowra	KHM	61
Berowra	KOR	2201
Berowra	LBN	868
Berowra	LKA	1869
Berowra	MKD	25
Berowra	MLT	171
Berowra	MMR	151
Berowra	MUS	109
Berowra	MYS	1851
Berowra	NLD	389
Berowra	NPL	476
Berowra	NZL	2074
Berowra	PAK	546
Berowra	PHL	1581
Berowra	PNG	133
Berowra	POL	403
Berowra	SGP	761
Berowra	THA	351
Berowra	TUR	126
Berowra	TWN	585
Berowra	USA	807
Berowra	VNM	654
Berowra	WSM	25
Berowra	ZAF	2170
Berowra	ZWE	227
Blaxland		23266
Blaxland	AFG	2749
Blaxland	AUS	80982
Blaxland	BGD	1732
Blaxland	BIH	297
Blaxland	BRA	151
Blaxland	CAN	60
Blaxland	CHL	239
Blaxland	CHN	12476
Blaxland	DEU	328
Blaxland	EGY	1094
Blaxland	FJI	938
Blaxland	FRA	69
Blaxland	GBR	853
Blaxland	GRC	1182
Blaxland	HKG	822
Blaxland	HRV	453
Blaxland	IDN	981
Blaxland	IND	3797
Blaxland	IRL	129
Blaxland	IRN	635
Blaxland	IRQ	2006
Blaxland	ITA	1034
Blaxland	JPN	120
Blaxland	KHM	425
Blaxland	KOR	1745
Blaxland	LBN	11487
Blaxland	LKA	993
Blaxland	MKD	1202
Blaxland	MLT	197
Blaxland	MMR	567
Blaxland	MUS	193
Blaxland	MYS	1194
Blaxland	NLD	68
Blaxland	NPL	5957
Blaxland	NZL	1696
Blaxland	PAK	3878
Blaxland	PHL	2243
Blaxland	PNG	39
Blaxland	POL	276
Blaxland	SGP	172
Blaxland	THA	468
Blaxland	TUR	2361
Blaxland	TWN	459
Blaxland	USA	203
Blaxland	VNM	15808
Blaxland	WSM	358
Blaxland	ZAF	151
Blaxland	ZWE	86
Bradfield		9239
Bradfield	AFG	67
Bradfield	AUS	87633
Bradfield	BGD	148
Bradfield	BIH	32
Bradfield	BRA	300
Bradfield	CAN	507
Bradfield	CHL	177
Bradfield	CHN	18940
Bradfield	DEU	680
Bradfield	EGY	206
Bradfield	FJI	244
Bradfield	FRA	292
Bradfield	GBR	8217
Bradfield	GRC	158
Bradfield	HKG	5155
Bradfield	HRV	178
Bradfield	IDN	1078
Bradfield	IND	5706
Bradfield	IRL	506
Bradfield	IRN	2273
Bradfield	IRQ	56
Bradfield	ITA	578
Bradfield	JPN	1422
Bradfield	KHM	52
Bradfield	KOR	3966
Bradfield	LBN	268
Bradfield	LKA	975
Bradfield	MKD	38
Bradfield	MLT	44
Bradfield	MMR	131
Bradfield	MUS	106
Bradfield	MYS	2258
Bradfield	NLD	374
Bradfield	NPL	1423
Bradfield	NZL	2649
Bradfield	PAK	388
Bradfield	PHL	1812
Bradfield	PNG	369
Bradfield	POL	358
Bradfield	SGP	1140
Bradfield	THA	676
Bradfield	TUR	172
Bradfield	TWN	1442
Bradfield	USA	1403
Bradfield	VNM	890
Bradfield	WSM	17
Bradfield	ZAF	4148
Bradfield	ZWE	301
Calare		13410
Calare	AFG	27
Calare	AUS	141740
Calare	BGD	116
Calare	BIH	35
Calare	BRA	31
Calare	CAN	201
Calare	CHL	65
Calare	CHN	441
Calare	DEU	467
Calare	EGY	42
Calare	FJI	172
Calare	FRA	115
Calare	GBR	3881
Calare	GRC	89
Calare	HKG	89
Calare	HRV	109
Calare	IDN	119
Calare	IND	1089
Calare	IRL	231
Calare	IRN	75
Calare	IRQ	49
Calare	ITA	247
Calare	JPN	75
Calare	KHM	44
Calare	KOR	135
Calare	LBN	106
Calare	LKA	209
Calare	MKD	16
Calare	MLT	75
Calare	MMR	24
Calare	MUS	15
Calare	MYS	188
Calare	NLD	356
Calare	NPL	504
Calare	NZL	1659
Calare	PAK	181
Calare	PHL	880
Calare	PNG	78
Calare	POL	96
Calare	SGP	86
Calare	THA	291
Calare	TUR	28
Calare	TWN	44
Calare	USA	370
Calare	VNM	212
Calare	WSM	28
Calare	ZAF	499
Calare	ZWE	182
Chifley		22227
Chifley	AFG	1625
Chifley	AUS	99496
Chifley	BGD	1930
Chifley	BIH	292
Chifley	BRA	77
Chifley	CAN	89
Chifley	CHL	335
Chifley	CHN	2105
Chifley	DEU	426
Chifley	EGY	1137
Chifley	FJI	5011
Chifley	FRA	55
Chifley	GBR	2427
Chifley	GRC	332
Chifley	HKG	338
Chifley	HRV	456
Chifley	IDN	804
Chifley	IND	19095
Chifley	IRL	216
Chifley	IRN	601
Chifley	IRQ	1742
Chifley	ITA	538
Chifley	JPN	77
Chifley	KHM	129
Chifley	KOR	764
Chifley	LBN	1061
Chifley	LKA	1885
Chifley	MKD	136
Chifley	MLT	1100
Chifley	MMR	462
Chifley	MUS	328
Chifley	MYS	539
Chifley	NLD	207
Chifley	NPL	1650
Chifley	NZL	5013
Chifley	PAK	3967
Chifley	PHL	17581
Chifley	PNG	76
Chifley	POL	480
Chifley	SGP	262
Chifley	THA	390
Chifley	TUR	714
Chifley	TWN	145
Chifley	USA	332
Chifley	VNM	707
Chifley	WSM	1974
Chifley	ZAF	564
Chifley	ZWE	173
Cook		10916
Cook	AFG	10
Cook	AUS	108854
Cook	BGD	132
Cook	BIH	242
Cook	BRA	705
Cook	CAN	324
Cook	CHL	359
Cook	CHN	3535
Cook	DEU	512
Cook	EGY	1311
Cook	FJI	324
Cook	FRA	216
Cook	GBR	5248
Cook	GRC	2313
Cook	HKG	803
Cook	HRV	404
Cook	IDN	433
Cook	IND	760
Cook	IRL	637
Cook	IRN	153
Cook	IRQ	97
Cook	ITA	1048
Cook	JPN	212
Cook	KHM	95
Cook	KOR	180
Cook	LBN	720
Cook	LKA	105
Cook	MKD	814
Cook	MLT	263
Cook	MMR	46
Cook	MUS	78
Cook	MYS	476
Cook	NLD	255
Cook	NPL	126
Cook	NZL	2157
Cook	PAK	77
Cook	PHL	1025
Cook	PNG	100
Cook	POL	352
Cook	SGP	233
Cook	THA	473
Cook	TUR	224
Cook	TWN	138
Cook	USA	521
Cook	VNM	507
Cook	WSM	36
Cook	ZAF	815
Cook	ZWE	60
Cowper		14061
Cowper	AFG	45
Cowper	AUS	136935
Cowper	BGD	21
Cowper	BIH	19
Cowper	BRA	83
Cowper	CAN	357
Cowper	CHL	74
Cowper	CHN	393
Cowper	DEU	797
Cowper	EGY	91
Cowper	FJI	192
Cowper	FRA	181
Cowper	GBR	6880
Cowper	GRC	48
Cowper	HKG	119
Cowper	HRV	79
Cowper	IDN	149
Cowper	IND	946
Cowper	IRL	301
Cowper	IRN	43
Cowper	IRQ	409
Cowper	ITA	245
Cowper	JPN	141
Cowper	KHM	26
Cowper	KOR	89
Cowper	LBN	50
Cowper	LKA	104
Cowper	MKD	8
Cowper	MLT	106
Cowper	MMR	465
Cowper	MUS	19
Cowper	MYS	336
Cowper	NLD	542
Cowper	NPL	268
Cowper	NZL	2239
Cowper	PAK	68
Cowper	PHL	919
Cowper	PNG	160
Cowper	POL	103
Cowper	SGP	81
Cowper	THA	340
Cowper	TUR	41
Cowper	TWN	67
Cowper	USA	536
Cowper	VNM	169
Cowper	WSM	27
Cowper	ZAF	722
Cowper	ZWE	122
Cunningham		11915
Cunningham	AFG	40
Cunningham	AUS	119693
Cunningham	BGD	193
Cunningham	BIH	259
Cunningham	BRA	181
Cunningham	CAN	457
Cunningham	CHL	388
Cunningham	CHN	1723
Cunningham	DEU	733
Cunningham	EGY	143
Cunningham	FJI	186
Cunningham	FRA	182
Cunningham	GBR	6862
Cunningham	GRC	563
Cunningham	HKG	185
Cunningham	HRV	641
Cunningham	IDN	258
Cunningham	IND	1985
Cunningham	IRL	407
Cunningham	IRN	287
Cunningham	IRQ	380
Cunningham	ITA	1923
Cunningham	JPN	191
Cunningham	KHM	26
Cunningham	KOR	267
Cunningham	LBN	419
Cunningham	LKA	241
Cunningham	MKD	2137
Cunningham	MLT	205
Cunningham	MMR	227
Cunningham	MUS	34
Cunningham	MYS	315
Cunningham	NLD	551
Cunningham	NPL	304
Cunningham	NZL	1811
Cunningham	PAK	417
Cunningham	PHL	936
Cunningham	PNG	72
Cunningham	POL	265
Cunningham	SGP	132
Cunningham	THA	636
Cunningham	TUR	468
Cunningham	TWN	86
Cunningham	USA	738
Cunningham	VNM	813
Cunningham	WSM	32
Cunningham	ZAF	658
Cunningham	ZWE	104
Dobell		10690
Dobell	AFG	14
Dobell	AUS	131304
Dobell	BGD	63
Dobell	BIH	28
Dobell	BRA	131
Dobell	CAN	246
Dobell	CHL	155
Dobell	CHN	696
Dobell	DEU	459
Dobell	EGY	159
Dobell	FJI	223
Dobell	FRA	125
Dobell	GBR	7128
Dobell	GRC	153
Dobell	HKG	136
Dobell	HRV	136
Dobell	IDN	246
Dobell	IND	1170
Dobell	IRL	531
Dobell	IRN	87
Dobell	IRQ	25
Dobell	ITA	425
Dobell	JPN	123
Dobell	KHM	40
Dobell	KOR	340
Dobell	LBN	123
Dobell	LKA	117
Dobell	MKD	23
Dobell	MLT	333
Dobell	MMR	18
Dobell	MUS	87
Dobell	MYS	233
Dobell	NLD	388
Dobell	NPL	197
Dobell	NZL	2608
Dobell	PAK	106
Dobell	PHL	1217
Dobell	PNG	108
Dobell	POL	166
Dobell	SGP	78
Dobell	THA	364
Dobell	TUR	44
Dobell	TWN	43
Dobell	USA	477
Dobell	VNM	199
