CED_NAME16	Age	MaritalStatus	Registered	adults
Banks	15-19	Married	0	32
Banks	15-19	Married	1	7
Banks	15-19	Never married		8716
Banks	20-24	Married	0	572
Banks	20-24	Married	1	479
Banks	20-24	Never married		9361
Banks	25-34	Married	0	2944
Banks	25-34	Married	1	8133
Banks	25-34	Never married		10225
Banks	35-44	Married	0	1792
Banks	35-44	Married	1	14201
Banks	35-44	Never married		5091
Banks	45-54	Married	0	1415
Banks	45-54	Married	1	13148
Banks	45-54	Never married		5344
Banks	55-64	Married	0	1015
Banks	55-64	Married	1	12596
Banks	55-64	Never married		6102
Banks	65-74	Married	0	413
Banks	65-74	Married	1	9048
Banks	65-74	Never married		4883
Banks	75-84	Married	0	120
Banks	75-84	Married	1	4490
Banks	75-84	Never married		3463
Banks	85+	Married	0	15
Banks	85+	Married	1	1284
Banks	85+	Never married		2178
Barton	15-19	Married	0	34
Barton	15-19	Married	1	10
Barton	15-19	Never married		7779
Barton	20-24	Married	0	997
Barton	20-24	Married	1	749
Barton	20-24	Never married		11059
Barton	25-34	Married	0	5972
Barton	25-34	Married	1	11126
Barton	25-34	Never married		15708
Barton	35-44	Married	0	3097
Barton	35-44	Married	1	15057
Barton	35-44	Never married		7438
Barton	45-54	Married	0	1772
Barton	45-54	Married	1	12201
Barton	45-54	Never married		6746
Barton	55-64	Married	0	1130
Barton	55-64	Married	1	10726
Barton	55-64	Never married		6267
Barton	65-74	Married	0	469
Barton	65-74	Married	1	8515
Barton	65-74	Never married		4745
Barton	75-84	Married	0	99
Barton	75-84	Married	1	4802
Barton	75-84	Never married		3422
Barton	85+	Married	0	7
Barton	85+	Married	1	1283
Barton	85+	Never married		1945
Bennelong	15-19	Married	0	52
Bennelong	15-19	Never married		8673
Bennelong	20-24	Married	0	1136
Bennelong	20-24	Married	1	274
Bennelong	20-24	Never married		9780
Bennelong	25-34	Married	0	6102
Bennelong	25-34	Married	1	11409
Bennelong	25-34	Never married		13193
Bennelong	35-44	Married	0	2310
Bennelong	35-44	Married	1	20830
Bennelong	35-44	Never married		6723
Bennelong	45-54	Married	0	1359
Bennelong	45-54	Married	1	14924
Bennelong	45-54	Never married		5596
Bennelong	55-64	Married	0	869
Bennelong	55-64	Married	1	13398
Bennelong	55-64	Never married		5814
Bennelong	65-74	Married	0	374
Bennelong	65-74	Married	1	9960
Bennelong	65-74	Never married		4600
Bennelong	75-84	Married	0	117
Bennelong	75-84	Married	1	4574
Bennelong	75-84	Never married		3108
