CED_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Banks	0	1	12705
Banks	0	2	1104
Banks	0	3	330
Banks	0	4	161
Banks	0	5	72
Banks	0	6	37
Banks	1	2	15236
Banks	1	3	9932
Banks	1	4	10236
Banks	1	5	4336
Banks	1	6	2402
Barton	0	1	15164
Barton	0	2	2506
Barton	0	3	832
Barton	0	4	386
Barton	0	5	121
Barton	0	6	80
Barton	1	2	18225
Barton	1	3	11265
Barton	1	4	9849
Barton	1	5	4029
Barton	1	6	2437
Bennelong	0	1	16844
Bennelong	0	2	2044
Bennelong	0	3	491
Bennelong	0	4	202
Bennelong	0	5	73
Bennelong	0	6	61
Bennelong	1	2	20299
Bennelong	1	3	12345
Bennelong	1	4	11873
Bennelong	1	5	4140
Bennelong	1	6	1966
Berowra	0	1	7725
Berowra	0	2	494
Berowra	0	3	104
Berowra	0	4	41
Berowra	0	5	21
Berowra	0	6	5
Berowra	1	2	14148
Berowra	1	3	8974
Berowra	1	4	11503
Berowra	1	5	4507
Berowra	1	6	2259
Blaxland	0	1	10587
Blaxland	0	2	1201
Blaxland	0	3	622
Blaxland	0	4	442
Blaxland	0	5	218
Blaxland	0	6	167
Blaxland	1	2	11736
Blaxland	1	3	9083
Blaxland	1	4	9216
Blaxland	1	5	5812
Blaxland	1	6	5607
Bradfield	0	1	11208
Bradfield	0	2	866
Bradfield	0	3	188
Bradfield	0	4	84
Bradfield	0	5	31
Bradfield	0	6	19
Bradfield	1	2	16895
Bradfield	1	3	10837
Bradfield	1	4	12340
Bradfield	1	5	4518
Bradfield	1	6	1688
Calare	0	1	18041
Calare	0	2	1404
Calare	0	3	261
Calare	0	4	77
Calare	0	5	34
Calare	0	6	8
Calare	1	2	20610
Calare	1	3	8402
Calare	1	4	7938
Calare	1	5	4024
Calare	1	6	1930
Chifley	0	1	10079
Chifley	0	2	1133
Chifley	0	3	274
Chifley	0	4	139
Chifley	0	5	42
Chifley	0	6	35
Chifley	1	2	13765
Chifley	1	3	11879
Chifley	1	4	12519
Chifley	1	5	6047
Chifley	1	6	4666
Cook	0	1	14327
Cook	0	2	1159
Cook	0	3	166
Cook	0	4	39
Cook	0	5	12
Cook	0	6	8
Cook	1	2	17218
Cook	1	3	8455
Cook	1	4	9192
Cook	1	5	3841
Cook	1	6	1456
Cowper	0	1	20219
Cowper	0	2	1859
Cowper	0	3	289
Cowper	0	4	83
Cowper	0	5	26
Cowper	0	6	17
Cowper	1	2	23319
Cowper	1	3	8529
Cowper	1	4	7243
Cowper	1	5	3303
Cowper	1	6	1846
Cunningham	0	1	16711
Cunningham	0	2	1867
Cunningham	0	3	789
Cunningham	0	4	325
Cunningham	0	5	110
Cunningham	0	6	69
Cunningham	1	2	18591
Cunningham	1	3	8728
Cunningham	1	4	9192
Cunningham	1	5	3591
Cunningham	1	6	1434
Dobell	0	1	15344
Dobell	0	2	1433
Dobell	0	3	207
Dobell	0	4	67
Dobell	0	5	22
Dobell	0	6	9
Dobell	1	2	18441
Dobell	1	3	9121
Dobell	1	4	9004
Dobell	1	5	4030
Dobell	1	6	2092
Eden-Monaro	0	1	16704
Eden-Monaro	0	2	1211
Eden-Monaro	0	3	192
Eden-Monaro	0	4	81
Eden-Monaro	0	5	17
Eden-Monaro	0	6	23
Eden-Monaro	1	2	21064
Eden-Monaro	1	3	8297
Eden-Monaro	1	4	8119
Eden-Monaro	1	5	3547
Eden-Monaro	1	6	1636
Farrer	0	1	19160
Farrer	0	2	1423
Farrer	0	3	257
Farrer	0	4	87
Farrer	0	5	30
Farrer	0	6	28
Farrer	1	2	22002
Farrer	1	3	8320
Farrer	1	4	7842
Farrer	1	5	3927
Farrer	1	6	1881
Fowler	0	1	10842
Fowler	0	2	1093
Fowler	0	3	236
Fowler	0	4	92
Fowler	0	5	49
Fowler	0	6	23
Fowler	1	2	12658
Fowler	1	3	9386
Fowler	1	4	9184
Fowler	1	5	5099
Fowler	1	6	4585
Gilmore	0	1	18114
Gilmore	0	2	1402
Gilmore	0	3	175
Gilmore	0	4	66
Gilmore	0	5	18
Gilmore	0	6	7
Gilmore	1	2	24981
Gilmore	1	3	7824
Gilmore	1	4	7158
Gilmore	1	5	3152
Gilmore	1	6	1491
Grayndler	0	1	18666
Grayndler	0	2	2740
Grayndler	0	3	1136
Grayndler	0	4	485
Grayndler	0	5	131
Grayndler	0	6	45
