CED_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Banks				3
Banks			0	3
Banks			1	21
Banks			2	23
Banks			3	24
Banks			4	15
Banks			5	6
Banks		1 storey		53
Banks		1 storey	0	56
Banks		1 storey	1	212
Banks		1 storey	2	682
Banks		1 storey	3	1537
Banks		1 storey	4	252
Banks		1 storey	5	66
Banks		1 storey	6	3
Banks		2 storeys or more		88
Banks		2 storeys or more	0	10
Banks		2 storeys or more	1	380
Banks		2 storeys or more	2	876
Banks		2 storeys or more	3	2788
Banks		2 storeys or more	4	2375
Banks		2 storeys or more	5	413
Banks		2 storeys or more	6	31
Banks	(Other)			8
Banks	(Other)		0	4
Banks	(Other)		1	64
Banks	(Other)		2	156
Banks	(Other)		3	67
Banks	(Other)		4	19
Banks	(Other)		5	3
Banks	Flat/apartment		0	8
Banks	Flat/apartment	1 or 2 storey block		63
Banks	Flat/apartment	1 or 2 storey block	0	83
Banks	Flat/apartment	1 or 2 storey block	1	720
Banks	Flat/apartment	1 or 2 storey block	2	1097
Banks	Flat/apartment	1 or 2 storey block	3	242
Banks	Flat/apartment	1 or 2 storey block	4	29
Banks	Flat/apartment	1 or 2 storey block	5	11
Banks	Flat/apartment	3 storey block		83
Banks	Flat/apartment	3 storey block	0	27
Banks	Flat/apartment	3 storey block	1	360
Banks	Flat/apartment	3 storey block	2	3769
Banks	Flat/apartment	3 storey block	3	1123
Banks	Flat/apartment	3 storey block	4	54
Banks	Flat/apartment	3 storey block	6	4
Banks	Flat/apartment	4-8 storey block		80
Banks	Flat/apartment	4-8 storey block	0	37
Banks	Flat/apartment	4-8 storey block	1	582
Banks	Flat/apartment	4-8 storey block	2	4018
Banks	Flat/apartment	4-8 storey block	3	1046
Banks	Flat/apartment	4-8 storey block	4	52
Banks	Flat/apartment	4-8 storey block	5	7
Banks	Flat/apartment	9 or more storey block		24
Banks	Flat/apartment	9 or more storey block	1	261
Banks	Flat/apartment	9 or more storey block	2	487
Banks	Flat/apartment	9 or more storey block	3	168
Banks	Flat/apartment	9 or more storey block	4	3
Banks	Flat/apartment	Attached to a house		7
Banks	Flat/apartment	Attached to a house	1	43
Banks	Flat/apartment	Attached to a house	2	142
Banks	Flat/apartment	Attached to a house	3	60
Banks	Flat/apartment	Attached to a house	4	25
Banks	Flat/apartment	Attached to a house	5	25
Banks	Flat/apartment	Attached to a house	6	9
Banks	Separate house			328
Banks	Separate house		0	42
Banks	Separate house		1	251
Banks	Separate house		2	2889
Banks	Separate house		3	12614
Banks	Separate house		4	10586
Banks	Separate house		5	4011
Banks	Separate house		6	873
Barton				24
Barton			0	4
Barton			1	29
Barton			2	51
Barton			3	16
Barton			4	14
Barton			5	3
Barton			6	3
Barton		1 storey		44
Barton		1 storey	0	33
Barton		1 storey	1	137
Barton		1 storey	2	1477
Barton		1 storey	3	1484
Barton		1 storey	4	200
Barton		1 storey	5	28
Barton		1 storey	6	4
Barton		2 storeys or more		42
Barton		2 storeys or more	1	143
Barton		2 storeys or more	2	501
Barton		2 storeys or more	3	1332
Barton		2 storeys or more	4	702
Barton		2 storeys or more	5	106
Barton		2 storeys or more	6	19
Barton	(Other)			18
Barton	(Other)		0	32
Barton	(Other)		1	127
Barton	(Other)		2	186
Barton	(Other)		3	70
Barton	(Other)		4	17
Barton	(Other)		5	10
Barton	(Other)		6	4
Barton	Flat/apartment		0	4
Barton	Flat/apartment	1 or 2 storey block		52
Barton	Flat/apartment	1 or 2 storey block	0	72
Barton	Flat/apartment	1 or 2 storey block	1	667
Barton	Flat/apartment	1 or 2 storey block	2	1626
Barton	Flat/apartment	1 or 2 storey block	3	288
Barton	Flat/apartment	1 or 2 storey block	4	52
Barton	Flat/apartment	1 or 2 storey block	5	21
Barton	Flat/apartment	1 or 2 storey block	6	9
Barton	Flat/apartment	3 storey block		104
Barton	Flat/apartment	3 storey block	0	46
