CED_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Banks	15-19				F	193
Banks	15-19				M	204
Banks	15-19	0			F	3977
Banks	15-19	0			M	4428
Banks	15-19	1	0	1	F	206
Banks	15-19	1	0	1	M	104
Banks	15-19	1	1	0	F	9
Banks	15-19	1	1	0	M	11
Banks	15-19	1	1	1	F	3
Banks	20-24				F	262
Banks	20-24				M	319
Banks	20-24	0			F	4735
Banks	20-24	0			M	5265
Banks	20-24	1	0	1	F	174
Banks	20-24	1	0	1	M	79
Banks	20-24	1	1	0	F	126
Banks	20-24	1	1	0	M	55
Banks	25-34				F	653
Banks	25-34				M	704
Banks	25-34	0			F	7118
Banks	25-34	0			M	8619
Banks	25-34	1	0	1	F	215
Banks	25-34	1	0	1	M	140
Banks	25-34	1	1	0	F	3277
Banks	25-34	1	1	0	M	1976
Banks	25-34	1	1	1	F	48
Banks	25-34	1	1	1	M	19
Banks	35-44				F	519
Banks	35-44				M	569
Banks	35-44	0			F	3425
Banks	35-44	0			M	4349
Banks	35-44	1	0	1	F	129
Banks	35-44	1	0	1	M	92
Banks	35-44	1	1	0	F	7297
Banks	35-44	1	1	0	M	5740
Banks	35-44	1	1	1	F	81
Banks	35-44	1	1	1	M	34
Banks	45-54				F	424
Banks	45-54				M	387
Banks	45-54	0			F	6561
Banks	45-54	0			M	5614
Banks	45-54	1	0	1	F	221
Banks	45-54	1	0	1	M	112
Banks	45-54	1	1	0	F	3679
Banks	45-54	1	1	0	M	3754
Banks	45-54	1	1	1	F	35
Banks	45-54	1	1	1	M	33
Banks	55-64				F	363
Banks	55-64				M	413
Banks	55-64	0			F	8843
Banks	55-64	0			M	8418
Banks	55-64	1	0	1	F	962
Banks	55-64	1	0	1	M	360
Banks	55-64	1	1	0	F	429
Banks	55-64	1	1	0	M	808
Banks	55-64	1	1	1	F	20
Banks	55-64	1	1	1	M	11
Banks	65-74				F	319
Banks	65-74				M	351
Banks	65-74	0			F	6572
Banks	65-74	0			M	6145
Banks	65-74	1	0	1	F	899
Banks	65-74	1	0	1	M	556
Banks	65-74	1	1	0	F	125
Banks	65-74	1	1	0	M	161
Banks	65-74	1	1	1	F	15
Banks	65-74	1	1	1	M	3
Banks	75-84				F	396
Banks	75-84				M	262
Banks	75-84	0			F	4333
Banks	75-84	0			M	3562
Banks	75-84	1	0	1	F	139
Banks	75-84	1	0	1	M	107
Banks	75-84	1	1	0	F	23
Banks	75-84	1	1	0	M	29
Banks	75-84	1	1	1	F	4
Banks	75-84	1	1	1	M	4
Banks	85+				F	528
Banks	85+				M	204
Banks	85+	0			F	2267
Banks	85+	0			M	1493
Banks	85+	1	0	1	F	10
Banks	85+	1	0	1	M	10
Banks	85+	1	1	0	F	3
Banks	85+	1	1	0	M	5
Barton	15-19				F	209
Barton	15-19				M	250
Barton	15-19	0			F	3506
Barton	15-19	0			M	4018
Barton	15-19	1	0	1	F	151
Barton	15-19	1	0	1	M	101
Barton	15-19	1	1	0	F	7
Barton	15-19	1	1	0	M	10
Barton	20-24				F	426
Barton	20-24				M	514
Barton	20-24	0			F	5714
Barton	20-24	0			M	6601
Barton	20-24	1	0	1	F	174
Barton	20-24	1	0	1	M	101
Barton	20-24	1	1	0	F	140
Barton	20-24	1	1	0	M	42
Barton	25-34				F	1192
Barton	25-34				M	1351
Barton	25-34	0			F	12274
Barton	25-34	0			M	14095
Barton	25-34	1	0	1	F	262
Barton	25-34	1	0	1	M	166
Barton	25-34	1	1	0	F	3706
Barton	25-34	1	1	0	M	2170
Barton	25-34	1	1	1	F	38
Barton	25-34	1	1	1	M	24
Barton	35-44				F	733
Barton	35-44				M	815
Barton	35-44	0			F	5319
Barton	35-44	0			M	6868
Barton	35-44	1	0	1	F	174
Barton	35-44	1	0	1	M	123
Barton	35-44	1	1	0	F	7209
Barton	35-44	1	1	0	M	5952
Barton	35-44	1	1	1	F	68
Barton	35-44	1	1	1	M	22
Barton	45-54				F	562
Barton	45-54				M	566
Barton	45-54	0			F	6772
Barton	45-54	0			M	6307
Barton	45-54	1	0	1	F	256
Barton	45-54	1	0	1	M	81
Barton	45-54	1	1	0	F	3751
Barton	45-54	1	1	0	M	3623
Barton	45-54	1	1	1	F	28
Barton	45-54	1	1	1	M	18
Barton	55-64				F	454
Barton	55-64				M	503
Barton	55-64	0			F	8170
Barton	55-64	0			M	7679
Barton	55-64	1	0	1	F	841
Barton	55-64	1	0	1	M	274
Barton	55-64	1	1	0	F	431
Barton	55-64	1	1	0	M	856
Barton	55-64	1	1	1	F	31
Barton	55-64	1	1	1	M	11
Barton	65-74				F	382
Barton	65-74				M	398
Barton	65-74	0			F	6254
Barton	65-74	0			M	5946
Barton	65-74	1	0	1	F	851
Barton	65-74	1	0	1	M	492
Barton	65-74	1	1	0	F	126
Barton	65-74	1	1	0	M	154
Barton	65-74	1	1	1	F	16
Barton	65-74	1	1	1	M	4
Barton	75-84				F	429
Barton	75-84				M	414
Barton	75-84	0			F	4397
Barton	75-84	0			M	3750
Barton	75-84	1	0	1	F	183
Barton	75-84	1	0	1	M	126
Barton	75-84	1	1	0	F	24
Barton	75-84	1	1	0	M	23
Barton	75-84	1	1	1	F	4
Barton	85+				F	556
Barton	85+				M	324
Barton	85+	0			F	2006
Barton	85+	0			M	1540
Barton	85+	1	0	1	F	17
Barton	85+	1	0	1	M	8
Barton	85+	1	1	0	M	5
Bennelong	15-19				F	142
Bennelong	15-19				M	150
Bennelong	15-19	0			F	4186
Bennelong	15-19	0			M	4549
Bennelong	15-19	1	0	1	F	139
Bennelong	15-19	1	0	1	M	107
Bennelong	15-19	1	1	0	F	7
Bennelong	15-19	1	1	0	M	14
Bennelong	20-24				F	288
Bennelong	20-24				M	278
Bennelong	20-24	0			F	5582
Bennelong	20-24	0			M	5979
Bennelong	20-24	1	0	1	F	147
Bennelong	20-24	1	0	1	M	97
Bennelong	20-24	1	1	0	F	47
Bennelong	20-24	1	1	0	M	17
Bennelong	25-34				F	835
Bennelong	25-34				M	907
Bennelong	25-34	0			F	11949
Bennelong	25-34	0			M	12781
Bennelong	25-34	1	0	1	F	237
Bennelong	25-34	1	0	1	M	119
Bennelong	25-34	1	1	0	F	3710
Bennelong	25-34	1	1	0	M	2209
Bennelong	25-34	1	1	1	F	29
Bennelong	25-34	1	1	1	M	7
Bennelong	35-44				F	640
Bennelong	35-44				M	719
Bennelong	35-44	0			F	5144
Bennelong	35-44	0			M	6358
Bennelong	35-44	1	0	1	F	163
Bennelong	35-44	1	0	1	M	109
Bennelong	35-44	1	1	0	F	9859
Bennelong	35-44	1	1	0	M	8221
Bennelong	35-44	1	1	1	F	74
Bennelong	35-44	1	1	1	M	33
Bennelong	45-54				F	395
Bennelong	45-54				M	428
Bennelong	45-54	0			F	6744
Bennelong	45-54	0			M	5763
Bennelong	45-54	1	0	1	F	162
Bennelong	45-54	1	0	1	M	81
Bennelong	45-54	1	1	0	F	4557
Bennelong	45-54	1	1	0	M	4706
Bennelong	45-54	1	1	1	F	42
Bennelong	45-54	1	1	1	M	28
Bennelong	55-64				F	352
Bennelong	55-64				M	369
Bennelong	55-64	0			F	9131
Bennelong	55-64	0			M	8436
Bennelong	55-64	1	0	1	F	995
Bennelong	55-64	1	0	1	M	298
Bennelong	55-64	1	1	0	F	547
Bennelong	55-64	1	1	0	M	904
Bennelong	55-64	1	1	1	F	21
Bennelong	55-64	1	1	1	M	12
Bennelong	65-74				F	304
Bennelong	65-74				M	261
Bennelong	65-74	0			F	6473
Bennelong	65-74	0			M	6199
Bennelong	65-74	1	0	1	F	1268
Bennelong	65-74	1	0	1	M	768
Bennelong	65-74	1	1	0	F	226
Bennelong	65-74	1	1	0	M	239
Bennelong	65-74	1	1	1	F	23
Bennelong	65-74	1	1	1	M	11
Bennelong	75-84				F	292
Bennelong	75-84				M	212
Bennelong	75-84	0			F	4222
Bennelong	75-84	0			M	3409
Bennelong	75-84	1	0	1	F	182
Bennelong	75-84	1	0	1	M	164
Bennelong	75-84	1	1	0	F	27
Bennelong	75-84	1	1	0	M	36
Bennelong	85+				F	379
Bennelong	85+				M	188
Bennelong	85+	0			F	2307
Bennelong	85+	0			M	1538
Bennelong	85+	1	0	1	F	10
Bennelong	85+	1	0	1	M	10
Bennelong	85+	1	1	0	F	10
Bennelong	85+	1	1	0	M	3
Berowra	15-19				F	103
Berowra	15-19				M	138
Berowra	15-19	0			F	4774
Berowra	15-19	0			M	5269
Berowra	15-19	1	0	1	F	193
Berowra	15-19	1	0	1	M	132
Berowra	15-19	1	1	0	F	3
Berowra	15-19	1	1	0	M	10
Berowra	15-19	1	1	1	F	3
Berowra	20-24				F	107
Berowra	20-24				M	126
Berowra	20-24	0			F	3785
Berowra	20-24	0			M	4414
Berowra	20-24	1	0	1	F	161
Berowra	20-24	1	0	1	M	92
Berowra	20-24	1	1	0	F	53
Berowra	20-24	1	1	0	M	26
Berowra	20-24	1	1	1	F	3
Berowra	25-34				F	205
Berowra	25-34				M	202
Berowra	25-34	0			F	3792
Berowra	25-34	0			M	4655
Berowra	25-34	1	0	1	F	151
Berowra	25-34	1	0	1	M	89
Berowra	25-34	1	1	0	F	2063
