CED_NAME16	CountryOfBirth	Sex	persons
Banks		F	6233
Banks		M	5865
Banks	AFG	F	18
Banks	AFG	M	4
Banks	AUS	F	45665
Banks	AUS	M	45385
Banks	BGD	F	322
Banks	BGD	M	424
Banks	BIH	F	177
Banks	BIH	M	167
Banks	BRA	F	205
Banks	BRA	M	210
Banks	CAN	F	102
Banks	CAN	M	78
Banks	CHL	F	176
Banks	CHL	M	159
Banks	CHN	F	8847
Banks	CHN	M	7314
Banks	DEU	F	186
Banks	DEU	M	166
Banks	EGY	F	754
Banks	EGY	M	813
Banks	FJI	F	486
Banks	FJI	M	389
Banks	FRA	F	64
Banks	FRA	M	71
Banks	GBR	F	1118
Banks	GBR	M	1419
Banks	GRC	F	1003
Banks	GRC	M	886
Banks	HKG	F	1564
Banks	HKG	M	1426
Banks	HRV	F	348
Banks	HRV	M	280
Banks	IDN	F	954
Banks	IDN	M	740
Banks	IND	F	1021
Banks	IND	M	1093
Banks	IRL	F	166
Banks	IRL	M	221
Banks	IRN	F	88
Banks	IRN	M	117
Banks	IRQ	F	95
Banks	IRQ	M	118
Banks	ITA	F	454
Banks	ITA	M	499
Banks	JPN	F	237
Banks	JPN	M	82
Banks	KHM	F	58
Banks	KHM	M	37
Banks	KOR	F	302
Banks	KOR	M	198
Banks	LBN	F	1447
Banks	LBN	M	1443
Banks	LKA	F	146
Banks	LKA	M	134
Banks	MKD	F	794
Banks	MKD	M	787
Banks	MLT	F	133
Banks	MLT	M	108
Banks	MMR	F	66
Banks	MMR	M	70
Banks	MUS	F	130
Banks	MUS	M	77
Banks	MYS	F	678
Banks	MYS	M	654
Banks	NLD	F	52
Banks	NLD	M	55
Banks	NPL	F	2364
Banks	NPL	M	3030
Banks	NZL	F	1143
Banks	NZL	M	1174
Banks	PAK	F	186
Banks	PAK	M	349
Banks	PHL	F	1708
Banks	PHL	M	1106
Banks	PNG	F	49
Banks	PNG	M	32
Banks	POL	F	144
Banks	POL	M	134
Banks	SGP	F	163
Banks	SGP	M	163
Banks	THA	F	549
Banks	THA	M	202
Banks	TUR	F	85
Banks	TUR	M	95
Banks	TWN	F	206
Banks	TWN	M	186
Banks	USA	F	206
Banks	USA	M	202
Banks	VNM	F	1774
Banks	VNM	M	1334
Banks	WSM	F	73
Banks	WSM	M	75
Banks	ZAF	F	246
Banks	ZAF	M	268
Banks	ZWE	F	42
Banks	ZWE	M	38
Barton		F	9375
Barton		M	9418
Barton	AFG	F	15
Barton	AFG	M	24
Barton	AUS	F	40610
Barton	AUS	M	42503
Barton	BGD	F	721
Barton	BGD	M	1186
Barton	BIH	F	145
Barton	BIH	M	127
Barton	BRA	F	881
Barton	BRA	M	907
Barton	CAN	F	118
Barton	CAN	M	103
Barton	CHL	F	268
Barton	CHL	M	267
Barton	CHN	F	9964
Barton	CHN	M	7746
Barton	DEU	F	186
Barton	DEU	M	168
Barton	EGY	F	621
Barton	EGY	M	601
Barton	FJI	F	476
Barton	FJI	M	402
Barton	FRA	F	120
Barton	FRA	M	144
Barton	GBR	F	1154
Barton	GBR	M	1550
Barton	GRC	F	2951
Barton	GRC	M	2463
Barton	HKG	F	1429
Barton	HKG	M	1275
Barton	HRV	F	253
Barton	HRV	M	237
Barton	IDN	F	1371
Barton	IDN	M	1140
Barton	IND	F	1367
Barton	IND	M	1642
Barton	IRL	F	240
Barton	IRL	M	326
Barton	IRN	F	128
Barton	IRN	M	150
Barton	IRQ	F	82
Barton	IRQ	M	112
Barton	ITA	F	1029
Barton	ITA	M	984
Barton	JPN	F	382
Barton	JPN	M	144
Barton	KHM	F	86
Barton	KHM	M	62
Barton	KOR	F	467
Barton	KOR	M	283
Barton	LBN	F	2168
Barton	LBN	M	2207
Barton	LKA	F	125
Barton	LKA	M	143
Barton	MKD	F	1672
Barton	MKD	M	1538
Barton	MLT	F	165
Barton	MLT	M	153
Barton	MMR	F	76
Barton	MMR	M	65
Barton	MUS	F	69
Barton	MUS	M	81
Barton	MYS	F	743
Barton	MYS	M	785
Barton	NLD	F	52
Barton	NLD	M	57
Barton	NPL	F	3648
Barton	NPL	M	4972
Barton	NZL	F	1120
Barton	NZL	M	1240
Barton	PAK	F	134
Barton	PAK	M	299
Barton	PHL	F	2143
Barton	PHL	M	1489
Barton	PNG	F	45
Barton	PNG	M	43
Barton	POL	F	202
Barton	POL	M	168
Barton	SGP	F	268
Barton	SGP	M	224
Barton	THA	F	1037
Barton	THA	M	472
Barton	TUR	F	216
Barton	TUR	M	274
Barton	TWN	F	361
Barton	TWN	M	250
Barton	USA	F	307
Barton	USA	M	281
Barton	VNM	F	1845
Barton	VNM	M	1501
Barton	WSM	F	43
Barton	WSM	M	47
Barton	ZAF	F	200
Barton	ZAF	M	203
Barton	ZWE	F	45
Barton	ZWE	M	37
Bennelong		F	6827
Bennelong		M	6497
Bennelong	AFG	F	175
Bennelong	AFG	M	184
Bennelong	AUS	F	43577
Bennelong	AUS	M	44611
Bennelong	BGD	F	380
Bennelong	BGD	M	481
Bennelong	BIH	F	57
Bennelong	BIH	M	55
Bennelong	BRA	F	251
Bennelong	BRA	M	218
Bennelong	CAN	F	164
Bennelong	CAN	M	163
Bennelong	CHL	F	133
Bennelong	CHL	M	104
Bennelong	CHN	F	14695
Bennelong	CHN	M	11550
Bennelong	DEU	F	245
Bennelong	DEU	M	263
Bennelong	EGY	F	284
Bennelong	EGY	M	288
Bennelong	FJI	F	327
Bennelong	FJI	M	259
