CED_NAME16	Age5yr	Indigenous	persons
Banks	0-4		294
Banks	0-4	0	8429
Banks	0-4	1	145
Banks	5-9		359
Banks	5-9	0	9088
Banks	5-9	1	137
Banks	10-14		313
Banks	10-14	0	8859
Banks	10-14	1	163
Banks	15-19		291
Banks	15-19	0	8691
Banks	15-19	1	161
Banks	20-24		394
Banks	20-24	0	10495
Banks	20-24	1	138
Banks	25-29		478
Banks	25-29	0	10711
Banks	25-29	1	137
Banks	30-34		491
Banks	30-34	0	10844
Banks	30-34	1	98
Banks	35-39		513
Banks	35-39	0	11107
Banks	35-39	1	87
Banks	40-44		334
Banks	40-44	0	10109
Banks	40-44	1	79
Banks	45-49		338
Banks	45-49	0	10147
Banks	45-49	1	86
Banks	50-54		305
Banks	50-54	0	9842
Banks	50-54	1	91
Banks	55-59		318
Banks	55-59	0	10184
Banks	55-59	1	81
Banks	60-64		305
Banks	60-64	0	9667
Banks	60-64	1	74
Banks	65+		1205
Banks	65+	0	27185
Banks	65+	1	132
Barton	0-4		379
Barton	0-4	0	9368
Barton	0-4	1	100
Barton	5-9		376
Barton	5-9	0	8545
Barton	5-9	1	114
Barton	10-14		334
Barton	10-14	0	8184
Barton	10-14	1	104
Barton	15-19		332
Barton	15-19	0	7822
Barton	15-19	1	102
Barton	20-24		640
Barton	20-24	0	12913
Barton	20-24	1	148
Barton	25-29		919
Barton	25-29	0	16391
Barton	25-29	1	154
Barton	30-34		894
Barton	30-34	0	16798
Barton	30-34	1	119
Barton	35-39		669
Barton	35-39	0	14525
Barton	35-39	1	87
Barton	40-44		545
Barton	40-44	0	11388
Barton	40-44	1	69
Barton	45-49		481
Barton	45-49	0	10730
Barton	45-49	1	66
Barton	50-54		416
Barton	50-54	0	10186
Barton	50-54	1	83
Barton	55-59		388
Barton	55-59	0	9754
Barton	55-59	1	60
Barton	60-64		302
Barton	60-64	0	8690
Barton	60-64	1	56
Barton	65+		1342
Barton	65+	0	26987
Barton	65+	1	96
Bennelong	0-4		318
Bennelong	0-4	0	10175
Bennelong	0-4	1	77
Bennelong	5-9		332
Bennelong	5-9	0	11196
Bennelong	5-9	1	71
Bennelong	10-14		288
Bennelong	10-14	0	10095
Bennelong	10-14	1	87
Bennelong	15-19		220
Bennelong	15-19	0	8967
Bennelong	15-19	1	109
Bennelong	20-24		404
Bennelong	20-24	0	11927
Bennelong	20-24	1	97
Bennelong	25-29		607
Bennelong	25-29	0	14415
Bennelong	25-29	1	92
Bennelong	30-34		615
Bennelong	30-34	0	16985
Bennelong	30-34	1	69
Bennelong	35-39		567
Bennelong	35-39	0	16619
Bennelong	35-39	1	47
Bennelong	40-44		419
Bennelong	40-44	0	13619
Bennelong	40-44	1	53
Bennelong	45-49		301
Bennelong	45-49	0	11628
Bennelong	45-49	1	49
Bennelong	50-54		296
Bennelong	50-54	0	10598
Bennelong	50-54	1	39
Bennelong	55-59		277
Bennelong	55-59	0	10716
Bennelong	55-59	1	31
Bennelong	60-64		236
Bennelong	60-64	0	9791
Bennelong	60-64	1	27
Bennelong	65+		885
Bennelong	65+	0	27825
Bennelong	65+	1	59
Berowra	0-4		144
Berowra	0-4	0	6791
Berowra	0-4	1	83
Berowra	5-9		181
Berowra	5-9	0	9986
Berowra	5-9	1	99
Berowra	10-14		190
Berowra	10-14	0	11174
Berowra	10-14	1	113
Berowra	15-19		190
Berowra	15-19	0	10320
Berowra	15-19	1	112
Berowra	20-24		173
Berowra	20-24	0	8503
Berowra	20-24	1	95
Berowra	25-29		123
Berowra	25-29	0	5832
Berowra	25-29	1	59
