CED_NAME21	MaxSchoolingCompleted	Sex	persons
Banks	Did not go to school	F	1243
Banks	Did not go to school	M	827
Banks	Year 8	F	3017
Banks	Year 8	M	2336
Banks	Year 9	F	3132
Banks	Year 9	M	2801
Banks	Year 10	F	10795
Banks	Year 10	M	10480
Banks	Year 11	F	2889
Banks	Year 11	M	3285
Banks	Year 12	F	44647
Banks	Year 12	M	42308
Barton	Did not go to school	F	1936
Barton	Did not go to school	M	1352
Barton	Year 8	F	4385
Barton	Year 8	M	3288
Barton	Year 9	F	2351
Barton	Year 9	M	2369
Barton	Year 10	F	8489
Barton	Year 10	M	8996
Barton	Year 11	F	3052
Barton	Year 11	M	3462
Barton	Year 12	F	52591
Barton	Year 12	M	51822
Bennelong	Did not go to school	F	971
Bennelong	Did not go to school	M	685
Bennelong	Year 8	F	2088
Bennelong	Year 8	M	1651
Bennelong	Year 9	F	2410
Bennelong	Year 9	M	2151
Bennelong	Year 10	F	8001
Bennelong	Year 10	M	7122
Bennelong	Year 11	F	2732
Bennelong	Year 11	M	2886
Bennelong	Year 12	F	61933
Bennelong	Year 12	M	58781
Berowra	Did not go to school	F	398
Berowra	Did not go to school	M	313
Berowra	Year 8	F	1202
Berowra	Year 8	M	1097
Berowra	Year 9	F	2477
Berowra	Year 9	M	2350
Berowra	Year 10	F	9699
Berowra	Year 10	M	8874
Berowra	Year 11	F	2941
Berowra	Year 11	M	3084
Berowra	Year 12	F	44674
Berowra	Year 12	M	42534
Blaxland	Did not go to school	F	3371
Blaxland	Did not go to school	M	2864
Blaxland	Year 8	F	4979
Blaxland	Year 8	M	4567
Blaxland	Year 9	F	3343
Blaxland	Year 9	M	3548
Blaxland	Year 10	F	9767
Blaxland	Year 10	M	10743
Blaxland	Year 11	F	3317
Blaxland	Year 11	M	3724
Blaxland	Year 12	F	42074
Blaxland	Year 12	M	43693
Bradfield	Did not go to school	F	471
Bradfield	Did not go to school	M	305
Bradfield	Year 8	F	1081
Bradfield	Year 8	M	890
Bradfield	Year 9	F	2069
Bradfield	Year 9	M	1766
Bradfield	Year 10	F	6181
Bradfield	Year 10	M	4585
Bradfield	Year 11	F	2927
Bradfield	Year 11	M	2594
Bradfield	Year 12	F	56503
Bradfield	Year 12	M	52681
Calare	Did not go to school	F	216
Calare	Did not go to school	M	279
Calare	Year 8	F	2861
Calare	Year 8	M	3414
Calare	Year 9	F	5301
Calare	Year 9	M	5603
Calare	Year 10	F	18896
Calare	Year 10	M	20932
Calare	Year 11	F	4647
Calare	Year 11	M	4897
Calare	Year 12	F	31483
Calare	Year 12	M	25254
Chifley	Did not go to school	F	1424
Chifley	Did not go to school	M	1006
Chifley	Year 8	F	3800
Chifley	Year 8	M	3171
Chifley	Year 9	F	4289
Chifley	Year 9	M	4220
Chifley	Year 10	F	13340
Chifley	Year 10	M	13847
Chifley	Year 11	F	4275
Chifley	Year 11	M	4306
Chifley	Year 12	F	45862
Chifley	Year 12	M	43751
Cook	Did not go to school	F	451
Cook	Did not go to school	M	354
Cook	Year 8	F	2022
Cook	Year 8	M	1631
Cook	Year 9	F	3179
Cook	Year 9	M	2638
Cook	Year 10	F	13023
Cook	Year 10	M	12137
Cook	Year 11	F	3047
Cook	Year 11	M	3582
Cook	Year 12	F	39517
Cook	Year 12	M	36016
Cowper	Did not go to school	F	340
Cowper	Did not go to school	M	337
Cowper	Year 8	F	3253
Cowper	Year 8	M	3479
Cowper	Year 9	F	6358
Cowper	Year 9	M	6263
Cowper	Year 10	F	21532
Cowper	Year 10	M	19990
Cowper	Year 11	F	5252
Cowper	Year 11	M	5329
Cowper	Year 12	F	31650
Cowper	Year 12	M	26561
Cunningham	Did not go to school	F	662
Cunningham	Did not go to school	M	446
Cunningham	Year 8	F	3112
Cunningham	Year 8	M	2520
Cunningham	Year 9	F	4141
Cunningham	Year 9	M	3861
Cunningham	Year 10	F	14668
Cunningham	Year 10	M	15061
Cunningham	Year 11	F	3612
Cunningham	Year 11	M	4302
Cunningham	Year 12	F	38765
Cunningham	Year 12	M	35804
Dobell	Did not go to school	F	246
Dobell	Did not go to school	M	274
Dobell	Year 8	F	2730
Dobell	Year 8	M	2632
Dobell	Year 9	F	5638
Dobell	Year 9	M	5159
Dobell	Year 10	F	20451
Dobell	Year 10	M	19510
Dobell	Year 11	F	4678
Dobell	Year 11	M	5021
Dobell	Year 12	F	30501
Dobell	Year 12	M	26184
Eden-Monaro	Did not go to school	F	208
Eden-Monaro	Did not go to school	M	247
Eden-Monaro	Year 8	F	2293
Eden-Monaro	Year 8	M	2735
Eden-Monaro	Year 9	F	3755
Eden-Monaro	Year 9	M	4248
Eden-Monaro	Year 10	F	14836
Eden-Monaro	Year 10	M	16314
Eden-Monaro	Year 11	F	4790
Eden-Monaro	Year 11	M	4947
Eden-Monaro	Year 12	F	36424
Eden-Monaro	Year 12	M	32397
Farrer	Did not go to school	F	514
Farrer	Did not go to school	M	512
Farrer	Year 8	F	3605
Farrer	Year 8	M	4323
Farrer	Year 9	F	5453
Farrer	Year 9	M	6350
Farrer	Year 10	F	17670
Farrer	Year 10	M	19494
Farrer	Year 11	F	7653
Farrer	Year 11	M	7719
Farrer	Year 12	F	30422
Farrer	Year 12	M	24327
Fowler	Did not go to school	F	5602
Fowler	Did not go to school	M	3806
Fowler	Year 8	F	6779
Fowler	Year 8	M	5221
Fowler	Year 9	F	3944
Fowler	Year 9	M	3732
Fowler	Year 10	F	9797
Fowler	Year 10	M	10427
Fowler	Year 11	F	3471
Fowler	Year 11	M	3916
Fowler	Year 12	F	37711
Fowler	Year 12	M	36932
Gilmore	Did not go to school	F	190
Gilmore	Did not go to school	M	233
Gilmore	Year 8	F	2903
Gilmore	Year 8	M	3141
Gilmore	Year 9	F	5944
Gilmore	Year 9	M	5953
Gilmore	Year 10	F	21010
Gilmore	Year 10	M	20520
Gilmore	Year 11	F	4637
Gilmore	Year 11	M	4954
Gilmore	Year 12	F	30877
Gilmore	Year 12	M	26923
Grayndler	Did not go to school	F	844
Grayndler	Did not go to school	M	580
Grayndler	Year 8	F	2220
Grayndler	Year 8	M	1743
Grayndler	Year 9	F	1447
Grayndler	Year 9	M	1535
Grayndler	Year 10	F	5653
Grayndler	Year 10	M	5736
Grayndler	Year 11	F	2138
Grayndler	Year 11	M	2567
Grayndler	Year 12	F	50682
Grayndler	Year 12	M	46394
Greenway	Did not go to school	F	928
Greenway	Did not go to school	M	638
Greenway	Year 8	F	2503
Greenway	Year 8	M	2102
Greenway	Year 9	F	3081
Greenway	Year 9	M	3126
Greenway	Year 10	F	11637
Greenway	Year 10	M	12164
Greenway	Year 11	F	3478
Greenway	Year 11	M	4063
Greenway	Year 12	F	52683
Greenway	Year 12	M	50836
Hughes	Did not go to school	F	312
Hughes	Did not go to school	M	245
Hughes	Year 8	F	1468
Hughes	Year 8	M	1290
Hughes	Year 9	F	3009
Hughes	Year 9	M	2811
Hughes	Year 10	F	12860
Hughes	Year 10	M	13399
Hughes	Year 11	F	3110
Hughes	Year 11	M	3838
Hughes	Year 12	F	38366
Hughes	Year 12	M	34798
Hume	Did not go to school	F	249
Hume	Did not go to school	M	262
Hume	Year 8	F	2310
Hume	Year 8	M	2670
Hume	Year 9	F	4897
Hume	Year 9	M	5324
Hume	Year 10	F	19343
Hume	Year 10	M	22111
Hume	Year 11	F	4727
Hume	Year 11	M	5069
Hume	Year 12	F	33683
Hume	Year 12	M	27018
Hunter	Did not go to school	F	243
Hunter	Did not go to school	M	275
Hunter	Year 8	F	2996
Hunter	Year 8	M	3209
Hunter	Year 9	F	6685
Hunter	Year 9	M	6570
Hunter	Year 10	F	22904
Hunter	Year 10	M	23770
Hunter	Year 11	F	5478
Hunter	Year 11	M	6087
Hunter	Year 12	F	28713
Hunter	Year 12	M	24101
Kingsford Smith	Did not go to school	F	807
Kingsford Smith	Did not go to school	M	587
Kingsford Smith	Year 8	F	2399
Kingsford Smith	Year 8	M	1897
Kingsford Smith	Year 9	F	2357
Kingsford Smith	Year 9	M	2138
Kingsford Smith	Year 10	F	8121
Kingsford Smith	Year 10	M	8439
Kingsford Smith	Year 11	F	2970
Kingsford Smith	Year 11	M	3506
Kingsford Smith	Year 12	F	57451
Kingsford Smith	Year 12	M	53094
Lindsay	Did not go to school	F	576
Lindsay	Did not go to school	M	486
Lindsay	Year 8	F	2854
Lindsay	Year 8	M	2742
Lindsay	Year 9	F	4885
Lindsay	Year 9	M	5005
Lindsay	Year 10	F	18876
Lindsay	Year 10	M	19976
Lindsay	Year 11	F	4862
Lindsay	Year 11	M	5274
Lindsay	Year 12	F	38268
Lindsay	Year 12	M	33010
Lyne	Did not go to school	F	158
Lyne	Did not go to school	M	162
Lyne	Year 8	F	2997
Lyne	Year 8	M	3643
Lyne	Year 9	F	6754
Lyne	Year 9	M	6846
Lyne	Year 10	F	22888
Lyne	Year 10	M	22531
Lyne	Year 11	F	4705
Lyne	Year 11	M	4739
Lyne	Year 12	F	25705
Lyne	Year 12	M	21408
Macarthur	Did not go to school	F	997
Macarthur	Did not go to school	M	753
Macarthur	Year 8	F	2940
Macarthur	Year 8	M	2727
Macarthur	Year 9	F	4939
Macarthur	Year 9	M	4797
Macarthur	Year 10	F	17500
Macarthur	Year 10	M	18096
Macarthur	Year 11	F	4947
Macarthur	Year 11	M	5449
Macarthur	Year 12	F	44878
Macarthur	Year 12	M	40512
Mackellar	Did not go to school	F	347
Mackellar	Did not go to school	M	282
Mackellar	Year 8	F	1309
Mackellar	Year 8	M	1183
Mackellar	Year 9	F	2614
Mackellar	Year 9	M	2488
Mackellar	Year 10	F	11347
Mackellar	Year 10	M	10334
Mackellar	Year 11	F	3428
Mackellar	Year 11	M	3725
Mackellar	Year 12	F	43622
Mackellar	Year 12	M	40772
Macquarie	Did not go to school	F	189
Macquarie	Did not go to school	M	182
Macquarie	Year 8	F	1569
Macquarie	Year 8	M	1807
Macquarie	Year 9	F	3661
Macquarie	Year 9	M	3868
Macquarie	Year 10	F	15296
Macquarie	Year 10	M	16581
Macquarie	Year 11	F	3873
Macquarie	Year 11	M	4079
Macquarie	Year 12	F	33725
Macquarie	Year 12	M	28478
McMahon	Did not go to school	F	3980
McMahon	Did not go to school	M	2936
McMahon	Year 8	F	5224
McMahon	Year 8	M	4935
McMahon	Year 9	F	4119
McMahon	Year 9	M	4174
McMahon	Year 10	F	12191
McMahon	Year 10	M	13308
McMahon	Year 11	F	3595
McMahon	Year 11	M	4170
McMahon	Year 12	F	36625
McMahon	Year 12	M	34705
Mitchell	Did not go to school	F	477
Mitchell	Did not go to school	M	324
Mitchell	Year 8	F	1639
Mitchell	Year 8	M	1284
Mitchell	Year 9	F	2841
Mitchell	Year 9	M	2610
Mitchell	Year 10	F	10984
Mitchell	Year 10	M	9998
Mitchell	Year 11	F	3230
Mitchell	Year 11	M	3571
Mitchell	Year 12	F	54576
Mitchell	Year 12	M	51506
New England	Did not go to school	F	310
New England	Did not go to school	M	351
New England	Year 8	F	2927
New England	Year 8	M	3836
New England	Year 9	F	5308
New England	Year 9	M	5765
New England	Year 10	F	18368
New England	Year 10	M	18938
New England	Year 11	F	4641
New England	Year 11	M	4434
New England	Year 12	F	28789
New England	Year 12	M	22978
Newcastle	Did not go to school	F	383
Newcastle	Did not go to school	M	324
Newcastle	Year 8	F	2204
Newcastle	Year 8	M	2041
Newcastle	Year 9	F	4415
Newcastle	Year 9	M	3997
Newcastle	Year 10	F	15096
Newcastle	Year 10	M	14926
Newcastle	Year 11	F	3860
Newcastle	Year 11	M	4442
Newcastle	Year 12	F	41245
Newcastle	Year 12	M	37971
North Sydney	Did not go to school	F	395
North Sydney	Did not go to school	M	238
North Sydney	Year 8	F	1038
North Sydney	Year 8	M	812
North Sydney	Year 9	F	1559
North Sydney	Year 9	M	1432
North Sydney	Year 10	F	5713
North Sydney	Year 10	M	4383
North Sydney	Year 11	F	2526
North Sydney	Year 11	M	2438
North Sydney	Year 12	F	58561
North Sydney	Year 12	M	53916
Page	Did not go to school	F	247
Page	Did not go to school	M	239
Page	Year 8	F	2916
Page	Year 8	M	3680
Page	Year 9	F	5822
Page	Year 9	M	6157
Page	Year 10	F	21561
Page	Year 10	M	21451
Page	Year 11	F	5106
Page	Year 11	M	5222
Page	Year 12	F	29841
Page	Year 12	M	25095
Parkes	Did not go to school	F	216
Parkes	Did not go to school	M	327
Parkes	Year 8	F	2960
Parkes	Year 8	M	4095
Parkes	Year 9	F	5029
Parkes	Year 9	M	5605
Parkes	Year 10	F	17025
Parkes	Year 10	M	18778
Parkes	Year 11	F	4511
Parkes	Year 11	M	4250
Parkes	Year 12	F	25117
Parkes	Year 12	M	19440
Parramatta	Did not go to school	F	1671
Parramatta	Did not go to school	M	1430
Parramatta	Year 8	F	2768
Parramatta	Year 8	M	2525
Parramatta	Year 9	F	2587
Parramatta	Year 9	M	2519
Parramatta	Year 10	F	8469
Parramatta	Year 10	M	8954
Parramatta	Year 11	F	2802
Parramatta	Year 11	M	3304
Parramatta	Year 12	F	56719
Parramatta	Year 12	M	58844
Paterson	Did not go to school	F	222
Paterson	Did not go to school	M	255
Paterson	Year 8	F	3041
Paterson	Year 8	M	3105
Paterson	Year 9	F	7067
Paterson	Year 9	M	6419
Paterson	Year 10	F	23361
Paterson	Year 10	M	23339
Paterson	Year 11	F	5456
Paterson	Year 11	M	5961
Paterson	Year 12	F	29777
Paterson	Year 12	M	25424
Reid	Did not go to school	F	1383
Reid	Did not go to school	M	1049
Reid	Year 8	F	2799
Reid	Year 8	M	2184
Reid	Year 9	F	2223
Reid	Year 9	M	2104
Reid	Year 10	F	8028
Reid	Year 10	M	7155
Reid	Year 11	F	2747
Reid	Year 11	M	3111
Reid	Year 12	F	65325
Reid	Year 12	M	63746
Richmond	Did not go to school	F	184
Richmond	Did not go to school	M	185
Richmond	Year 8	F	2530
Richmond	Year 8	M	2486
Richmond	Year 9	F	4561
Richmond	Year 9	M	4405
Richmond	Year 10	F	18178
Richmond	Year 10	M	17057
Richmond	Year 11	F	5122
Richmond	Year 11	M	5159
Richmond	Year 12	F	36880
Richmond	Year 12	M	31303
Riverina	Did not go to school	F	374
Riverina	Did not go to school	M	328
Riverina	Year 8	F	2883
Riverina	Year 8	M	3761
Riverina	Year 9	F	5291
Riverina	Year 9	M	5749
Riverina	Year 10	F	19025
Riverina	Year 10	M	20174
Riverina	Year 11	F	4937
Riverina	Year 11	M	4895
Riverina	Year 12	F	28638
Riverina	Year 12	M	22858
Robertson	Did not go to school	F	205
Robertson	Did not go to school	M	233
Robertson	Year 8	F	1989
Robertson	Year 8	M	1871
Robertson	Year 9	F	4562
Robertson	Year 9	M	3983
Robertson	Year 10	F	17205
Robertson	Year 10	M	15727
Robertson	Year 11	F	4022
Robertson	Year 11	M	4306
Robertson	Year 12	F	33825
Robertson	Year 12	M	30477
Shortland	Did not go to school	F	175
Shortland	Did not go to school	M	191
Shortland	Year 8	F	2427
Shortland	Year 8	M	2350
Shortland	Year 9	F	5951
