CED_NAME16	FamilyHousehold	IncomeHousehold.max	households
Banks	0		719
Banks	0	0	669
Banks	0	7875	200
Banks	0	15750	518
Banks	0	21000	1250
Banks	0	26250	2484
Banks	0	34125	1203
Banks	0	42000	857
Banks	0	52500	1024
Banks	0	65625	1166
Banks	0	78750	980
Banks	0	91875	768
Banks	0	105000	632
Banks	0	131250	1089
Banks	0	157500	178
Banks	0	183750	270
Banks	0	210000	83
Banks	0	Inf	337
Banks	1		2537
Banks	1	0	574
Banks	1	7875	187
Banks	1	15750	226
Banks	1	21000	210
Banks	1	26250	691
Banks	1	34125	714
Banks	1	42000	2034
Banks	1	52500	1806
Banks	1	65625	2300
Banks	1	78750	2688
Banks	1	91875	2099
Banks	1	105000	2274
Banks	1	131250	5141
Banks	1	157500	4132
Banks	1	183750	3660
Banks	1	210000	2575
Banks	1	Inf	8303
Barton	0		891
Barton	0	0	939
Barton	0	7875	240
Barton	0	15750	475
Barton	0	21000	1086
Barton	0	26250	2252
Barton	0	34125	1274
Barton	0	42000	938
Barton	0	52500	1358
Barton	0	65625	1627
Barton	0	78750	1414
Barton	0	91875	1389
Barton	0	105000	1135
Barton	0	131250	2064
Barton	0	157500	460
Barton	0	183750	615
Barton	0	210000	196
Barton	0	Inf	753
Barton	1		2657
Barton	1	0	750
Barton	1	7875	217
Barton	1	15750	227
Barton	1	21000	248
Barton	1	26250	704
Barton	1	34125	781
Barton	1	42000	2262
Barton	1	52500	1923
Barton	1	65625	2425
Barton	1	78750	3004
Barton	1	91875	2374
Barton	1	105000	2556
Barton	1	131250	6055
Barton	1	157500	4539
Barton	1	183750	3884
Barton	1	210000	2885
Barton	1	Inf	8313
Bennelong	0		727
Bennelong	0	0	994
Bennelong	0	7875	280
Bennelong	0	15750	543
Bennelong	0	21000	1090
Bennelong	0	26250	1892
Bennelong	0	34125	1387
Bennelong	0	42000	1119
Bennelong	0	52500	1398
Bennelong	0	65625	1854
Bennelong	0	78750	1619
Bennelong	0	91875	1449
Bennelong	0	105000	1221
Bennelong	0	131250	2356
Bennelong	0	157500	268
Bennelong	0	183750	583
Bennelong	0	210000	137
Bennelong	0	Inf	807
Bennelong	1		2760
Bennelong	1	0	808
Bennelong	1	7875	257
Bennelong	1	15750	260
Bennelong	1	21000	244
Bennelong	1	26250	687
Bennelong	1	34125	702
Bennelong	1	42000	1747
Bennelong	1	52500	1769
Bennelong	1	65625	2304
Bennelong	1	78750	2900
Bennelong	1	91875	2338
Bennelong	1	105000	2442
Bennelong	1	131250	6232
Bennelong	1	157500	4743
Bennelong	1	183750	4463
Bennelong	1	210000	3363
Bennelong	1	Inf	12607
Berowra	0		297
Berowra	0	0	336
Berowra	0	7875	151
Berowra	0	15750	273
Berowra	0	21000	427
Berowra	0	26250	1113
Berowra	0	34125	919
Berowra	0	42000	633
Berowra	0	52500	724
Berowra	0	65625	703
Berowra	0	78750	608
Berowra	0	91875	491
Berowra	0	105000	406
Berowra	0	131250	729
Berowra	0	157500	72
Berowra	0	183750	182
Berowra	0	210000	22
Berowra	0	Inf	302
Berowra	1		2416
Berowra	1	0	377
Berowra	1	7875	164
Berowra	1	15750	136
Berowra	1	21000	139
Berowra	1	26250	425
Berowra	1	34125	415
Berowra	1	42000	1168
Berowra	1	52500	1267
Berowra	1	65625	1692
Berowra	1	78750	2100
Berowra	1	91875	1584
Berowra	1	105000	1745
Berowra	1	131250	4040
Berowra	1	157500	3445
Berowra	1	183750	3598
Berowra	1	210000	2879
Berowra	1	Inf	13800
Blaxland	0		836
Blaxland	0	0	777
Blaxland	0	7875	174
Blaxland	0	15750	649
Blaxland	0	21000	1397
Blaxland	0	26250	2226
Blaxland	0	34125	1000
Blaxland	0	42000	777
Blaxland	0	52500	952
Blaxland	0	65625	997
Blaxland	0	78750	750
Blaxland	0	91875	579
Blaxland	0	105000	462
Blaxland	0	131250	697
Blaxland	0	157500	252
Blaxland	0	183750	205
Blaxland	0	210000	132
Blaxland	0	Inf	373
Blaxland	1		3115
Blaxland	1	0	894
Blaxland	1	7875	218
Blaxland	1	15750	344
Blaxland	1	21000	392
Blaxland	1	26250	1103
Blaxland	1	34125	1193
Blaxland	1	42000	2993
Blaxland	1	52500	2590
Blaxland	1	65625	3229
