CED_NAME16	OnlyEnglishSpokenHome	Sex	persons
Banks	0	F	39268
Banks	0	M	36156
Banks	1	F	39861
Banks	1	M	40128
Barton	0	F	53325
Barton	0	M	50234
Barton	1	F	32478
Barton	1	M	34860
Bennelong	0	F	52691
Bennelong	0	M	47471
Bennelong	1	F	41133
Bennelong	1	M	42274
Berowra	0	F	24386
Berowra	0	M	22058
Berowra	1	F	50843
Berowra	1	M	51177
Blaxland	0	F	62365
Blaxland	0	M	64279
Blaxland	1	F	22109
Blaxland	1	M	23679
Bradfield	0	F	35216
Bradfield	0	M	29955
Bradfield	1	F	49738
Bradfield	1	M	49365
Calare	0	F	4181
Calare	0	M	4007
Calare	1	F	74944
Calare	1	M	73177
Chifley	0	F	48501
Chifley	0	M	46268
Chifley	1	F	46199
Chifley	1	M	46708
Cook	0	F	17536
Cook	0	M	15094
Cook	1	F	55988
Cook	1	M	54434
Cowper	0	F	5054
Cowper	0	M	4334
Cowper	1	F	77449
Cowper	1	M	71830
Cunningham	0	F	13953
Cunningham	0	M	12956
Cunningham	1	F	64399
Cunningham	1	M	63080
Dobell	0	F	5754
Dobell	0	M	4895
Dobell	1	F	73641
Dobell	1	M	69670
Eden-Monaro	0	F	6514
Eden-Monaro	0	M	6226
Eden-Monaro	1	F	69433
Eden-Monaro	1	M	69252
Farrer	0	F	7463
Farrer	0	M	7451
Farrer	1	F	73391
Farrer	1	M	71384
Fowler	0	F	60899
Fowler	0	M	56561
Fowler	1	F	20451
Fowler	1	M	22758
Gilmore	0	F	4108
Gilmore	0	M	3537
Gilmore	1	F	74024
Gilmore	1	M	71360
Grayndler	0	F	19237
Grayndler	0	M	16649
Grayndler	1	F	54744
Grayndler	1	M	53318
Greenway	0	F	48206
Greenway	0	M	47273
Greenway	1	F	47472
Greenway	1	M	48177
Hughes	0	F	13904
Hughes	0	M	12404
Hughes	1	F	59827
Hughes	1	M	59216
Hume	0	F	6920
Hume	0	M	6281
Hume	1	F	75645
Hume	1	M	74517
Hunter	0	F	4007
Hunter	0	M	3482
