CED_NAME21	AgeStudent	students
Banks	0-4	2718
Banks	5-14	17907
Banks	15-19	7795
Banks	20-24	5546
Banks	25+	6975
Barton	0-4	2905
Barton	5-14	16539
Barton	15-19	7001
Barton	20-24	7371
Barton	25+	11659
Bennelong	0-4	3375
Bennelong	5-14	21145
Bennelong	15-19	8432
Bennelong	20-24	7254
Bennelong	25+	11350
Berowra	0-4	2636
Berowra	5-14	21149
Berowra	15-19	9501
Berowra	20-24	4861
Berowra	25+	5451
Blaxland	0-4	3186
Blaxland	5-14	22403
Blaxland	15-19	9314
Blaxland	20-24	7511
Blaxland	25+	9049
Bradfield	0-4	3135
Bradfield	5-14	23468
Bradfield	15-19	10539
Bradfield	20-24	5898
Bradfield	25+	7137
Calare	0-4	2925
Calare	5-14	21047
Calare	15-19	7105
Calare	20-24	2465
Calare	25+	5417
Chifley	0-4	3837
Chifley	5-14	27903
Chifley	15-19	9380
Chifley	20-24	5230
Chifley	25+	8243
Cook	0-4	2734
Cook	5-14	16608
Cook	15-19	7300
Cook	20-24	3591
Cook	25+	4864
Cowper	0-4	2475
Cowper	5-14	18335
Cowper	15-19	6689
Cowper	20-24	2256
Cowper	25+	5695
Cunningham	0-4	2924
Cunningham	5-14	17708
Cunningham	15-19	7917
Cunningham	20-24	6307
Cunningham	25+	7544
Dobell	0-4	3160
Dobell	5-14	19886
Dobell	15-19	7253
Dobell	20-24	2870
Dobell	25+	5262
Eden-Monaro	0-4	2548
Eden-Monaro	5-14	18351
Eden-Monaro	15-19	6430
Eden-Monaro	20-24	2159
Eden-Monaro	25+	5823
Farrer	0-4	2835
Farrer	5-14	19815
Farrer	15-19	7065
Farrer	20-24	2210
Farrer	25+	4925
Fowler	0-4	2149
Fowler	5-14	19190
Fowler	15-19	8941
Fowler	20-24	5358
Fowler	25+	7276
Gilmore	0-4	2518
Gilmore	5-14	16274
Gilmore	15-19	5708
Gilmore	20-24	1798
Gilmore	25+	4540
Grayndler	0-4	2446
Grayndler	5-14	14122
Grayndler	15-19	5300
Grayndler	20-24	4687
Grayndler	25+	9299
Greenway	0-4	4394
Greenway	5-14	28943
Greenway	15-19	9950
Greenway	20-24	5885
Greenway	25+	8652
Hughes	0-4	3273
Hughes	5-14	20258
Hughes	15-19	8263
Hughes	20-24	3721
Hughes	25+	4900
Hume	0-4	3697
Hume	5-14	22695
Hume	15-19	8124
Hume	20-24	2871
Hume	25+	4861
Hunter	0-4	3257
Hunter	5-14	21223
Hunter	15-19	7001
Hunter	20-24	2709
Hunter	25+	5374
Kingsford Smith	0-4	2844
Kingsford Smith	5-14	16852
Kingsford Smith	15-19	7501
Kingsford Smith	20-24	8067
Kingsford Smith	25+	11785
Lindsay	0-4	3900
Lindsay	5-14	24456
Lindsay	15-19	8381
Lindsay	20-24	3952
Lindsay	25+	6553
Lyne	0-4	2173
Lyne	5-14	16404
Lyne	15-19	5671
Lyne	20-24	1529
Lyne	25+	3800
Macarthur	0-4	4476
Macarthur	5-14	28519
Macarthur	15-19	9395
Macarthur	20-24	4386
Macarthur	25+	7537
Mackellar	0-4	2938
Mackellar	5-14	19462
Mackellar	15-19	8523
Mackellar	20-24	4077
Mackellar	25+	5125
Macquarie	0-4	2585
Macquarie	5-14	17516
Macquarie	15-19	7009
Macquarie	20-24	2778
Macquarie	25+	5398
McMahon	0-4	2834
McMahon	5-14	21987
McMahon	15-19	9074
McMahon	20-24	4750
McMahon	25+	6707
Mitchell	0-4	4003
Mitchell	5-14	28290
Mitchell	15-19	11037
Mitchell	20-24	5703
Mitchell	25+	7038
New England	0-4	2514
New England	5-14	18646
New England	15-19	6656
New England	20-24	2282
New England	25+	5093
Newcastle	0-4	2825
Newcastle	5-14	17632
Newcastle	15-19	7529
Newcastle	20-24	7077
Newcastle	25+	8951
North Sydney	0-4	2984
North Sydney	5-14	18141
North Sydney	15-19	7394
North Sydney	20-24	4747
North Sydney	25+	8447
Page	0-4	2517
Page	5-14	18632
Page	15-19	6186
Page	20-24	1792
Page	25+	5204
Parkes	0-4	2823
Parkes	5-14	18151
Parkes	15-19	5062
Parkes	20-24	1447
Parkes	25+	4193
Parramatta	0-4	3741
Parramatta	5-14	22556
Parramatta	15-19	7714
Parramatta	20-24	8045
Parramatta	25+	12338
Paterson	0-4	3332
Paterson	5-14	22034
Paterson	15-19	7033
Paterson	20-24	2806
Paterson	25+	5873
Reid	0-4	3065
Reid	5-14	17523
Reid	15-19	7416
Reid	20-24	9968
Reid	25+	13744
Richmond	0-4	2399
Richmond	5-14	17615
Richmond	15-19	6039
Richmond	20-24	2049
Richmond	25+	6088
Riverina	0-4	2904
Riverina	5-14	19593
Riverina	15-19	6757
Riverina	20-24	2769
Riverina	25+	4871
Robertson	0-4	2731
Robertson	5-14	17042
Robertson	15-19	6572
Robertson	20-24	2879
Robertson	25+	5333
Shortland	0-4	2871
Shortland	5-14	18019
Shortland	15-19	6431
Shortland	20-24	2781
Shortland	25+	4771
Sydney	0-4	1889
Sydney	5-14	7766
Sydney	15-19	4376
Sydney	20-24	12393
Sydney	25+	21931
Warringah	0-4	2827
Warringah	5-14	18345
Warringah	15-19	7697
Warringah	20-24	4049
Warringah	25+	6187
Watson	0-4	2990
Watson	5-14	21096
Watson	15-19	8742
Watson	20-24	6394
Watson	25+	10039
Wentworth	0-4	2413
Wentworth	5-14	13840
Wentworth	15-19	5643
Wentworth	20-24	3737
Wentworth	25+	7693
Werriwa	0-4	3595
Werriwa	5-14	28273
Werriwa	15-19	11659
Werriwa	20-24	5771
Werriwa	25+	6893
Whitlam	0-4	3200
Whitlam	5-14	20291
Whitlam	15-19	7591
Whitlam	20-24	2847
Whitlam	25+	5071
No usual address (NSW)	0-4	65
