CED_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Bennelong	55-64	Year 8 or below	M	205
Bennelong	55-64	Year 9	F	227
Bennelong	55-64	Year 9	M	198
Bennelong	55-64	Year 10	F	1702
Bennelong	55-64	Year 10	M	1509
Bennelong	55-64	Year 11	F	346
Bennelong	55-64	Year 11	M	314
Bennelong	55-64	Year 12	F	7915
Bennelong	55-64	Year 12	M	7265
Bennelong	65-74		F	375
Bennelong	65-74		M	340
Bennelong	65-74	Did not go to school	F	158
Bennelong	65-74	Did not go to school	M	114
Bennelong	65-74	Year 8 or below	F	544
Bennelong	65-74	Year 8 or below	M	375
Bennelong	65-74	Year 9	F	467
Bennelong	65-74	Year 9	M	354
Bennelong	65-74	Year 10	F	1660
Bennelong	65-74	Year 10	M	1083
Bennelong	65-74	Year 11	F	274
Bennelong	65-74	Year 11	M	196
Bennelong	65-74	Year 12	F	4784
Bennelong	65-74	Year 12	M	4995
Bennelong	75-84		F	384
Bennelong	75-84		M	280
Bennelong	75-84	Did not go to school	F	181
Bennelong	75-84	Did not go to school	M	90
Bennelong	75-84	Year 8 or below	F	549
Bennelong	75-84	Year 8 or below	M	382
Bennelong	75-84	Year 9	F	427
Bennelong	75-84	Year 9	M	276
Bennelong	75-84	Year 10	F	1166
Bennelong	75-84	Year 10	M	662
Bennelong	75-84	Year 11	F	145
Bennelong	75-84	Year 11	M	120
Bennelong	75-84	Year 12	F	1867
Bennelong	75-84	Year 12	M	2019
Bennelong	85+		F	414
Bennelong	85+		M	214
Bennelong	85+	Did not go to school	F	149
Bennelong	85+	Did not go to school	M	79
Bennelong	85+	Year 8 or below	F	396
Bennelong	85+	Year 8 or below	M	247
Bennelong	85+	Year 9	F	314
Bennelong	85+	Year 9	M	163
Bennelong	85+	Year 10	F	673
Bennelong	85+	Year 10	M	340
Bennelong	85+	Year 11	F	65
Bennelong	85+	Year 11	M	63
Bennelong	85+	Year 12	F	694
Bennelong	85+	Year 12	M	638
Berowra	15-19		F	70
Berowra	15-19		M	117
Berowra	15-19	Year 8 or below	F	3
Berowra	15-19	Year 8 or below	M	9
Berowra	15-19	Year 9	F	30
Berowra	15-19	Year 9	M	50
Berowra	15-19	Year 10	F	155
Berowra	15-19	Year 10	M	271
Berowra	15-19	Year 11	F	88
Berowra	15-19	Year 11	M	139
Berowra	15-19	Year 12	F	1409
Berowra	15-19	Year 12	M	1507
Berowra	20-24		F	89
Berowra	20-24		M	98
Berowra	20-24	Did not go to school	M	7
Berowra	20-24	Year 8 or below	F	3
Berowra	20-24	Year 8 or below	M	4
Berowra	20-24	Year 9	F	12
Berowra	20-24	Year 9	M	31
Berowra	20-24	Year 10	F	130
Berowra	20-24	Year 10	M	312
Berowra	20-24	Year 11	F	94
Berowra	20-24	Year 11	M	201
Berowra	20-24	Year 12	F	3771
Berowra	20-24	Year 12	M	4003
Berowra	25-34		F	183
Berowra	25-34		M	170
Berowra	25-34	Did not go to school	F	23
Berowra	25-34	Did not go to school	M	29
Berowra	25-34	Year 8 or below	F	14
Berowra	25-34	Year 8 or below	M	29
Berowra	25-34	Year 9	F	39
Berowra	25-34	Year 9	M	50
Berowra	25-34	Year 10	F	262
Berowra	25-34	Year 10	M	540
Berowra	25-34	Year 11	F	159
Berowra	25-34	Year 11	M	235
Berowra	25-34	Year 12	F	5567
Berowra	25-34	Year 12	M	5136
Berowra	35-44		F	245
Berowra	35-44		M	257
Berowra	35-44	Did not go to school	F	33
Berowra	35-44	Did not go to school	M	45
Berowra	35-44	Year 8 or below	F	11
Berowra	35-44	Year 8 or below	M	27
Berowra	35-44	Year 9	F	37
Berowra	35-44	Year 9	M	69
Berowra	35-44	Year 10	F	433
Berowra	35-44	Year 10	M	698
Berowra	35-44	Year 11	F	192
Berowra	35-44	Year 11	M	225
Berowra	35-44	Year 12	F	9598
Berowra	35-44	Year 12	M	8111
Berowra	45-54		F	240
Berowra	45-54		M	269
Berowra	45-54	Did not go to school	F	50
Berowra	45-54	Did not go to school	M	43
Berowra	45-54	Year 8 or below	F	39
Berowra	45-54	Year 8 or below	M	58
Berowra	45-54	Year 9	F	82
Berowra	45-54	Year 9	M	123
Berowra	45-54	Year 10	F	1380
Berowra	45-54	Year 10	M	1542
Berowra	45-54	Year 11	F	355
Berowra	45-54	Year 11	M	379
Berowra	45-54	Year 12	F	9487
Berowra	45-54	Year 12	M	8569
Berowra	55-64		F	231
Berowra	55-64		M	237
Berowra	55-64	Did not go to school	F	49
Berowra	55-64	Did not go to school	M	46
Berowra	55-64	Year 8 or below	F	120
Berowra	55-64	Year 8 or below	M	107
Berowra	55-64	Year 9	F	161
Berowra	55-64	Year 9	M	187
Berowra	55-64	Year 10	F	2083
Berowra	55-64	Year 10	M	1918
Berowra	55-64	Year 11	F	421
Berowra	55-64	Year 11	M	423
Berowra	55-64	Year 12	F	7267
Berowra	55-64	Year 12	M	6885
Berowra	65-74		F	276
Berowra	65-74		M	251
Berowra	65-74	Did not go to school	F	75
Berowra	65-74	Did not go to school	M	48
Berowra	65-74	Year 8 or below	F	253
Berowra	65-74	Year 8 or below	M	221
Berowra	65-74	Year 9	F	484
Berowra	65-74	Year 9	M	316
Berowra	65-74	Year 10	F	2090
Berowra	65-74	Year 10	M	1297
Berowra	65-74	Year 11	F	343
Berowra	65-74	Year 11	M	276
Berowra	65-74	Year 12	F	4628
Berowra	65-74	Year 12	M	5123
Berowra	75-84		F	383
Berowra	75-84		M	305
Berowra	75-84	Did not go to school	F	86
Berowra	75-84	Did not go to school	M	67
Berowra	75-84	Year 8 or below	F	301
Berowra	75-84	Year 8 or below	M	220
Berowra	75-84	Year 9	F	480
Berowra	75-84	Year 9	M	387
Berowra	75-84	Year 10	F	1554
Berowra	75-84	Year 10	M	984
Berowra	75-84	Year 11	F	197
Berowra	75-84	Year 11	M	181
Berowra	75-84	Year 12	F	1971
Berowra	75-84	Year 12	M	2318
Berowra	85+		F	488
Berowra	85+		M	238
Berowra	85+	Did not go to school	F	76
Berowra	85+	Did not go to school	M	33
Berowra	85+	Year 8 or below	F	234
Berowra	85+	Year 8 or below	M	142
Berowra	85+	Year 9	F	259
Berowra	85+	Year 9	M	135
Berowra	85+	Year 10	F	605
Berowra	85+	Year 10	M	316
Berowra	85+	Year 11	F	78
Berowra	85+	Year 11	M	54
Berowra	85+	Year 12	F	729
Berowra	85+	Year 12	M	660
Blaxland	15-19		F	387
Blaxland	15-19		M	467
Blaxland	15-19	Did not go to school	F	6
Blaxland	15-19	Did not go to school	M	18
Blaxland	15-19	Year 8 or below	F	10
Blaxland	15-19	Year 8 or below	M	17
Blaxland	15-19	Year 9	F	21
Blaxland	15-19	Year 9	M	99
Blaxland	15-19	Year 10	F	197
Blaxland	15-19	Year 10	M	474
Blaxland	15-19	Year 11	F	136
Blaxland	15-19	Year 11	M	249
Blaxland	15-19	Year 12	F	1693
Blaxland	15-19	Year 12	M	1622
Blaxland	20-24		F	560
Blaxland	20-24		M	788
Blaxland	20-24	Did not go to school	F	38
Blaxland	20-24	Did not go to school	M	82
Blaxland	20-24	Year 8 or below	F	45
Blaxland	20-24	Year 8 or below	M	50
Blaxland	20-24	Year 9	F	47
Blaxland	20-24	Year 9	M	103
Blaxland	20-24	Year 10	F	260
Blaxland	20-24	Year 10	M	502
Blaxland	20-24	Year 11	F	207
Blaxland	20-24	Year 11	M	375
Blaxland	20-24	Year 12	F	5915
Blaxland	20-24	Year 12	M	6277
Blaxland	25-34		F	1282
Blaxland	25-34		M	1702
Blaxland	25-34	Did not go to school	F	225
Blaxland	25-34	Did not go to school	M	399
Blaxland	25-34	Year 8 or below	F	182
Blaxland	25-34	Year 8 or below	M	338
Blaxland	25-34	Year 9	F	224
Blaxland	25-34	Year 9	M	391
Blaxland	25-34	Year 10	F	846
Blaxland	25-34	Year 10	M	1361
Blaxland	25-34	Year 11	F	475
Blaxland	25-34	Year 11	M	547
Blaxland	25-34	Year 12	F	11660
Blaxland	25-34	Year 12	M	11946
Blaxland	35-44		F	1060
Blaxland	35-44		M	1375
Blaxland	35-44	Did not go to school	F	295
Blaxland	35-44	Did not go to school	M	417
Blaxland	35-44	Year 8 or below	F	396
Blaxland	35-44	Year 8 or below	M	566
Blaxland	35-44	Year 9	F	343
Blaxland	35-44	Year 9	M	440
Blaxland	35-44	Year 10	F	1075
Blaxland	35-44	Year 10	M	1304
Blaxland	35-44	Year 11	F	420
Blaxland	35-44	Year 11	M	436
Blaxland	35-44	Year 12	F	8322
Blaxland	35-44	Year 12	M	8298
Blaxland	45-54		F	808
Blaxland	45-54		M	1015
Blaxland	45-54	Did not go to school	F	533
Blaxland	45-54	Did not go to school	M	485
Blaxland	45-54	Year 8 or below	F	678
Blaxland	45-54	Year 8 or below	M	684
Blaxland	45-54	Year 9	F	494
Blaxland	45-54	Year 9	M	508
Blaxland	45-54	Year 10	F	1686
Blaxland	45-54	Year 10	M	1807
Blaxland	45-54	Year 11	F	419
Blaxland	45-54	Year 11	M	404
Blaxland	45-54	Year 12	F	6000
Blaxland	45-54	Year 12	M	5864
Blaxland	55-64		F	761
Blaxland	55-64		M	832
Blaxland	55-64	Did not go to school	F	808
Blaxland	55-64	Did not go to school	M	581
Blaxland	55-64	Year 8 or below	F	1008
Blaxland	55-64	Year 8 or below	M	861
Blaxland	55-64	Year 9	F	538
Blaxland	55-64	Year 9	M	523
Blaxland	55-64	Year 10	F	2091
Blaxland	55-64	Year 10	M	1994
Blaxland	55-64	Year 11	F	321
Blaxland	55-64	Year 11	M	404
Blaxland	55-64	Year 12	F	4462
Blaxland	55-64	Year 12	M	4840
Blaxland	65-74		F	625
Blaxland	65-74		M	631
Blaxland	65-74	Did not go to school	F	657
Blaxland	65-74	Did not go to school	M	451
Blaxland	65-74	Year 8 or below	F	1181
Blaxland	65-74	Year 8 or below	M	854
Blaxland	65-74	Year 9	F	512
Blaxland	65-74	Year 9	M	469
Blaxland	65-74	Year 10	F	1527
Blaxland	65-74	Year 10	M	1300
Blaxland	65-74	Year 11	F	173
Blaxland	65-74	Year 11	M	200
Blaxland	65-74	Year 12	F	2371
Blaxland	65-74	Year 12	M	2890
Blaxland	75-84		F	460
Blaxland	75-84		M	457
Blaxland	75-84	Did not go to school	F	513
Blaxland	75-84	Did not go to school	M	275
Blaxland	75-84	Year 8 or below	F	902
Blaxland	75-84	Year 8 or below	M	739
Blaxland	75-84	Year 9	F	334
Blaxland	75-84	Year 9	M	288
Blaxland	75-84	Year 10	F	752
Blaxland	75-84	Year 10	M	687
Blaxland	75-84	Year 11	F	56
Blaxland	75-84	Year 11	M	60
Blaxland	75-84	Year 12	F	787
Blaxland	75-84	Year 12	M	1085
Blaxland	85+		F	472
Blaxland	85+		M	279
Blaxland	85+	Did not go to school	F	293
Blaxland	85+	Did not go to school	M	144
Blaxland	85+	Year 8 or below	F	513
Blaxland	85+	Year 8 or below	M	317
Blaxland	85+	Year 9	F	220
Blaxland	85+	Year 9	M	115
Blaxland	85+	Year 10	F	317
Blaxland	85+	Year 10	M	213
Blaxland	85+	Year 11	F	30
Blaxland	85+	Year 11	M	15
Blaxland	85+	Year 12	F	266
Blaxland	85+	Year 12	M	325
Bradfield	15-19		F	100
Bradfield	15-19		M	116
Bradfield	15-19	Year 8 or below	M	3
Bradfield	15-19	Year 9	F	10
Bradfield	15-19	Year 9	M	19
Bradfield	15-19	Year 10	F	75
Bradfield	15-19	Year 10	M	114
Bradfield	15-19	Year 11	F	44
Bradfield	15-19	Year 11	M	67
Bradfield	15-19	Year 12	F	1497
Bradfield	15-19	Year 12	M	1481
Bradfield	20-24		F	123
Bradfield	20-24		M	132
Bradfield	20-24	Year 8 or below	M	7
Bradfield	20-24	Year 9	F	7
Bradfield	20-24	Year 9	M	11
Bradfield	20-24	Year 10	F	56
Bradfield	20-24	Year 10	M	95
Bradfield	20-24	Year 11	F	65
Bradfield	20-24	Year 11	M	120
Bradfield	20-24	Year 12	F	4269
Bradfield	20-24	Year 12	M	4501
Bradfield	25-34		F	284
Bradfield	25-34		M	272
Bradfield	25-34	Did not go to school	F	49
Bradfield	25-34	Did not go to school	M	46
Bradfield	25-34	Year 8 or below	F	8
Bradfield	25-34	Year 8 or below	M	25
Bradfield	25-34	Year 9	F	16
Bradfield	25-34	Year 9	M	26
Bradfield	25-34	Year 10	F	143
Bradfield	25-34	Year 10	M	240
Bradfield	25-34	Year 11	F	117
Bradfield	25-34	Year 11	M	176
Bradfield	25-34	Year 12	F	7536
Bradfield	25-34	Year 12	M	6868
Bradfield	35-44		F	326
Bradfield	35-44		M	314
Bradfield	35-44	Did not go to school	F	62
Bradfield	35-44	Did not go to school	M	50
Bradfield	35-44	Year 8 or below	F	15
Bradfield	35-44	Year 8 or below	M	21
Bradfield	35-44	Year 9	F	30
Bradfield	35-44	Year 9	M	46
Bradfield	35-44	Year 10	F	215
Bradfield	35-44	Year 10	M	287
Bradfield	35-44	Year 11	F	124
Bradfield	35-44	Year 11	M	142
Bradfield	35-44	Year 12	F	12419
Bradfield	35-44	Year 12	M	10636
Bradfield	45-54		F	293
Bradfield	45-54		M	271
Bradfield	45-54	Did not go to school	F	57
Bradfield	45-54	Did not go to school	M	41
Bradfield	45-54	Year 8 or below	F	52
Bradfield	45-54	Year 8 or below	M	47
Bradfield	45-54	Year 9	F	64
Bradfield	45-54	Year 9	M	48
Bradfield	45-54	Year 10	F	567
Bradfield	45-54	Year 10	M	560
Bradfield	45-54	Year 11	F	232
Bradfield	45-54	Year 11	M	188
Bradfield	45-54	Year 12	F	11769
Bradfield	45-54	Year 12	M	10438
Bradfield	55-64		F	259
Bradfield	55-64		M	245
Bradfield	55-64	Did not go to school	F	87
Bradfield	55-64	Did not go to school	M	44
Bradfield	55-64	Year 8 or below	F	113
Bradfield	55-64	Year 8 or below	M	67
Bradfield	55-64	Year 9	F	117
Bradfield	55-64	Year 9	M	88
Bradfield	55-64	Year 10	F	889
Bradfield	55-64	Year 10	M	794
Bradfield	55-64	Year 11	F	312
Bradfield	55-64	Year 11	M	264
Bradfield	55-64	Year 12	F	8322
Bradfield	55-64	Year 12	M	7982
Bradfield	65-74		F	347
Bradfield	65-74		M	246
Bradfield	65-74	Did not go to school	F	93
Bradfield	65-74	Did not go to school	M	57
Bradfield	65-74	Year 8 or below	F	231
Bradfield	65-74	Year 8 or below	M	147
Bradfield	65-74	Year 9	F	263
Bradfield	65-74	Year 9	M	149
Bradfield	65-74	Year 10	F	1190
Bradfield	65-74	Year 10	M	523
Bradfield	65-74	Year 11	F	345
Bradfield	65-74	Year 11	M	185
Bradfield	65-74	Year 12	F	5815
Bradfield	65-74	Year 12	M	5839
Bradfield	75-84		F	386
Bradfield	75-84		M	294
Bradfield	75-84	Did not go to school	F	57
Bradfield	75-84	Did not go to school	M	41
Bradfield	75-84	Year 8 or below	F	210
Bradfield	75-84	Year 8 or below	M	137
Bradfield	75-84	Year 9	F	313
Bradfield	75-84	Year 9	M	178
Bradfield	75-84	Year 10	F	1186
Bradfield	75-84	Year 10	M	560
Bradfield	75-84	Year 11	F	349
Bradfield	75-84	Year 11	M	170
Bradfield	75-84	Year 12	F	3230
Bradfield	75-84	Year 12	M	3383
Bradfield	85+		F	491
Bradfield	85+		M	227
Bradfield	85+	Did not go to school	F	66
Bradfield	85+	Did not go to school	M	30
Bradfield	85+	Year 8 or below	F	200
Bradfield	85+	Year 8 or below	M	89
Bradfield	85+	Year 9	F	254
Bradfield	85+	Year 9	M	116
Bradfield	85+	Year 10	F	750
Bradfield	85+	Year 10	M	274
Bradfield	85+	Year 11	F	170
Bradfield	85+	Year 11	M	106
Bradfield	85+	Year 12	F	1387
Bradfield	85+	Year 12	M	1293
Calare	15-19		F	256
Calare	15-19		M	363
Calare	15-19	Did not go to school	M	4
Calare	15-19	Year 8 or below	F	21
Calare	15-19	Year 8 or below	M	50
Calare	15-19	Year 9	F	109
Calare	15-19	Year 9	M	174
Calare	15-19	Year 10	F	405
Calare	15-19	Year 10	M	741
Calare	15-19	Year 11	F	215
Calare	15-19	Year 11	M	370
Calare	15-19	Year 12	F	1008
Calare	15-19	Year 12	M	766
Calare	20-24		F	290
Calare	20-24		M	582
Calare	20-24	Did not go to school	M	7
Calare	20-24	Year 8 or below	F	12
Calare	20-24	Year 8 or below	M	35
