CED_NAME21	Age.min	persons
Berowra	33	1355
Berowra	34	1514
Berowra	35	1508
Berowra	36	1720
Berowra	37	1824
Berowra	38	1920
Berowra	39	2152
Berowra	40	2207
Berowra	41	2151
Berowra	42	2077
Berowra	43	2170
Berowra	44	2247
Berowra	45	2261
Berowra	46	2262
Berowra	47	2239
Berowra	48	2336
Berowra	49	2388
Berowra	50	2528
Berowra	51	2284
Berowra	52	2224
Berowra	53	2094
Berowra	54	2023
Berowra	55	1991
Berowra	56	2023
Berowra	57	2144
Berowra	58	2249
Berowra	59	2176
Berowra	60	2005
Berowra	61	1961
Berowra	62	1830
Berowra	63	1939
Berowra	64	1831
Berowra	65	1749
Berowra	66	1812
Berowra	67	1629
Berowra	68	1679
Berowra	69	1501
Berowra	70	1457
Berowra	71	1479
Berowra	72	1423
Berowra	73	1451
Berowra	74	1527
Berowra	75	1282
Berowra	76	1197
Berowra	77	1159
Berowra	78	967
Berowra	79	981
Berowra	80	3872
Berowra	85	2314
Berowra	90	1274
Berowra	95	413
Berowra	100	66
Blaxland	0	2566
Blaxland	1	2671
Blaxland	2	2686
Blaxland	3	2658
Blaxland	4	2742
Blaxland	5	2644
Blaxland	6	2605
Blaxland	7	2675
Blaxland	8	2542
Blaxland	9	2575
Blaxland	10	2526
Blaxland	11	2461
Blaxland	12	2499
Blaxland	13	2370
Blaxland	14	2382
Blaxland	15	2372
Blaxland	16	2352
Blaxland	17	2333
Blaxland	18	2311
Blaxland	19	2355
Blaxland	20	2874
Blaxland	21	3118
Blaxland	22	3092
Blaxland	23	3123
Blaxland	24	3164
Blaxland	25	3215
Blaxland	26	3362
Blaxland	27	3313
Blaxland	28	3226
Blaxland	29	3191
Blaxland	30	3283
Blaxland	31	3220
Blaxland	32	3109
Blaxland	33	2909
Blaxland	34	2850
Blaxland	35	2782
Blaxland	36	2795
Blaxland	37	2670
Blaxland	38	2610
Blaxland	39	2594
Blaxland	40	2580
Blaxland	41	2282
Blaxland	42	2221
Blaxland	43	2205
Blaxland	44	2105
Blaxland	45	2178
Blaxland	46	2143
Blaxland	47	2137
Blaxland	48	2145
Blaxland	49	2289
Blaxland	50	2284
Blaxland	51	2135
Blaxland	52	2089
Blaxland	53	2131
Blaxland	54	1939
Blaxland	55	2034
Blaxland	56	2134
Blaxland	57	2043
Blaxland	58	2182
Blaxland	59	2059
Blaxland	60	1952
Blaxland	61	2013
Blaxland	62	1963
Blaxland	63	1914
Blaxland	64	1795
Blaxland	65	1700
Blaxland	66	1615
Blaxland	67	1650
Blaxland	68	1461
Blaxland	69	1328
Blaxland	70	1308
Blaxland	71	1269
Blaxland	72	1170
Blaxland	73	1203
Blaxland	74	1169
Blaxland	75	1052
Blaxland	76	924
Blaxland	77	896
Blaxland	78	801
Blaxland	79	725
Blaxland	80	3025
Blaxland	85	2031
Blaxland	90	1101
Blaxland	95	339
Blaxland	100	54
Bradfield	0	1389
Bradfield	1	1491
Bradfield	2	1600
Bradfield	3	1756
Bradfield	4	1992
Bradfield	5	2067
Bradfield	6	2277
Bradfield	7	2305
Bradfield	8	2495
Bradfield	9	2429
Bradfield	10	2551
Bradfield	11	2527
Bradfield	12	2446
Bradfield	13	2507
Bradfield	14	2537
Bradfield	15	2482
Bradfield	16	2381
Bradfield	17	2339
Bradfield	18	2140
Bradfield	19	1932
Bradfield	20	2119
Bradfield	21	1982
Bradfield	22	1865
Bradfield	23	1766
Bradfield	24	1673
Bradfield	25	1576
