CED_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Banks			176
Banks		1951	102
Banks		1960	258
Banks		1970	644
Banks		1980	1123
Banks		1990	1182
Banks		2000	1449
Banks		2010	1240
Banks		2015	726
Banks		2016	249
Banks		2017	255
Banks		2018	191
Banks		2019	225
Banks		2020	83
Banks		2021	19
Banks	AFG	1990	7
Banks	AFG	2000	5
Banks	AFG	2010	5
Banks	AFG	2015	7
Banks	BGD		13
Banks	BGD	1980	4
Banks	BGD	1990	21
Banks	BGD	2000	74
Banks	BGD	2010	269
Banks	BGD	2015	193
Banks	BGD	2016	41
Banks	BGD	2017	39
Banks	BGD	2018	38
Banks	BGD	2019	45
Banks	BGD	2020	17
Banks	BGD	2021	6
Banks	CAN		4
Banks	CAN	1951	3
Banks	CAN	1960	6
Banks	CAN	1970	7
Banks	CAN	1980	18
Banks	CAN	1990	26
Banks	CAN	2000	29
Banks	CAN	2010	42
Banks	CAN	2015	16
Banks	CAN	2016	9
Banks	CAN	2017	3
Banks	CAN	2018	8
Banks	CAN	2019	3
Banks	CHN		400
Banks	CHN	1951	11
Banks	CHN	1960	45
Banks	CHN	1970	76
Banks	CHN	1980	220
Banks	CHN	1990	2470
Banks	CHN	2000	3437
Banks	CHN	2010	5374
Banks	CHN	2015	2272
Banks	CHN	2016	438
Banks	CHN	2017	467
Banks	CHN	2018	357
Banks	CHN	2019	428
Banks	CHN	2020	146
Banks	CHN	2021	25
Banks	DEU		12
Banks	DEU	1951	54
Banks	DEU	1960	54
Banks	DEU	1970	51
Banks	DEU	1980	21
Banks	DEU	1990	39
Banks	DEU	2000	33
Banks	DEU	2010	44
Banks	DEU	2015	31
Banks	DEU	2016	5
Banks	DEU	2017	8
Banks	DEU	2018	6
Banks	DEU	2019	4
Banks	EGY		26
Banks	EGY	1951	25
Banks	EGY	1960	70
Banks	EGY	1970	182
Banks	EGY	1980	159
Banks	EGY	1990	247
Banks	EGY	2000	276
Banks	EGY	2010	292
Banks	EGY	2015	182
Banks	EGY	2016	23
Banks	EGY	2017	29
Banks	EGY	2018	33
Banks	EGY	2019	19
Banks	EGY	2020	4
Banks	FJI		19
Banks	FJI	1951	5
Banks	FJI	1970	21
Banks	FJI	1980	74
Banks	FJI	1990	290
Banks	FJI	2000	213
Banks	FJI	2010	167
Banks	FJI	2015	40
Banks	FJI	2016	11
Banks	FJI	2017	14
Banks	FJI	2018	10
Banks	FJI	2019	14
Banks	FJI	2020	9
Banks	GBR		79
Banks	GBR	1951	92
Banks	GBR	1960	207
Banks	GBR	1970	587
Banks	GBR	1980	385
Banks	GBR	1990	314
Banks	GBR	2000	216
Banks	GBR	2010	382
Banks	GBR	2015	220
Banks	GBR	2016	56
Banks	GBR	2017	22
Banks	GBR	2018	44
Banks	GBR	2019	42
Banks	GBR	2020	11
Banks	GBR	2021	7
Banks	GRC		58
Banks	GRC	1951	14
Banks	GRC	1960	326
Banks	GRC	1970	885
