CED_NAME16	MotorVehicles.min	occupied_private_dwellings
Banks		800
Banks	0	6305
Banks	1	22031
Banks	2	18509
Banks	3	5884
Banks	4	3021
Barton		1113
Barton	0	9927
Barton	1	29707
Barton	2	16859
Barton	3	4837
Barton	4	2469
Bennelong		829
Bennelong	0	7961
Bennelong	1	32212
Bennelong	2	21323
Bennelong	3	5464
Bennelong	4	2554
Berowra		406
Berowra	0	1934
Berowra	1	15337
Berowra	2	20244
Berowra	3	6911
Berowra	4	4944
Blaxland		1445
Blaxland	0	6629
Blaxland	1	20493
Blaxland	2	16512
Blaxland	3	6042
Blaxland	4	3567
Bradfield		495
Bradfield	0	4436
Bradfield	1	23531
Bradfield	2	21568
Bradfield	3	5891
Bradfield	4	2743
Calare		1083
Calare	0	3439
Calare	1	20639
Calare	2	23213
Calare	3	8904
Calare	4	5452
Chifley		1148
Chifley	0	4864
Chifley	1	22091
Chifley	2	21673
Chifley	3	7072
Chifley	4	3711
Cook		570
Cook	0	3744
Cook	1	20715
Cook	2	20812
Cook	3	6231
Cook	4	3806
Cowper		1229
Cowper	0	3989
Cowper	1	26389
Cowper	2	23546
Cowper	3	7605
Cowper	4	3976
Cunningham		733
Cunningham	0	5453
Cunningham	1	22578
Cunningham	2	21832
Cunningham	3	6862
Cunningham	4	3943
Dobell		881
Dobell	0	3560
Dobell	1	21291
Dobell	2	21922
Dobell	3	7441
Dobell	4	4690
Eden-Monaro		843
Eden-Monaro	0	2243
Eden-Monaro	1	19482
Eden-Monaro	2	23463
Eden-Monaro	3	9117
Eden-Monaro	4	5742
Farrer		1337
Farrer	0	3599
Farrer	1	22141
Farrer	2	23986
Farrer	3	8728
Farrer	4	5174
Fowler		1117
Fowler	0	6191
Fowler	1	19815
Fowler	2	15869
Fowler	3	6356
Fowler	4	3902
Gilmore		1018
Gilmore	0	2723
Gilmore	1	23731
Gilmore	2	24611
Gilmore	3	7799
Gilmore	4	4498
Grayndler		637
Grayndler	0	10556
Grayndler	1	32136
Grayndler	2	14386
Grayndler	3	2696
Grayndler	4	1030
Greenway		810
Greenway	0	3519
Greenway	1	22544
Greenway	2	24956
Greenway	3	7515
Greenway	4	3731
Hughes		402
Hughes	0	2267
Hughes	1	15334
Hughes	2	21336
Hughes	3	7006
Hughes	4	4446
Hume		734
Hume	0	1881
Hume	1	15316
Hume	2	22867
Hume	3	9839
Hume	4	7870
Hunter		804
Hunter	0	2864
Hunter	1	20022
