CED_NAME21	Age5yr	Indigenous	Sex	persons
Banks	0-4		F	125
Banks	0-4		M	169
Banks	0-4	0	F	4001
Banks	0-4	0	M	4427
Banks	0-4	1	F	70
Banks	0-4	1	M	76
Banks	5-9		F	177
Banks	5-9		M	185
Banks	5-9	0	F	4381
Banks	5-9	0	M	4710
Banks	5-9	1	F	70
Banks	5-9	1	M	62
Banks	10-14		F	172
Banks	10-14		M	140
Banks	10-14	0	F	4329
Banks	10-14	0	M	4524
Banks	10-14	1	F	93
Banks	10-14	1	M	73
Banks	15-19		F	150
Banks	15-19		M	142
Banks	15-19	0	F	4154
Banks	15-19	0	M	4537
Banks	15-19	1	F	88
Banks	15-19	1	M	74
Banks	20-24		F	188
Banks	20-24		M	205
Banks	20-24	0	F	5043
Banks	20-24	0	M	5451
Banks	20-24	1	F	69
Banks	20-24	1	M	63
Banks	25-29		F	231
Banks	25-29		M	247
Banks	25-29	0	F	5227
Banks	25-29	0	M	5487
Banks	25-29	1	F	67
Banks	25-29	1	M	77
Banks	30-34		F	238
Banks	30-34		M	252
Banks	30-34	0	F	5488
Banks	30-34	0	M	5354
Banks	30-34	1	F	50
Banks	30-34	1	M	43
Banks	35-39		F	260
Banks	35-39		M	254
Banks	35-39	0	F	5662
Banks	35-39	0	M	5444
Banks	35-39	1	F	44
Banks	35-39	1	M	42
Banks	40-44		F	156
Banks	40-44		M	181
Banks	40-44	0	F	5278
Banks	40-44	0	M	4826
Banks	40-44	1	F	49
Banks	40-44	1	M	30
Banks	45-49		F	179
Banks	45-49		M	158
Banks	45-49	0	F	5305
Banks	45-49	0	M	4846
Banks	45-49	1	F	54
Banks	45-49	1	M	37
Banks	50-54		F	149
Banks	50-54		M	151
Banks	50-54	0	F	5170
Banks	50-54	0	M	4670
Banks	50-54	1	F	51
Banks	50-54	1	M	37
Banks	55-59		F	152
Banks	55-59		M	164
Banks	55-59	0	F	5225
Banks	55-59	0	M	4957
Banks	55-59	1	F	38
Banks	55-59	1	M	41
Banks	60-64		F	151
Banks	60-64		M	158
Banks	60-64	0	F	5015
Banks	60-64	0	M	4645
Banks	60-64	1	F	38
Banks	60-64	1	M	34
Banks	65+		F	680
Banks	65+		M	522
Banks	65+	0	F	14870
Banks	65+	0	M	12315
Banks	65+	1	F	83
Banks	65+	1	M	53
Barton	0-4		F	181
Barton	0-4		M	201
Barton	0-4	0	F	4502
Barton	0-4	0	M	4864
Barton	0-4	1	F	44
Barton	0-4	1	M	51
Barton	5-9		F	179
Barton	5-9		M	196
Barton	5-9	0	F	4123
Barton	5-9	0	M	4424
Barton	5-9	1	F	63
Barton	5-9	1	M	51
Barton	10-14		F	160
Barton	10-14		M	177
Barton	10-14	0	F	3994
Barton	10-14	0	M	4195
Barton	10-14	1	F	57
Barton	10-14	1	M	38
Barton	15-19		F	157
Barton	15-19		M	176
Barton	15-19	0	F	3680
Barton	15-19	0	M	4146
Barton	15-19	1	F	38
