CED_NAME16	medianTotalFamilyIncome
Banks	115856
Barton	112112
Bennelong	129168
Berowra	152516
Blaxland	80288
Bradfield	163800
Calare	102284
Chifley	105404
Cook	138528
Cowper	79248
Cunningham	117156
Dobell	99788
Eden-Monaro	113672
Farrer	94432
Fowler	79508
Gilmore	83252
Grayndler	169728
Greenway	129116
Hughes	141700
Hume	117624
Hunter	101920
Kingsford Smith	141700
Lindsay	113204
Lyne	75296
Macarthur	109044
Mackellar	151216
Macquarie	117156
McMahon	92872
Mitchell	152256
New England	87620
Newcastle	119756
North Sydney	186888
Page	80236
Parkes	95108
Parramatta	111280
Paterson	96668
Reid	127712
Richmond	91728
Riverina	94120
Robertson	108524
Shortland	104052
Sydney	157508
Warringah	189436
Watson	90740
Wentworth	207532
Werriwa	103272
Whitlam	103012
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Aston	114088
Ballarat	97552
Bendigo	96720
Bruce	97708
Calwell	91936
Casey	114608
Chisholm	115336
Cooper	124280
Corangamite	112372
Corio	106028
Deakin	120016
Dunkley	112788
Flinders	102128
Fraser	98072
Gellibrand	125944
Gippsland	83096
Goldstein	166088
Gorton	107380
Hawke	104416
Higgins	165308
Holt	103376
Hotham	98384
Indi	93288
Isaacs	126880
Jagajaga	134316
Kooyong	161876
La Trobe	112840
Lalor	105716
Macnamara	154076
Mallee	82680
Maribyrnong	130780
McEwen	119756
Melbourne	136344
Menzies	118144
Monash	87152
Nicholls	87464
Scullin	97344
Wannon	92040
Wills	123864
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Blair	96720
Bonner	126204
Bowman	110812
Brisbane	153244
Capricornia	110344
Dawson	109044
Dickson	120120
Fadden	101764
Fairfax	100516
Fisher	99164
Flynn	99580
Forde	99216
Griffith	147680
Groom	98124
Herbert	106184
Hinkler	71344
Kennedy	91104
Leichhardt	97396
Lilley	124696
Longman	88712
Maranoa	80184
McPherson	107796
Moncrieff	98592
Moreton	115752
Oxley	106964
Petrie	104468
Rankin	92352
Ryan	149084
Wide Bay	75972
Wright	103168
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	143000
Adelaide	112268
Barker	84344
Boothby	116324
Grey	80184
Hindmarsh	106548
Kingston	94380
Makin	96096
Mayo	98020
Spence	78936
Sturt	115700
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Brand	106912
Burt	99476
Canning	98436
Cowan	97188
Curtin	167596
Durack	114088
Forrest	100880
Fremantle	124696
Hasluck	115596
Moore	134992
O'Connor	99528
Pearce	116064
Perth	129948
Swan	116792
Tangney	127920
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	71500
Bass	85176
Braddon	80236
Clark	102856
Franklin	99320
Lyons	80444
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Lingiari	96200
Solomon	126984
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Bean	145444
Canberra	167440
Fenner	139828
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
