CED_NAME21	BornAust	persons
Banks	0	65372
Banks	1	91050
Barton	0	90093
Barton	1	83119
Bennelong	0	96647
Bennelong	1	88189
Berowra	0	54579
Berowra	1	94860
Blaxland	0	93689
Blaxland	1	80982
Bradfield	0	77546
Bradfield	1	87633
Calare	0	15670
Calare	1	141740
Chifley	0	89587
Chifley	1	99496
Cook	0	34974
Cook	1	108854
Cowper	0	21684
Cowper	1	136935
Cunningham	0	35323
Cunningham	1	119693
Dobell	0	23110
Dobell	1	131304
Eden-Monaro	0	23357
Eden-Monaro	1	127896
Farrer	0	19843
Farrer	1	138948
Fowler	0	94990
Fowler	1	67784
Gilmore	0	22403
Gilmore	1	130609
Grayndler	0	48979
Grayndler	1	95463
Greenway	0	92254
Greenway	1	101159
Hughes	0	32043
Hughes	1	114535
Hume	0	22194
Hume	1	141604
Hunter	0	17018
Hunter	1	149063
Kingsford Smith	0	78407
Kingsford Smith	1	94444
Lindsay	0	43044
Lindsay	1	134364
Lyne	0	14783
Lyne	1	132040
Macarthur	0	65264
Macarthur	1	130554
Mackellar	0	43166
Mackellar	1	107435
Macquarie	0	22544
Macquarie	1	117229
McMahon	0	79034
McMahon	1	86231
Mitchell	0	77622
Mitchell	1	106496
New England	0	14513
New England	1	130246
Newcastle	0	24893
Newcastle	1	134058
North Sydney	0	67639
North Sydney	1	93694
Page	0	16823
Page	1	139193
Parkes	0	10241
Parkes	1	125770
Parramatta	0	113291
Parramatta	1	77608
Paterson	0	17791
Paterson	1	149971
Reid	0	104540
Reid	1	88557
Richmond	0	27493
Richmond	1	127362
Riverina	0	13574
Riverina	1	136391
Robertson	0	29181
Robertson	1	115632
Shortland	0	16013
Shortland	1	129930
Sydney	0	99956
Sydney	1	90579
Warringah	0	51825
Warringah	1	94380
Watson	0	89426
Watson	1	82452
Wentworth	0	54825
Wentworth	1	84217
Werriwa	0	88235
Werriwa	1	100705
Whitlam	0	29550
Whitlam	1	131235
No usual address (NSW)	0	1908
