CED_NAME21	Ancestry	responses
Banks		8618
Banks	Australian	30027
Banks	Australian Aboriginal	1528
Banks	Chinese	32596
Banks	Croatian	2213
Banks	Dutch	763
Banks	English	30032
Banks	Filipino	3811
Banks	French	650
Banks	German	2753
Banks	Greek	9796
Banks	Hungarian	494
Banks	Indian	3300
Banks	Irish	9979
Banks	Italian	6693
Banks	Korean	769
Banks	Lebanese	8072
Banks	Macedonian	4387
Banks	Maltese	1283
Banks	Maori	1297
Banks	NZ	890
Banks	(Other)	30352
Banks	Polish	856
Banks	Russian	625
Banks	Samoan	651
Banks	Scottish	7353
Banks	Serbian	691
Banks	South African	490
Banks	Spanish	1148
Banks	Sri Lankan	275
Banks	Vietnamese	4129
Banks	Welsh	550
Barton		12128
Barton	Australian	22767
Barton	Australian Aboriginal	1297
Barton	Chinese	34577
Barton	Croatian	1338
Barton	Dutch	764
Barton	English	22666
Barton	Filipino	4866
Barton	French	821
Barton	German	2445
Barton	Greek	17352
Barton	Hungarian	543
Barton	Indian	4123
Barton	Irish	8561
Barton	Italian	8526
Barton	Korean	1069
Barton	Lebanese	11074
Barton	Macedonian	6085
Barton	Maltese	1343
Barton	Maori	1040
Barton	NZ	842
Barton	(Other)	42686
Barton	Polish	942
Barton	Russian	933
Barton	Samoan	496
Barton	Scottish	5746
Barton	Serbian	1247
Barton	South African	313
Barton	Spanish	1638
Barton	Sri Lankan	244
Barton	Vietnamese	4399
Barton	Welsh	466
Bennelong		8305
Bennelong	Australian	29590
Bennelong	Australian Aboriginal	903
Bennelong	Chinese	55140
Bennelong	Croatian	1241
Bennelong	Dutch	1182
Bennelong	English	31042
Bennelong	Filipino	4726
Bennelong	French	878
Bennelong	German	3173
Bennelong	Greek	2728
Bennelong	Hungarian	550
Bennelong	Indian	10496
Bennelong	Irish	10753
Bennelong	Italian	9448
Bennelong	Korean	11721
Bennelong	Lebanese	3480
Bennelong	Macedonian	345
Bennelong	Maltese	878
Bennelong	Maori	401
Bennelong	NZ	934
Bennelong	(Other)	32354
Bennelong	Polish	1131
Bennelong	Russian	1089
Bennelong	Samoan	153
Bennelong	Scottish	8749
Bennelong	Serbian	607
Bennelong	South African	663
Bennelong	Spanish	1063
Bennelong	Sri Lankan	1061
Bennelong	Vietnamese	2197
Bennelong	Welsh	683
Berowra		4655
Berowra	Australian	40650
Berowra	Australian Aboriginal	977
Berowra	Chinese	22930
Berowra	Croatian	893
Berowra	Dutch	2071
Berowra	English	45593
Berowra	Filipino	2269
Berowra	French	957
Berowra	German	4403
Berowra	Greek	1339
Berowra	Hungarian	575
Berowra	Indian	8267
Berowra	Irish	13428
Berowra	Italian	6242
Berowra	Korean	3184
Berowra	Lebanese	3352
Berowra	Macedonian	108
Berowra	Maltese	1396
Berowra	Maori	334
Berowra	NZ	1176
Berowra	(Other)	20460
Berowra	Polish	1326
Berowra	Russian	1019
Berowra	Samoan	105
Berowra	Scottish	12711
Berowra	Serbian	359
Berowra	South African	1460
Berowra	Spanish	846
Berowra	Sri Lankan	1250
Berowra	Vietnamese	863
Berowra	Welsh	1048
Blaxland		19624
Blaxland	Australian	20950
Blaxland	Australian Aboriginal	967
Blaxland	Chinese	25577
Blaxland	Croatian	1105
Blaxland	Dutch	237
Blaxland	English	16659
Blaxland	Filipino	2946
Blaxland	French	338
Blaxland	German	1234
Blaxland	Greek	3650
Blaxland	Hungarian	215
Blaxland	Indian	4956
Blaxland	Irish	3323
Blaxland	Italian	3889
Blaxland	Korean	2253
Blaxland	Lebanese	28221
Blaxland	Macedonian	2340
Blaxland	Maltese	626
Blaxland	Maori	627
Blaxland	NZ	375
Blaxland	(Other)	54698
Blaxland	Polish	740
Blaxland	Russian	466
Blaxland	Samoan	992
Blaxland	Scottish	2452
Blaxland	Serbian	403
Blaxland	South African	154
Blaxland	Spanish	619
Blaxland	Sri Lankan	454
Blaxland	Vietnamese	18263
Blaxland	Welsh	152
Bradfield		5252
Bradfield	Australian	35594
Bradfield	Australian Aboriginal	446
Bradfield	Chinese	41431
Bradfield	Croatian	840
Bradfield	Dutch	1937
Bradfield	English	45005
Bradfield	Filipino	2458
Bradfield	French	1205
Bradfield	German	4449
Bradfield	Greek	1468
Bradfield	Hungarian	796
Bradfield	Indian	7710
Bradfield	Irish	13461
Bradfield	Italian	4097
Bradfield	Korean	5550
Bradfield	Lebanese	881
Bradfield	Macedonian	175
Bradfield	Maltese	471
Bradfield	Maori	217
Bradfield	NZ	1183
Bradfield	(Other)	25701
Bradfield	Polish	1390
Bradfield	Russian	1237
Bradfield	Samoan	92
Bradfield	Scottish	13009
Bradfield	Serbian	327
Bradfield	South African	2891
Bradfield	Spanish	870
Bradfield	Sri Lankan	901
Bradfield	Vietnamese	1178
Bradfield	Welsh	1002
Calare		13641
Calare	Australian	71583
Calare	Australian Aboriginal	11843
Calare	Chinese	1458
Calare	Croatian	520
Calare	Dutch	2232
Calare	English	69267
Calare	Filipino	1202
Calare	French	725
Calare	German	6040
Calare	Greek	653
Calare	Hungarian	367
Calare	Indian	1213
Calare	Irish	21693
Calare	Italian	3163
Calare	Korean	179
Calare	Lebanese	433
Calare	Macedonian	51
Calare	Maltese	873
Calare	Maori	605
Calare	NZ	987
Calare	(Other)	8590
Calare	Polish	881
Calare	Russian	368
Calare	Samoan	118
Calare	Scottish	17317
Calare	Serbian	180
Calare	South African	391
Calare	Spanish	359
Calare	Sri Lankan	147
Calare	Vietnamese	210
Calare	Welsh	1012
Chifley		15817
Chifley	Australian	36939
Chifley	Australian Aboriginal	7877
Chifley	Chinese	6378
Chifley	Croatian	1384
Chifley	Dutch	1105
Chifley	English	32142
Chifley	Filipino	24405
Chifley	French	447
Chifley	German	3008
Chifley	Greek	1455
Chifley	Hungarian	606
Chifley	Indian	22914
Chifley	Irish	7048
Chifley	Italian	3557
Chifley	Korean	1065
Chifley	Lebanese	2838
Chifley	Macedonian	287
Chifley	Maltese	4191
Chifley	Maori	2486
Chifley	NZ	1276
Chifley	(Other)	56980
Chifley	Polish	1341
Chifley	Russian	430
Chifley	Samoan	5959
Chifley	Scottish	6089
Chifley	Serbian	677
Chifley	South African	570
Chifley	Spanish	1660
Chifley	Sri Lankan	966
Chifley	Vietnamese	1103
Chifley	Welsh	363
Cook		7056
Cook	Australian	43576
Cook	Australian Aboriginal	1848
Cook	Chinese	8240
Cook	Croatian	1769
Cook	Dutch	1495
Cook	English	48011
Cook	Filipino	1608
Cook	French	1140
Cook	German	4291
Cook	Greek	12378
Cook	Hungarian	540
Cook	Indian	1519
Cook	Irish	16133
Cook	Italian	8326
Cook	Korean	282
Cook	Lebanese	2820
Cook	Macedonian	2428
Cook	Maltese	1888
Cook	Maori	1028
Cook	NZ	1118
Cook	(Other)	18494
Cook	Polish	1182
Cook	Russian	1250
Cook	Samoan	272
Cook	Scottish	12023
Cook	Serbian	1019
Cook	South African	744
Cook	Spanish	1155
Cook	Sri Lankan	206
Cook	Vietnamese	722
Cook	Welsh	914
Cowper		12064
Cowper	Australian	67292
Cowper	Australian Aboriginal	11310
Cowper	Chinese	1429
Cowper	Croatian	400
Cowper	Dutch	2408
Cowper	English	72919
Cowper	Filipino	1276
Cowper	French	980
Cowper	German	6908
Cowper	Greek	650
Cowper	Hungarian	408
Cowper	Indian	1174
Cowper	Irish	20942
Cowper	Italian	3336
Cowper	Korean	133
Cowper	Lebanese	285
Cowper	Macedonian	60
Cowper	Maltese	830
Cowper	Maori	560
Cowper	NZ	1108
Cowper	(Other)	11006
Cowper	Polish	822
Cowper	Russian	354
Cowper	Samoan	110
Cowper	Scottish	18309
Cowper	Serbian	124
Cowper	South African	558
Cowper	Spanish	489
Cowper	Sri Lankan	97
Cowper	Vietnamese	241
Cowper	Welsh	1070
Cunningham		7845
Cunningham	Australian	54703
Cunningham	Australian Aboriginal	4185
Cunningham	Chinese	3791
Cunningham	Croatian	1754
Cunningham	Dutch	3136
Cunningham	English	56951
Cunningham	Filipino	1479
Cunningham	French	973
Cunningham	German	6054
Cunningham	Greek	2890
Cunningham	Hungarian	658
Cunningham	Indian	2408
Cunningham	Irish	17650
Cunningham	Italian	10324
Cunningham	Korean	388
Cunningham	Lebanese	1416
Cunningham	Macedonian	5020
Cunningham	Maltese	1508
Cunningham	Maori	744
Cunningham	NZ	1170
Cunningham	(Other)	18878
Cunningham	Polish	1488
Cunningham	Russian	501
Cunningham	Samoan	206
Cunningham	Scottish	16360
Cunningham	Serbian	1890
Cunningham	South African	619
Cunningham	Spanish	1304
Cunningham	Sri Lankan	222
Cunningham	Vietnamese	1022
Cunningham	Welsh	1666
Dobell		9513
Dobell	Australian	67278
Dobell	Australian Aboriginal	8981
Dobell	Chinese	2118
Dobell	Croatian	637
Dobell	Dutch	2272
Dobell	English	68445
Dobell	Filipino	1812
Dobell	French	959
Dobell	German	5090
Dobell	Greek	1226
Dobell	Hungarian	409
Dobell	Indian	1760
Dobell	Irish	18655
Dobell	Italian	4494
Dobell	Korean	445
Dobell	Lebanese	517
Dobell	Macedonian	99
Dobell	Maltese	1995
Dobell	Maori	1302
Dobell	NZ	1532
Dobell	(Other)	11136
Dobell	Polish	996
Dobell	Russian	549
Dobell	Samoan	306
Dobell	Scottish	16277
Dobell	Serbian	310
Dobell	South African	681
Dobell	Spanish	778
Dobell	Sri Lankan	140
Dobell	Vietnamese	300
Dobell	Welsh	1189
Eden-Monaro		10584
Eden-Monaro	Australian	64490
Eden-Monaro	Australian Aboriginal	5944
Eden-Monaro	Chinese	1598
Eden-Monaro	Croatian	1176
Eden-Monaro	Dutch	2807
Eden-Monaro	English	63981
Eden-Monaro	Filipino	1288
Eden-Monaro	French	882
Eden-Monaro	German	7710
Eden-Monaro	Greek	1045
Eden-Monaro	Hungarian	601
Eden-Monaro	Indian	1735
Eden-Monaro	Irish	20268
Eden-Monaro	Italian	4730
Eden-Monaro	Korean	175
Eden-Monaro	Lebanese	366
Eden-Monaro	Macedonian	1402
Eden-Monaro	Maltese	899
Eden-Monaro	Maori	746
Eden-Monaro	NZ	1009
Eden-Monaro	(Other)	12499
Eden-Monaro	Polish	1245
Eden-Monaro	Russian	498
Eden-Monaro	Samoan	237
Eden-Monaro	Scottish	17987
Eden-Monaro	Serbian	673
Eden-Monaro	South African	532
Eden-Monaro	Spanish	530
Eden-Monaro	Sri Lankan	176
Eden-Monaro	Vietnamese	247
Eden-Monaro	Welsh	1064
Farrer		14202
Farrer	Australian	66293
Farrer	Australian Aboriginal	7933
Farrer	Chinese	1388
Farrer	Croatian	397
Farrer	Dutch	2209
Farrer	English	64964
Farrer	Filipino	1671
Farrer	French	576
Farrer	German	9143
Farrer	Greek	609
Farrer	Hungarian	305
Farrer	Indian	2680
Farrer	Irish	19905
Farrer	Italian	11530
Farrer	Korean	145
Farrer	Lebanese	308
Farrer	Macedonian	51
Farrer	Maltese	412
Farrer	Maori	552
Farrer	NZ	795
Farrer	(Other)	11284
Farrer	Polish	667
Farrer	Russian	184
Farrer	Samoan	569
Farrer	Scottish	17645
Farrer	Serbian	182
Farrer	South African	385
Farrer	Spanish	501
Farrer	Sri Lankan	148
Farrer	Vietnamese	177
Farrer	Welsh	696
Fowler		15785
Fowler	Australian	16191
Fowler	Australian Aboriginal	1448
Fowler	Chinese	22384
Fowler	Croatian	2979
Fowler	Dutch	249
Fowler	English	13631
Fowler	Filipino	3257
Fowler	French	362
Fowler	German	1510
Fowler	Greek	1959
Fowler	Hungarian	262
Fowler	Indian	3630
Fowler	Irish	2712
Fowler	Italian	7870
Fowler	Korean	256
Fowler	Lebanese	4773
Fowler	Macedonian	1639
Fowler	Maltese	1502
Fowler	Maori	736
Fowler	NZ	412
Fowler	(Other)	55382
Fowler	Polish	1051
Fowler	Russian	728
Fowler	Samoan	2153
Fowler	Scottish	2128
Fowler	Serbian	4711
Fowler	South African	104
Fowler	Spanish	1641
Fowler	Sri Lankan	153
Fowler	Vietnamese	32724
Fowler	Welsh	162
Gilmore		11031
Gilmore	Australian	64952
Gilmore	Australian Aboriginal	8792
Gilmore	Chinese	1319
Gilmore	Croatian	860
Gilmore	Dutch	2500
Gilmore	English	71058
Gilmore	Filipino	1097
Gilmore	French	913
Gilmore	German	6585
Gilmore	Greek	1204
Gilmore	Hungarian	530
Gilmore	Indian	805
Gilmore	Irish	20572
Gilmore	Italian	4181
Gilmore	Korean	144
Gilmore	Lebanese	305
Gilmore	Macedonian	234
Gilmore	Maltese	1370
Gilmore	Maori	612
Gilmore	NZ	1144
Gilmore	(Other)	9159
Gilmore	Polish	1113
Gilmore	Russian	443
