CED_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Banks				17
Banks			0	12
Banks			7875	4
Banks			15750	5
Banks			21000	4
Banks			26250	13
Banks			34125	29
Banks			42000	30
Banks			52500	66
Banks			65625	89
Banks			78750	101
Banks			91875	76
Banks			105000	71
Banks			131250	113
Banks			157500	90
Banks			183750	48
Banks			210000	15
Banks			Inf	52
Banks	0			514
Banks	0		0	167
Banks	0		7875	48
Banks	0		15750	103
Banks	0		21000	138
Banks	0		26250	243
Banks	0		34125	381
Banks	0		42000	472
Banks	0		52500	600
Banks	0		65625	684
Banks	0		78750	641
Banks	0		91875	520
Banks	0		105000	413
Banks	0		131250	857
Banks	0		157500	438
Banks	0		183750	308
Banks	0		210000	152
Banks	0		Inf	349
Banks	1	0		1977
Banks	1	0	0	755
Banks	1	0	7875	167
Banks	1	0	15750	126
Banks	1	0	21000	69
Banks	1	0	26250	513
Banks	1	0	34125	310
Banks	1	0	42000	1528
Banks	1	0	52500	1379
Banks	1	0	65625	1871
Banks	1	0	78750	2292
Banks	1	0	91875	1711
Banks	1	0	105000	1999
Banks	1	0	131250	4440
Banks	1	0	157500	3660
Banks	1	0	183750	3214
Banks	1	0	210000	2244
Banks	1	0	Inf	7267
Banks	1	1	7875	37
Banks	1	1	15750	38
Banks	1	1	21000	43
Banks	1	1	26250	87
Banks	1	1	34125	151
Banks	1	1	42000	320
Barton				13
Barton			0	24
Barton			7875	4
Barton			15750	8
Barton			21000	11
Barton			26250	14
Barton			34125	32
Barton			42000	46
Barton			52500	89
Barton			65625	118
Barton			78750	138
Barton			91875	90
Barton			105000	95
Barton			131250	200
Barton			157500	115
Barton			183750	51
Barton			210000	36
Barton			Inf	75
Barton	0			520
Barton	0		0	221
Barton	0		7875	50
Barton	0		15750	95
Barton	0		21000	152
Barton	0		26250	254
Barton	0		34125	411
Barton	0		42000	461
Barton	0		52500	628
Barton	0		65625	719
Barton	0		78750	714
Barton	0		91875	556
Barton	0		105000	519
Barton	0		131250	870
Barton	0		157500	458
Barton	0		183750	264
Barton	0		210000	140
Barton	0		Inf	357
Barton	1	0		2079
Barton	1	0	0	847
Barton	1	0	7875	192
Barton	1	0	15750	138
Barton	1	0	21000	114
Barton	1	0	26250	506
Barton	1	0	34125	313
Barton	1	0	42000	1808
Barton	1	0	52500	1590
Barton	1	0	65625	1958
Barton	1	0	78750	2654
Barton	1	0	91875	2037
Barton	1	0	105000	2251
Barton	1	0	131250	5275
Barton	1	0	157500	3902
Barton	1	0	183750	3317
