CED_NAME21	PrivateDwelling	Sex	persons
Banks	0	F	3363
Banks	0	M	2899
Banks	1	F	78974
Banks	1	M	76316
Barton	0	F	5053
Barton	0	M	5012
Barton	1	F	85928
Barton	1	M	85276
Bennelong	0	F	4381
Bennelong	0	M	4180
Bennelong	1	F	92886
Bennelong	1	M	88994
Berowra	0	F	2477
Berowra	0	M	1876
Berowra	1	F	74472
Berowra	1	M	72665
Blaxland	0	F	6700
Blaxland	0	M	7414
Blaxland	1	F	85178
Blaxland	1	M	88864
Bradfield	0	F	3533
Bradfield	0	M	2674
Bradfield	1	F	83654
Bradfield	1	M	78415
Calare	0	F	7214
Calare	0	M	9668
Calare	1	F	77530
Calare	1	M	75383
Chifley	0	F	6614
Chifley	0	M	6118
Chifley	1	F	95192
Chifley	1	M	93719
Cook	0	F	3520
Cook	0	M	3098
Cook	1	F	72916
Cook	1	M	68918
Cowper	0	F	8250
Cowper	0	M	8320
Cowper	1	F	81040
Cowper	1	M	75007
Cunningham	0	F	4838
Cunningham	0	M	4421
Cunningham	1	F	76925
Cunningham	1	M	74667
Dobell	0	F	5108
Dobell	0	M	4402
Dobell	1	F	78726
Dobell	1	M	73931
Eden-Monaro	0	F	8597
Eden-Monaro	0	M	10321
Eden-Monaro	1	F	74613
Eden-Monaro	1	M	73886
Farrer	0	F	8279
Farrer	0	M	8931
Farrer	1	F	78643
Farrer	1	M	76616
Fowler	0	F	5995
Fowler	0	M	5699
Fowler	1	F	81781
Fowler	1	M	79900
Gilmore	0	F	6996
Gilmore	0	M	7828
Gilmore	1	F	76574
Gilmore	1	M	73218
Grayndler	0	F	4004
Grayndler	0	M	4630
Grayndler	1	F	71998
Grayndler	1	M	67780
Greenway	0	F	3906
Greenway	0	M	5262
Greenway	1	F	96225
Greenway	1	M	95995
Hughes	0	F	2548
Hughes	0	M	2691
Hughes	1	F	73214
Hughes	1	M	70720
Hume	0	F	4833
Hume	0	M	5376
Hume	1	F	81847
Hume	1	M	80020
Hunter	0	F	4978
