STE_NAME16	OnlyEnglishSpokenHome	persons
New South Wales	0	2146080
New South Wales	1	5457982
Victoria	0	1791786
Victoria	1	4369804
Queensland	0	681877
Queensland	1	4151206
South Australia	0	317287
South Australia	1	1382951
Western Australia	0	489043
Western Australia	1	2002771
Tasmania	0	48690
Tasmania	1	479875
Northern Territory	0	75337
Northern Territory	1	133262
Australian Capital Territory	0	111660
Australian Capital Territory	1	323854
Other Territories	0	1946
Other Territories	1	1956
