STE_NAME21	FamilyHousehold	IncomeHousehold.max	households
New South Wales	0		42564
New South Wales	0	0	31541
New South Wales	0	7875	10347
New South Wales	0	15750	25635
New South Wales	0	21000	53244
New South Wales	0	26250	124554
New South Wales	0	34125	77249
New South Wales	0	42000	52436
New South Wales	0	52500	65351
New South Wales	0	65625	70224
New South Wales	0	78750	55033
New South Wales	0	91875	47451
New South Wales	0	105000	38935
New South Wales	0	131250	70120
New South Wales	0	157500	10539
New South Wales	0	183750	19701
New South Wales	0	210000	5042
New South Wales	0	Inf	35408
New South Wales	1		139978
New South Wales	1	0	24741
New South Wales	1	7875	8469
New South Wales	1	15750	9007
New South Wales	1	21000	10532
New South Wales	1	26250	32590
New South Wales	1	34125	35952
New South Wales	1	42000	110483
New South Wales	1	52500	98106
New South Wales	1	65625	120246
New South Wales	1	78750	141421
New South Wales	1	91875	106178
New South Wales	1	105000	113463
New South Wales	1	131250	250646
New South Wales	1	157500	192965
New South Wales	1	183750	166284
New South Wales	1	210000	114275
New South Wales	1	Inf	389770
Victoria	0		34777
Victoria	0	0	27871
Victoria	0	7875	8948
Victoria	0	15750	21074
Victoria	0	21000	42045
Victoria	0	26250	100982
Victoria	0	34125	63690
Victoria	0	42000	46107
Victoria	0	52500	58034
Victoria	0	65625	63393
Victoria	0	78750	51629
Victoria	0	91875	45650
Victoria	0	105000	35692
Victoria	0	131250	59943
Victoria	0	157500	9150
Victoria	0	183750	15737
Victoria	0	210000	4185
Victoria	0	Inf	25198
Victoria	1		113376
Victoria	1	0	20844
Victoria	1	7875	7584
Victoria	1	15750	8244
Victoria	1	21000	8858
Victoria	1	26250	26956
Victoria	1	34125	29537
Victoria	1	42000	88310
Victoria	1	52500	83047
Victoria	1	65625	101505
Victoria	1	78750	119946
Victoria	1	91875	92033
Victoria	1	105000	97782
Victoria	1	131250	214831
Victoria	1	157500	166290
Victoria	1	183750	136741
Victoria	1	210000	90148
Victoria	1	Inf	270105
Queensland	0		29924
Queensland	0	0	17115
Queensland	0	7875	6130
Queensland	0	15750	15400
Queensland	0	21000	32216
Queensland	0	26250	80026
Queensland	0	34125	56089
Queensland	0	42000	36262
Queensland	0	52500	46900
Queensland	0	65625	49608
Queensland	0	78750	39311
Queensland	0	91875	32281
Queensland	0	105000	25229
Queensland	0	131250	40807
Queensland	0	157500	7115
Queensland	0	183750	10230
Queensland	0	210000	2524
Queensland	0	Inf	14428
Queensland	1		112240
Queensland	1	0	13167
Queensland	1	7875	5483
Queensland	1	15750	5669
Queensland	1	21000	6543
Queensland	1	26250	21029
Queensland	1	34125	25089
Queensland	1	42000	77382
Queensland	1	52500	70711
Queensland	1	65625	84997
Queensland	1	78750	99157
Queensland	1	91875	74864
Queensland	1	105000	79804
Queensland	1	131250	172313
Queensland	1	157500	128428
Queensland	1	183750	103446
Queensland	1	210000	67387
Queensland	1	Inf	180177
South Australia	0		10228
South Australia	0	0	6245
South Australia	0	7875	2596
South Australia	0	15750	7783
South Australia	0	21000	16020
South Australia	0	26250	40299
South Australia	0	34125	24588
South Australia	0	42000	16061
