STE_NAME21	Age	MaxSchoolingCompleted	Sex	adults
New South Wales	15-19		F	10729
New South Wales	15-19		M	12025
New South Wales	15-19	Did not go to school	F	155
New South Wales	15-19	Did not go to school	M	208
New South Wales	15-19	Year 8 or below	F	640
New South Wales	15-19	Year 8 or below	M	1097
New South Wales	15-19	Year 9	F	2767
New South Wales	15-19	Year 9	M	4778
New South Wales	15-19	Year 10	F	12809
New South Wales	15-19	Year 10	M	22350
New South Wales	15-19	Year 11	F	7884
New South Wales	15-19	Year 11	M	11586
New South Wales	15-19	Year 12	F	59041
New South Wales	15-19	Year 12	M	52720
New South Wales	20-24		F	13694
New South Wales	20-24		M	17040
New South Wales	20-24	Did not go to school	F	576
New South Wales	20-24	Did not go to school	M	854
New South Wales	20-24	Year 8 or below	F	756
New South Wales	20-24	Year 8 or below	M	1214
New South Wales	20-24	Year 9	F	2388
New South Wales	20-24	Year 9	M	4259
New South Wales	20-24	Year 10	F	16209
New South Wales	20-24	Year 10	M	25959
New South Wales	20-24	Year 11	F	12517
New South Wales	20-24	Year 11	M	17948
New South Wales	20-24	Year 12	F	194678
New South Wales	20-24	Year 12	M	186849
New South Wales	25-34		F	35141
New South Wales	25-34		M	41646
New South Wales	25-34	Did not go to school	F	3130
New South Wales	25-34	Did not go to school	M	3905
New South Wales	25-34	Year 8 or below	F	3412
New South Wales	25-34	Year 8 or below	M	5188
New South Wales	25-34	Year 9	F	7861
New South Wales	25-34	Year 9	M	10438
New South Wales	25-34	Year 10	F	49577
New South Wales	25-34	Year 10	M	72232
New South Wales	25-34	Year 11	F	23549
New South Wales	25-34	Year 11	M	29458
New South Wales	25-34	Year 12	F	454677
New South Wales	25-34	Year 12	M	400636
New South Wales	35-44		F	30203
New South Wales	35-44		M	35674
New South Wales	35-44	Did not go to school	F	3611
New South Wales	35-44	Did not go to school	M	3957
New South Wales	35-44	Year 8 or below	F	5454
New South Wales	35-44	Year 8 or below	M	7350
New South Wales	35-44	Year 9	F	9822
New South Wales	35-44	Year 9	M	12870
New South Wales	35-44	Year 10	F	55183
New South Wales	35-44	Year 10	M	76045
New South Wales	35-44	Year 11	F	23043
New South Wales	35-44	Year 11	M	27163
New South Wales	35-44	Year 12	F	431177
New South Wales	35-44	Year 12	M	380648
New South Wales	45-54		F	25052
New South Wales	45-54		M	29754
New South Wales	45-54	Did not go to school	F	5361
New South Wales	45-54	Did not go to school	M	4514
New South Wales	45-54	Year 8 or below	F	8818
New South Wales	45-54	Year 8 or below	M	10342
New South Wales	45-54	Year 9	F	15482
New South Wales	45-54	Year 9	M	18157
New South Wales	45-54	Year 10	F	106107
New South Wales	45-54	Year 10	M	117201
New South Wales	45-54	Year 11	F	26681
New South Wales	45-54	Year 11	M	26890
New South Wales	45-54	Year 12	F	331756
New South Wales	45-54	Year 12	M	289760
New South Wales	55-64		F	24944
New South Wales	55-64		M	27860
New South Wales	55-64	Did not go to school	F	7893
New South Wales	55-64	Did not go to school	M	6160
