STE_NAME16	HomeCensusNight	Sex	persons
New South Wales	0	F	126375
New South Wales	0	M	136449
New South Wales	1	F	3961616
New South Wales	1	M	3847723
Victoria	0	F	102007
Victoria	0	M	105335
Victoria	1	F	3200522
Victoria	1	M	3095629
Queensland	0	F	99489
Queensland	0	M	126481
Queensland	1	F	2516247
Queensland	1	M	2413917
South Australia	0	F	34355
South Australia	0	M	40888
South Australia	1	F	868571
South Australia	1	M	837697
Western Australia	0	F	61282
Western Australia	0	M	90310
Western Australia	1	F	1275889
Western Australia	1	M	1232546
Tasmania	0	F	13528
Tasmania	0	M	14802
Tasmania	1	F	270275
Tasmania	1	M	258960
Northern Territory	0	F	7754
Northern Territory	0	M	9219
Northern Territory	1	F	107317
Northern Territory	1	M	108309
Australian Capital Territory	0	F	7942
Australian Capital Territory	0	M	8303
Australian Capital Territory	1	F	222200
Australian Capital Territory	1	M	216056
Other Territories	0	F	141
Other Territories	0	M	146
Other Territories	1	F	2129
Other Territories	1	M	2376
