STE_NAME21	OnlyEnglishSpokenHome	Sex	persons
New South Wales	0	F	1110551
New South Wales	0	M	1035532
New South Wales	1	F	2750024
New South Wales	1	M	2707952
Victoria	0	F	924326
Victoria	0	M	867455
Victoria	1	F	2211866
Victoria	1	M	2157940
Queensland	0	F	361766
Queensland	0	M	320107
Queensland	1	F	2104690
Queensland	1	M	2046514
South Australia	0	F	164049
South Australia	0	M	153239
South Australia	1	F	700733
South Australia	1	M	682215
Western Australia	0	F	257132
Western Australia	0	M	231911
Western Australia	1	F	1006945
Western Australia	1	M	995834
Tasmania	0	F	24617
Tasmania	0	M	24072
Tasmania	1	F	245214
Tasmania	1	M	234662
Northern Territory	0	F	39105
Northern Territory	0	M	36228
Northern Territory	1	F	65468
Northern Territory	1	M	67791
Australian Capital Territory	0	F	57636
Australian Capital Territory	0	M	54021
Australian Capital Territory	1	F	163428
Australian Capital Territory	1	M	160427
Other Territories	0	F	966
Other Territories	0	M	980
Other Territories	1	F	986
Other Territories	1	M	968
