STE_NAME21	medianMortgageRepayment
New South Wales	26004
Victoria	22308
Queensland	20796
South Australia	18000
Western Australia	22104
Tasmania	15756
Northern Territory	24000
Australian Capital Territory	24960
Other Territories	15600
