STE_NAME16	BornAust	persons
New South Wales	0	2366948
New South Wales	1	5277591
Victoria	0	1951837
Victoria	1	4228686
Queensland	0	1170334
Queensland	1	3680014
South Australia	0	428503
South Australia	1	1273356
Western Australia	0	857643
Western Australia	1	1648804
Tasmania	0	85669
Tasmania	1	440818
Northern Territory	0	50738
Northern Territory	1	161573
Australian Capital Territory	0	130653
Australian Capital Territory	1	306909
Other Territories	0	1382
Other Territories	1	2683
