STE_NAME16	Sex	persons
New South Wales	F	4087995
New South Wales	M	3984166
Victoria	F	3302528
Victoria	M	3200963
Queensland	F	2615736
Queensland	M	2540404
South Australia	F	902924
South Australia	M	878592
Western Australia	F	1337171
Western Australia	M	1322855
Tasmania	F	283804
Tasmania	M	273765
Northern Territory	F	115075
Northern Territory	M	117526
Australian Capital Territory	F	230140
Australian Capital Territory	M	224361
Other Territories	F	2268
Other Territories	M	2520
