STE_NAME16	MotorVehicles.min	occupied_private_dwellings
New South Wales		43732
New South Wales	0	262031
New South Wales	1	1096761
New South Wales	2	989258
New South Wales	3	321310
New South Wales	4	187380
Victoria		33611
Victoria	0	179348
Victoria	1	856243
Victoria	2	880945
Victoria	3	280276
Victoria	4	159812
Queensland		28738
Queensland	0	106309
Queensland	1	658705
Queensland	2	701752
Queensland	3	239394
Queensland	4	134558
South Australia		8916
South Australia	0	49186
South Australia	1	248514
South Australia	2	251206
South Australia	3	84951
South Australia	4	48534
Western Australia		13179
Western Australia	0	47107
Western Australia	1	327859
Western Australia	2	376783
Western Australia	3	127894
Western Australia	4	71915
Tasmania		3365
Tasmania	0	13015
Tasmania	1	75697
Tasmania	2	77289
Tasmania	3	30239
Tasmania	4	18802
Northern Territory		1769
Northern Territory	0	7624
Northern Territory	1	23957
Northern Territory	2	24345
Northern Territory	3	8412
Northern Territory	4	4554
Australian Capital Territory		1484
Australian Capital Territory	0	9273
Australian Capital Territory	1	65446
Australian Capital Territory	2	64634
Australian Capital Territory	3	18290
Australian Capital Territory	4	9278
Other Territories		61
Other Territories	0	62
Other Territories	1	558
Other Territories	2	524
Other Territories	3	208
Other Territories	4	115
