STE_NAME21	medianTotalFamilyIncome
New South Wales	113620
Victoria	111072
Queensland	105248
South Australia	98228
Western Australia	115128
Tasmania	89440
Northern Territory	115076
Australian Capital Territory	149344
Other Territories	98280
