STE_NAME16	IndigenousStatus	persons
New South Wales	Aboriginal	267067
New South Wales	Both Aboriginal & Torres Strait Islander	5844
New South Wales	Non-indigenous	7794125
New South Wales	Torres Strait Islander	5127
Victoria	Aboriginal	61865
Victoria	Both Aboriginal & Torres Strait Islander	1692
Victoria	Non-indigenous	6437851
Victoria	Torres Strait Islander	2083
Queensland	Aboriginal	193405
Queensland	Both Aboriginal & Torres Strait Islander	22122
Queensland	Non-indigenous	4918839
Queensland	Torres Strait Islander	21772
South Australia	Aboriginal	40592
South Australia	Both Aboriginal & Torres Strait Islander	967
South Australia	Non-indigenous	1738963
South Australia	Torres Strait Islander	994
Western Australia	Aboriginal	85004
Western Australia	Both Aboriginal & Torres Strait Islander	2068
Western Australia	Non-indigenous	2571329
Western Australia	Torres Strait Islander	1625
Tasmania	Aboriginal	27738
Tasmania	Both Aboriginal & Torres Strait Islander	1229
Tasmania	Non-indigenous	527379
Tasmania	Torres Strait Islander	1225
Northern Territory	Aboriginal	58566
Northern Territory	Both Aboriginal & Torres Strait Islander	1852
Northern Territory	Non-indigenous	171495
Northern Territory	Torres Strait Islander	692
Australian Capital Territory	Aboriginal	8425
Australian Capital Territory	Both Aboriginal & Torres Strait Islander	300
Australian Capital Territory	Non-indigenous	445544
Australian Capital Territory	Torres Strait Islander	230
Other Territories	Aboriginal	212
Other Territories	Both Aboriginal & Torres Strait Islander	6
Other Territories	Non-indigenous	4564
Other Territories	Torres Strait Islander	6
