STE_NAME16	Age	persons
New South Wales	0-4	468056
New South Wales	5-14	1001950
New South Wales	15-19	457896
New South Wales	20-24	496185
New South Wales	25-34	1142026
New South Wales	35-44	1103170
New South Wales	45-54	1016948
New South Wales	55-64	961784
New South Wales	65-74	788725
New South Wales	75-84	451521
New South Wales	85+	183895
Victoria	0-4	375900
Victoria	5-14	793556
Victoria	15-19	363201
Victoria	20-24	410337
Victoria	25-34	975493
Victoria	35-44	918738
Victoria	45-54	826885
Victoria	55-64	746547
Victoria	65-74	605557
Victoria	75-84	344801
Victoria	85+	142475
Queensland	0-4	292452
Queensland	5-14	671867
Queensland	15-19	313506
Queensland	20-24	323739
Queensland	25-34	701724
Queensland	35-44	687817
Queensland	45-54	674132
Queensland	55-64	615299
Queensland	65-74	503466
Queensland	75-84	274997
Queensland	85+	97140
South Australia	0-4	94232
South Australia	5-14	208912
South Australia	15-19	99152
South Australia	20-24	109174
South Australia	25-34	235287
South Australia	35-44	226660
South Australia	45-54	224641
South Australia	55-64	227147
South Australia	65-74	196344
South Australia	75-84	112656
South Australia	85+	47325
Western Australia	0-4	161753
Western Australia	5-14	344030
Western Australia	15-19	153263
Western Australia	20-24	158817
Western Australia	25-34	372352
Western Australia	35-44	379492
Western Australia	45-54	348256
Western Australia	55-64	313444
Western Australia	65-74	247382
Western Australia	75-84	131131
Western Australia	85+	50106
Tasmania	0-4	28277
Tasmania	5-14	64363
Tasmania	15-19	30065
Tasmania	20-24	31024
Tasmania	25-34	76661
Tasmania	35-44	65959
Tasmania	45-54	69206
Tasmania	55-64	75393
Tasmania	65-74	66998
Tasmania	75-84	36649
Tasmania	85+	12995
Northern Territory	0-4	16224
Northern Territory	5-14	32678
Northern Territory	15-19	14183
Northern Territory	20-24	15791
Northern Territory	25-34	42894
Northern Territory	35-44	35817
Northern Territory	45-54	29970
Northern Territory	55-64	24236
Northern Territory	65-74	14499
Northern Territory	75-84	5157
Northern Territory	85+	1157
Australian Capital Territory	0-4	26680
Australian Capital Territory	5-14	56253
Australian Capital Territory	15-19	26348
Australian Capital Territory	20-24	34261
Australian Capital Territory	25-34	77747
Australian Capital Territory	35-44	69387
Australian Capital Territory	45-54	56207
Australian Capital Territory	55-64	45406
Australian Capital Territory	65-74	35673
Australian Capital Territory	75-84	19350
Australian Capital Territory	85+	7181
Other Territories	0-4	243
Other Territories	5-14	587
Other Territories	15-19	189
Other Territories	20-24	218
Other Territories	25-34	583
Other Territories	35-44	642
Other Territories	45-54	665
Other Territories	55-64	772
Other Territories	65-74	586
Other Territories	75-84	257
Other Territories	85+	66
