STE_NAME21	BornAust	Sex	persons
New South Wales	0	F	1219373
New South Wales	0	M	1147575
New South Wales	1	F	2657480
New South Wales	1	M	2620108
Victoria	0	F	1004805
Victoria	0	M	947035
Victoria	1	F	2138535
Victoria	1	M	2090149
Queensland	0	F	612331
Queensland	0	M	557995
Queensland	1	F	1858645
Queensland	1	M	1821362
South Australia	0	F	222331
South Australia	0	M	206176
South Australia	1	F	641961
South Australia	1	M	631392
Western Australia	0	F	443973
Western Australia	0	M	413674
Western Australia	1	F	824648
Western Australia	1	M	824158
Tasmania	0	F	43581
Tasmania	0	M	42094
Tasmania	1	F	224842
Tasmania	1	M	215976
Northern Territory	0	F	26413
Northern Territory	0	M	24326
Northern Territory	1	F	79260
Northern Territory	1	M	82313
Australian Capital Territory	0	F	67640
Australian Capital Territory	0	M	63013
Australian Capital Territory	1	F	154335
Australian Capital Territory	1	M	152580
Other Territories	0	F	607
Other Territories	0	M	774
Other Territories	1	F	1319
Other Territories	1	M	1359
