STE_NAME21	Age5yr	Indigenous	Sex	persons
New South Wales	0-4		F	10236
New South Wales	0-4		M	10648
New South Wales	0-4	0	F	202440
New South Wales	0-4	0	M	214484
New South Wales	0-4	1	F	14664
New South Wales	0-4	1	M	15576
New South Wales	5-9		F	12246
New South Wales	5-9		M	12930
New South Wales	5-9	0	F	216269
New South Wales	5-9	0	M	228254
New South Wales	5-9	1	F	14865
New South Wales	5-9	1	M	16250
New South Wales	10-14		F	11716
New South Wales	10-14		M	12561
New South Wales	10-14	0	F	216695
New South Wales	10-14	0	M	228953
New South Wales	10-14	1	F	15281
New South Wales	10-14	1	M	15932
New South Wales	15-19		F	10260
New South Wales	15-19		M	11421
New South Wales	15-19	0	F	198091
New South Wales	15-19	0	M	210605
New South Wales	15-19	1	F	13399
New South Wales	15-19	1	M	14115
New South Wales	20-24		F	11933
New South Wales	20-24		M	13622
New South Wales	20-24	0	F	217551
New South Wales	20-24	0	M	229100
New South Wales	20-24	1	F	11893
New South Wales	20-24	1	M	12094
New South Wales	25-29		F	14784
New South Wales	25-29		M	15588
New South Wales	25-29	0	F	252473
New South Wales	25-29	0	M	252055
New South Wales	25-29	1	F	10577
New South Wales	25-29	1	M	10492
New South Wales	30-34		F	14682
New South Wales	30-34		M	15208
New South Wales	30-34	0	F	276397
New South Wales	30-34	0	M	262226
New South Wales	30-34	1	F	8941
New South Wales	30-34	1	M	8610
New South Wales	35-39		F	14101
New South Wales	35-39		M	14494
New South Wales	35-39	0	F	272975
New South Wales	35-39	0	M	263562
New South Wales	35-39	1	F	7781
New South Wales	35-39	1	M	7279
New South Wales	40-44		F	12024
New South Wales	40-44		M	12810
New South Wales	40-44	0	F	245268
New South Wales	40-44	0	M	239773
New South Wales	40-44	1	F	6840
New South Wales	40-44	1	M	6270
New South Wales	45-49		F	11305
New South Wales	45-49		M	12115
New South Wales	45-49	0	F	244656
New South Wales	45-49	0	M	234911
New South Wales	45-49	1	F	7363
New South Wales	45-49	1	M	6563
New South Wales	50-54		F	10092
New South Wales	50-54		M	11464
New South Wales	50-54	0	F	239177
New South Wales	50-54	0	M	225800
New South Wales	50-54	1	F	7195
New South Wales	50-54	1	M	6304
New South Wales	55-59		F	10226
New South Wales	55-59		M	11385
New South Wales	55-59	0	F	233346
New South Wales	55-59	0	M	223450
New South Wales	55-59	1	F	6241
New South Wales	55-59	1	M	5515
New South Wales	60-64		F	9310
New South Wales	60-64		M	10242
New South Wales	60-64	0	F	228710
New South Wales	60-64	0	M	213319
New South Wales	60-64	1	F	5273
New South Wales	60-64	1	M	4779
New South Wales	65+		F	39223
New South Wales	65+		M	33003
New South Wales	65+	0	F	711954
New South Wales	65+	0	M	621998
New South Wales	65+	1	F	9561
New South Wales	65+	1	M	8408
Victoria	0-4		F	7332
Victoria	0-4		M	7677
Victoria	0-4	0	F	172430
Victoria	0-4	0	M	181440
Victoria	0-4	1	F	3460
