STE_NAME21	Age5yr	ChildrenEverBorn	females
New South Wales	15-19		19252
New South Wales	15-19	0	201182
New South Wales	15-19	1	1092
New South Wales	15-19	2	159
New South Wales	15-19	3	20
New South Wales	15-19	4	8
New South Wales	15-19	5	7
New South Wales	15-19	6	31
New South Wales	20-24		20151
New South Wales	20-24	0	203972
New South Wales	20-24	1	11599
New South Wales	20-24	2	4458
New South Wales	20-24	3	923
New South Wales	20-24	4	177
New South Wales	20-24	5	25
New South Wales	20-24	6	61
New South Wales	25-29		21519
New South Wales	25-29	0	190758
New South Wales	25-29	1	33918
New South Wales	25-29	2	21692
New South Wales	25-29	3	7278
New South Wales	25-29	4	1960
New South Wales	25-29	5	484
New South Wales	25-29	6	215
New South Wales	30-34		19241
New South Wales	30-34	0	129093
New South Wales	30-34	1	62109
New South Wales	30-34	2	58689
New South Wales	30-34	3	21641
New South Wales	30-34	4	6549
New South Wales	30-34	5	1757
New South Wales	30-34	6	934
New South Wales	35-39		17109
New South Wales	35-39	0	69584
New South Wales	35-39	1	56253
New South Wales	35-39	2	95582
New South Wales	35-39	3	38560
New South Wales	35-39	4	12049
New South Wales	35-39	5	3546
New South Wales	35-39	6	2174
New South Wales	40-44		14381
New South Wales	40-44	0	44741
New South Wales	40-44	1	40760
New South Wales	40-44	2	96296
New South Wales	40-44	3	45090
New South Wales	40-44	4	15066
New South Wales	40-44	5	4633
New South Wales	40-44	6	3163
New South Wales	45-49		13638
New South Wales	45-49	0	40338
New South Wales	45-49	1	37517
New South Wales	45-49	2	96821
New South Wales	45-49	3	49305
New South Wales	45-49	4	16963
New South Wales	45-49	5	5228
New South Wales	45-49	6	3514
New South Wales	50-54		12565
New South Wales	50-54	0	38201
New South Wales	50-54	1	36066
New South Wales	50-54	2	93409
New South Wales	50-54	3	49843
New South Wales	50-54	4	17454
New South Wales	50-54	5	5433
New South Wales	50-54	6	3481
New South Wales	55-59		12604
New South Wales	55-59	0	35298
New South Wales	55-59	1	34132
New South Wales	55-59	2	89958
New South Wales	55-59	3	50594
New South Wales	55-59	4	18152
New South Wales	55-59	5	5527
New South Wales	55-59	6	3552
New South Wales	60-64		12200
New South Wales	60-64	0	31775
New South Wales	60-64	1	32108
New South Wales	60-64	2	85002
New South Wales	60-64	3	52489
New South Wales	60-64	4	20141
New South Wales	60-64	5	5990
New South Wales	60-64	6	3588
New South Wales	65-69		12006
New South Wales	65-69	0	25225
New South Wales	65-69	1	26761
New South Wales	65-69	2	74928
New South Wales	65-69	3	48759
New South Wales	65-69	4	19237
New South Wales	65-69	5	5611
New South Wales	65-69	6	3499
New South Wales	70-74		12461
New South Wales	70-74	0	19242
New South Wales	70-74	1	19304
New South Wales	70-74	2	68706
New South Wales	70-74	3	44865
New South Wales	70-74	4	18171
New South Wales	70-74	5	5462
New South Wales	70-74	6	3472
New South Wales	75-79		11789
New South Wales	75-79	0	12391
New South Wales	75-79	1	11557
New South Wales	75-79	2	46523
New South Wales	75-79	3	33909
New South Wales	75-79	4	15214
New South Wales	75-79	5	5052
New South Wales	75-79	6	3611
New South Wales	80-84		11199
New South Wales	80-84	0	7481
New South Wales	80-84	1	6879
New South Wales	80-84	2	27788
New South Wales	80-84	3	23991
New South Wales	80-84	4	13076
New South Wales	80-84	5	5232
New South Wales	80-84	6	4524
New South Wales	85+		19628
New South Wales	85+	0	7936
New South Wales	85+	1	8182
New South Wales	85+	2	25498
