STE_NAME16	medianTotalHouseholdIncome
New South Wales	95108
Victoria	91468
Queensland	87100
South Australia	75660
Western Australia	94380
Tasmania	70616
Northern Territory	107172
Australian Capital Territory	123396
Other Territories	77844
