STE_NAME16	CountryOfBirth	Sex	persons
New South Wales		F	344147
New South Wales		M	341113
New South Wales	AFG	F	6404
New South Wales	AFG	M	8213
New South Wales	AUS	F	2657480
New South Wales	AUS	M	2620108
New South Wales	BGD	F	13644
New South Wales	BGD	M	15960
New South Wales	BIH	F	3949
New South Wales	BIH	M	3692
New South Wales	BRA	F	10678
New South Wales	BRA	M	9734
New South Wales	CAN	F	8334
New South Wales	CAN	M	6882
New South Wales	CHL	F	7309
New South Wales	CHL	M	6763
New South Wales	CHN	F	138346
New South Wales	CHN	M	109246
New South Wales	DEU	F	15488
New South Wales	DEU	M	13431
New South Wales	EGY	F	10153
New South Wales	EGY	M	10984
New South Wales	FJI	F	19934
New South Wales	FJI	M	17436
New South Wales	FRA	F	6445
New South Wales	FRA	M	6826
New South Wales	GBR	F	128782
New South Wales	GBR	M	137823
New South Wales	GRC	F	15640
New South Wales	GRC	M	13759
New South Wales	HKG	F	25583
New South Wales	HKG	M	22547
New South Wales	HRV	F	8048
New South Wales	HRV	M	7437
New South Wales	IDN	F	21263
New South Wales	IDN	M	16646
New South Wales	IND	F	97081
New South Wales	IND	M	111887
New South Wales	IRL	F	12561
New South Wales	IRL	M	14443
New South Wales	IRN	F	13048
New South Wales	IRN	M	14469
New South Wales	IRQ	F	27614
New South Wales	IRQ	M	27739
New South Wales	ITA	F	22618
New South Wales	ITA	M	24579
New South Wales	JPN	F	10179
New South Wales	JPN	M	4712
New South Wales	KHM	F	7763
New South Wales	KHM	M	6057
New South Wales	KOR	F	28957
New South Wales	KOR	M	24086
New South Wales	LBN	F	30599
New South Wales	LBN	M	32691
New South Wales	LKA	F	15460
New South Wales	LKA	M	15969
New South Wales	MKD	F	8835
New South Wales	MKD	M	8465
New South Wales	MLT	F	6739
New South Wales	MLT	M	6748
New South Wales	MMR	F	3787
New South Wales	MMR	M	3962
New South Wales	MUS	F	3050
New South Wales	MUS	M	2748
New South Wales	MYS	F	20500
New South Wales	MYS	M	19054
New South Wales	NLD	F	7910
New South Wales	NLD	M	7865
New South Wales	NPL	F	29073
New South Wales	NPL	M	35871
New South Wales	NZL	F	58346
New South Wales	NZL	M	60183
New South Wales	PAK	F	14166
New South Wales	PAK	M	19736
New South Wales	PHL	F	64606
New South Wales	PHL	M	42326
New South Wales	PNG	F	3032
New South Wales	PNG	M	2504
New South Wales	POL	F	7918
