STE_NAME21	Age	HoursHousekeeping	Sex	adults
New South Wales	15-19		F	13463
New South Wales	15-19		M	15230
New South Wales	15-19	0	F	79605
New South Wales	15-19	0	M	101211
New South Wales	15-19	<5	F	96315
New South Wales	15-19	<5	M	97090
New South Wales	15-19	5-14	F	27702
New South Wales	15-19	5-14	M	19805
New South Wales	15-19	15-29	F	3295
New South Wales	15-19	15-29	M	1927
New South Wales	15-19	30+	F	1369
New South Wales	15-19	30+	M	882
New South Wales	20-24		F	15115
New South Wales	20-24		M	18864
New South Wales	20-24	0	F	73603
New South Wales	20-24	0	M	106678
New South Wales	20-24	<5	F	73662
New South Wales	20-24	<5	M	81216
New South Wales	20-24	5-14	F	58780
New South Wales	20-24	5-14	M	39303
New South Wales	20-24	15-29	F	12759
New South Wales	20-24	15-29	M	5877
New South Wales	20-24	30+	F	7461
New South Wales	20-24	30+	M	2873
New South Wales	25-34		F	37861
New South Wales	25-34		M	45024
New South Wales	25-34	0	F	133715
New South Wales	25-34	0	M	183318
New South Wales	25-34	<5	F	95475
New South Wales	25-34	<5	M	144040
New South Wales	25-34	5-14	F	169038
New South Wales	25-34	5-14	M	146005
New South Wales	25-34	15-29	F	69505
New South Wales	25-34	15-29	M	31511
New South Wales	25-34	30+	F	72245
New South Wales	25-34	30+	M	14285
New South Wales	35-44		F	32096
New South Wales	35-44		M	38225
New South Wales	35-44	0	F	92621
New South Wales	35-44	0	M	130812
New South Wales	35-44	<5	F	51573
New South Wales	35-44	<5	M	118401
New South Wales	35-44	5-14	F	159345
New South Wales	35-44	5-14	M	176227
New South Wales	35-44	15-29	F	112017
New South Wales	35-44	15-29	M	55167
New South Wales	35-44	30+	F	111333
New South Wales	35-44	30+	M	25348
New South Wales	45-54		F	25875
New South Wales	45-54		M	30969
New South Wales	45-54	0	F	82013
New South Wales	45-54	0	M	113702
New South Wales	45-54	<5	F	51109
New South Wales	45-54	<5	M	112970
New South Wales	45-54	5-14	F	169648
New South Wales	45-54	5-14	M	166827
New South Wales	45-54	15-29	F	111202
New South Wales	45-54	15-29	M	50852
New South Wales	45-54	30+	F	79936
New South Wales	45-54	30+	M	21841
New South Wales	55-64		F	23720
New South Wales	55-64		M	27319
New South Wales	55-64	0	F	95423
New South Wales	55-64	0	M	119904
New South Wales	55-64	<5	F	49403
New South Wales	55-64	<5	M	101323
New South Wales	55-64	5-14	F	150310
New South Wales	55-64	5-14	M	147830
New South Wales	55-64	15-29	F	101433
New South Wales	55-64	15-29	M	48862
New South Wales	55-64	30+	F	72813
New South Wales	55-64	30+	M	23442
New South Wales	65-74		F	22524
New South Wales	65-74		M	22624
New South Wales	65-74	0	F	103788
New South Wales	65-74	0	M	112371
New South Wales	65-74	<5	F	32184
New South Wales	65-74	<5	M	64601
New South Wales	65-74	5-14	F	95009
New South Wales	65-74	5-14	M	105731
New South Wales	65-74	15-29	F	84621
New South Wales	65-74	15-29	M	48788
New South Wales	65-74	30+	F	69579
New South Wales	65-74	30+	M	26912
New South Wales	75-84		F	21253
New South Wales	75-84		M	17109
New South Wales	75-84	0	F	81301
New South Wales	75-84	0	M	74928
New South Wales	75-84	<5	F	22004
New South Wales	75-84	<5	M	31996
New South Wales	75-84	5-14	F	44949
New South Wales	75-84	5-14	M	47705
New South Wales	75-84	15-29	F	37076
New South Wales	75-84	15-29	M	24095
New South Wales	75-84	30+	F	33625
New South Wales	75-84	30+	M	15476
New South Wales	85+		F	19617
New South Wales	85+		M	10140
New South Wales	85+	0	F	54330
New South Wales	85+	0	M	32924
New South Wales	85+	<5	F	11815
New South Wales	85+	<5	M	9119
New South Wales	85+	5-14	F	14101
New South Wales	85+	5-14	M	10404
New South Wales	85+	15-29	F	7421
New South Wales	85+	15-29	M	4983
New South Wales	85+	30+	F	5533
New South Wales	85+	30+	M	3495
Victoria	15-19		F	10053
Victoria	15-19		M	10975
Victoria	15-19	0	F	64792
Victoria	15-19	0	M	81173
Victoria	15-19	<5	F	79377
Victoria	15-19	<5	M	79195
Victoria	15-19	5-14	F	19593
Victoria	15-19	5-14	M	13512
Victoria	15-19	15-29	F	2105
