STE_NAME16	HomeCensusNight	persons
New South Wales	0	262822
New South Wales	1	7809342
Victoria	0	207346
Victoria	1	6296149
Queensland	0	225971
Queensland	1	4930167
South Australia	0	75245
South Australia	1	1706269
Western Australia	0	151592
Western Australia	1	2508432
Tasmania	0	28335
Tasmania	1	529236
Northern Territory	0	16974
Northern Territory	1	215624
Australian Capital Territory	0	16249
Australian Capital Territory	1	438251
Other Territories	0	287
Other Territories	1	4505
