STE_NAME21	Ancestry	FatherBornAus	MotherBornAus	responses
New South Wales				418883
New South Wales		0	0	51658
New South Wales		0	1	4270
New South Wales		1	0	3210
New South Wales		1	1	33281
New South Wales	Australian			20717
New South Wales	Australian		1	1739425
New South Wales	Australian	0	0	104174
New South Wales	Australian	0	1	253085
New South Wales	Australian	1	0	190146
New South Wales	Australian Aboriginal			3587
New South Wales	Australian Aboriginal	0	0	1974
New South Wales	Australian Aboriginal	0	1	11513
New South Wales	Australian Aboriginal	1	0	6000
New South Wales	Australian Aboriginal	1	1	236513
New South Wales	Chinese			3480
New South Wales	Chinese	0	0	532030
New South Wales	Chinese	0	1	10000
New South Wales	Chinese	1	0	17270
New South Wales	Chinese	1	1	18855
New South Wales	Croatian			408
New South Wales	Croatian	0	0	32540
New South Wales	Croatian	0	1	5593
New South Wales	Croatian	1	0	3188
New South Wales	Croatian	1	1	13025
New South Wales	Dutch			437
New South Wales	Dutch	0	0	38186
New South Wales	Dutch	0	1	13277
New South Wales	Dutch	1	0	8373
New South Wales	Dutch	1	1	26815
New South Wales	English			22787
New South Wales	English	0	0	459100
New South Wales	English	0	1	211496
New South Wales	English	1	0	152998
New South Wales	English	1	1	1558612
New South Wales	Filipino			646
New South Wales	Filipino	0	0	130470
New South Wales	Filipino	0	1	4222
New South Wales	Filipino	1	0	13913
New South Wales	Filipino	1	1	3542
New South Wales	French			232
New South Wales	French	0	0	26265
New South Wales	French	0	1	4204
New South Wales	French	1	0	3312
New South Wales	French	1	1	14634
New South Wales	German			1817
New South Wales	German	0	0	68044
New South Wales	German	0	1	19699
New South Wales	German	1	0	14355
New South Wales	German	1	1	138636
New South Wales	Greek			813
New South Wales	Greek	0	0	74196
New South Wales	Greek	0	1	14889
New South Wales	Greek	1	0	7766
New South Wales	Greek	1	1	43960
New South Wales	Hungarian			143
New South Wales	Hungarian	0	0	15340
New South Wales	Hungarian	0	1	3423
New South Wales	Hungarian	1	0	1770
New South Wales	Hungarian	1	1	5768
New South Wales	Indian			572
New South Wales	Indian	0	0	248126
New South Wales	Indian	0	1	5128
New South Wales	Indian	1	0	3959
New South Wales	Indian	1	1	3320
New South Wales	Irish			4782
New South Wales	Irish	0	0	112207
New South Wales	Irish	0	1	50640
New South Wales	Irish	1	0	34454
New South Wales	Irish	1	1	533268
New South Wales	Italian			1777
New South Wales	Italian	0	0	129534
New South Wales	Italian	0	1	36406
New South Wales	Italian	1	0	16339
New South Wales	Italian	1	1	117774
New South Wales	Korean			291
New South Wales	Korean	0	0	68282
New South Wales	Korean	0	1	817
New South Wales	Korean	1	0	2366
New South Wales	Korean	1	1	744
New South Wales	Lebanese			792
New South Wales	Lebanese	0	0	108978
New South Wales	Lebanese	0	1	25706
New South Wales	Lebanese	1	0	11459
New South Wales	Lebanese	1	1	31363
New South Wales	Macedonian			259
New South Wales	Macedonian	0	0	29727
New South Wales	Macedonian	0	1	3975
New South Wales	Macedonian	1	0	2257
New South Wales	Macedonian	1	1	7555
New South Wales	Maltese			456
New South Wales	Maltese	0	0	32067
New South Wales	Maltese	0	1	10008
New South Wales	Maltese	1	0	5538
New South Wales	Maltese	1	1	30869
New South Wales	Maori			325
New South Wales	Maori	0	0	25179
New South Wales	Maori	0	1	6316
New South Wales	Maori	1	0	3864
New South Wales	Maori	1	1	4038
New South Wales	NZ			325
New South Wales	NZ	0	0	25947
New South Wales	NZ	0	1	11474
New South Wales	NZ	1	0	8180
New South Wales	NZ	1	1	6669
New South Wales	(Other)			7288
New South Wales	(Other)	0	0	979632
New South Wales	(Other)	0	1	80985
New South Wales	(Other)	1	0	65130
New South Wales	(Other)	1	1	101694
New South Wales	Polish			332
New South Wales	Polish	0	0	34476
New South Wales	Polish	0	1	6084
New South Wales	Polish	1	0	4608
New South Wales	Polish	1	1	14253
New South Wales	Russian			239
New South Wales	Russian	0	0	24858
New South Wales	Russian	0	1	2468
New South Wales	Russian	1	0	2621
New South Wales	Russian	1	1	5372
New South Wales	Samoan			349
New South Wales	Samoan	0	0	26638
New South Wales	Samoan	0	1	4164
New South Wales	Samoan	1	0	1684
New South Wales	Samoan	1	1	1229
New South Wales	Scottish			3632
New South Wales	Scottish	0	0	104794
New South Wales	Scottish	0	1	51605
New South Wales	Scottish	1	0	37357
New South Wales	Scottish	1	1	422971
New South Wales	Serbian			197
New South Wales	Serbian	0	0	27054
New South Wales	Serbian	0	1	2945
New South Wales	Serbian	1	0	1895
New South Wales	Serbian	1	1	3955
New South Wales	South African			142
New South Wales	South African	0	0	29325
New South Wales	South African	0	1	4759
New South Wales	South African	1	0	3528
New South Wales	South African	1	1	1794
New South Wales	Spanish			310
New South Wales	Spanish	0	0	38452
New South Wales	Spanish	0	1	2863
New South Wales	Spanish	1	0	2470
New South Wales	Spanish	1	1	6331
New South Wales	Sri Lankan			65
New South Wales	Sri Lankan	0	0	17714
New South Wales	Sri Lankan	0	1	1328
New South Wales	Sri Lankan	1	0	1045
New South Wales	Sri Lankan	1	1	971
New South Wales	Vietnamese			706
New South Wales	Vietnamese	0	0	114666
New South Wales	Vietnamese	0	1	2292
New South Wales	Vietnamese	1	0	4077
New South Wales	Vietnamese	1	1	2286
New South Wales	Welsh			177
New South Wales	Welsh	0	0	16775
New South Wales	Welsh	0	1	5237
New South Wales	Welsh	1	0	3390
New South Wales	Welsh	1	1	19288
Victoria				301181
Victoria		0	0	44627
Victoria		0	1	3323
Victoria		1	0	2590
Victoria		1	1	26987
Victoria	Australian			16708
Victoria	Australian		1	1317858
Victoria	Australian	0	0	85460
Victoria	Australian	0	1	200274
Victoria	Australian	1	0	150427
Victoria	Australian Aboriginal			961
Victoria	Australian Aboriginal	0	0	1416
Victoria	Australian Aboriginal	0	1	3527
Victoria	Australian Aboriginal	1	0	1976
Victoria	Australian Aboriginal	1	1	54648
Victoria	Chinese			2158
Victoria	Chinese	0	0	393750
Victoria	Chinese	0	1	6311
Victoria	Chinese	1	0	12107
Victoria	Chinese	1	1	13149
Victoria	Croatian			367
Victoria	Croatian	0	0	31877
Victoria	Croatian	0	1	5191
Victoria	Croatian	1	0	2735
Victoria	Croatian	1	1	11076
Victoria	Dutch			574
Victoria	Dutch	0	0	45499
Victoria	Dutch	0	1	16337
Victoria	Dutch	1	0	10242
Victoria	Dutch	1	1	36612
Victoria	English			18159
Victoria	English	0	0	360521
Victoria	English	0	1	170660
Victoria	English	1	0	126504
Victoria	English	1	1	1224247
Victoria	Filipino			390
Victoria	Filipino	0	0	82014
Victoria	Filipino	0	1	2060
Victoria	Filipino	1	0	8840
Victoria	Filipino	1	1	1895
Victoria	French			189
Victoria	French	0	0	18362
Victoria	French	0	1	3030
Victoria	French	1	0	2300
Victoria	French	1	1	11267
Victoria	German			1644
Victoria	German	0	0	57151
Victoria	German	0	1	18627
Victoria	German	1	0	13161
Victoria	German	1	1	122323
Victoria	Greek			1134
Victoria	Greek	0	0	104705
Victoria	Greek	0	1	17575
Victoria	Greek	1	0	9097
Victoria	Greek	1	1	48671
Victoria	Hungarian			186
Victoria	Hungarian	0	0	14198
Victoria	Hungarian	0	1	3048
Victoria	Hungarian	1	0	1700
Victoria	Hungarian	1	1	5669
Victoria	Indian			560
Victoria	Indian	0	0	264201
Victoria	Indian	0	1	5299
Victoria	Indian	1	0	3632
Victoria	Indian	1	1	3079
Victoria	Irish			4193
Victoria	Irish	0	0	83988
Victoria	Irish	0	1	42620
Victoria	Irish	1	0	28965
Victoria	Irish	1	1	452024
Victoria	Italian			2424
Victoria	Italian	0	0	168174
Victoria	Italian	0	1	42945
Victoria	Italian	1	0	19920
Victoria	Italian	1	1	151230
Victoria	Korean			52
Victoria	Korean	0	0	19070
Victoria	Korean	0	1	251
Victoria	Korean	1	0	862
Victoria	Korean	1	1	276
Victoria	Lebanese			250
Victoria	Lebanese	0	0	31203
Victoria	Lebanese	0	1	7204
Victoria	Lebanese	1	0	3360
Victoria	Lebanese	1	1	7097
Victoria	Macedonian			289
Victoria	Macedonian	0	0	32908
Victoria	Macedonian	0	1	4640
Victoria	Macedonian	1	0	2577
Victoria	Macedonian	1	1	9012
Victoria	Maltese			487
Victoria	Maltese	0	0	38512
Victoria	Maltese	0	1	9831
Victoria	Maltese	1	0	5752
Victoria	Maltese	1	1	26964
Victoria	Maori			207
Victoria	Maori	0	0	18597
Victoria	Maori	0	1	3020
Victoria	Maori	1	0	2283
Victoria	Maori	1	1	1780
Victoria	NZ			216
Victoria	NZ	0	0	21919
