STE_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
New South Wales	0	1	723716
New South Wales	0	2	77857
New South Wales	0	3	20879
New South Wales	0	4	8309
New South Wales	0	5	2968
New South Wales	0	6	1631
New South Wales	1	2	873551
New South Wales	1	3	445452
New South Wales	1	4	447109
New South Wales	1	5	193515
New South Wales	1	6	105480
Victoria	0	1	619542
Victoria	0	2	63015
Victoria	0	3	19189
Victoria	0	4	8183
Victoria	0	5	2774
Victoria	0	6	1400
Victoria	1	2	716430
Victoria	1	3	364749
Victoria	1	4	375531
Victoria	1	5	148979
Victoria	1	6	70438
Queensland	0	1	461009
Queensland	0	2	59977
Queensland	0	3	14045
Queensland	0	4	4534
Queensland	0	5	1381
Queensland	0	6	642
Queensland	1	2	598532
Queensland	1	3	281068
Queensland	1	4	271416
Queensland	1	5	114106
Queensland	1	6	62760
South Australia	0	1	197272
South Australia	0	2	16952
South Australia	0	3	4417
South Australia	0	4	1426
South Australia	0	5	445
South Australia	0	6	296
South Australia	1	2	222902
South Australia	1	3	99206
South Australia	1	4	95210
South Australia	1	5	36573
South Australia	1	6	16612
Western Australia	0	1	245193
Western Australia	0	2	23452
Western Australia	0	3	6166
Western Australia	0	4	2020
Western Australia	0	5	633
Western Australia	0	6	323
Western Australia	1	2	300205
Western Australia	1	3	146891
Western Australia	1	4	151311
Western Australia	1	5	60631
Western Australia	1	6	27906
Tasmania	0	1	63360
Tasmania	0	2	5107
Tasmania	0	3	1388
Tasmania	0	4	604
Tasmania	0	5	219
Tasmania	0	6	103
Tasmania	1	2	74240
Tasmania	1	3	30565
Tasmania	1	4	26717
Tasmania	1	5	10818
Tasmania	1	6	5285
Northern Territory	0	1	16814
Northern Territory	0	2	2456
Northern Territory	0	3	785
Northern Territory	0	4	257
Northern Territory	0	5	84
Northern Territory	0	6	27
Northern Territory	1	2	18758
Northern Territory	1	3	11044
Northern Territory	1	4	10295
Northern Territory	1	5	4997
Northern Territory	1	6	5159
Australian Capital Territory	0	1	43338
Australian Capital Territory	0	2	4754
Australian Capital Territory	0	3	2004
Australian Capital Territory	0	4	746
Australian Capital Territory	0	5	222
Australian Capital Territory	0	6	114
Australian Capital Territory	1	2	50294
Australian Capital Territory	1	3	25843
Australian Capital Territory	1	4	26959
Australian Capital Territory	1	5	9954
Australian Capital Territory	1	6	4163
Other Territories	0	1	492
Other Territories	0	2	26
Other Territories	1	2	507
Other Territories	1	3	187
Other Territories	1	4	168
Other Territories	1	5	97
Other Territories	1	6	62
