STE_NAME21	Age	Sex	persons
New South Wales	0-4	F	227347
New South Wales	0-4	M	240712
New South Wales	5-14	F	487069
New South Wales	5-14	M	514881
New South Wales	15-19	F	221749
New South Wales	15-19	M	236148
New South Wales	20-24	F	241374
New South Wales	20-24	M	254808
New South Wales	25-34	F	577842
New South Wales	25-34	M	564183
New South Wales	35-44	F	558980
New South Wales	35-44	M	544184
New South Wales	45-54	F	519788
New South Wales	45-54	M	497158
New South Wales	55-64	F	493100
New South Wales	55-64	M	468679
New South Wales	65-74	F	407711
New South Wales	65-74	M	381017
New South Wales	75-84	F	240207
New South Wales	75-84	M	211315
New South Wales	85+	F	112820
New South Wales	85+	M	71074
Victoria	0-4	F	183222
Victoria	0-4	M	192679
Victoria	5-14	F	385564
Victoria	5-14	M	407989
Victoria	15-19	F	176690
Victoria	15-19	M	186517
Victoria	20-24	F	199803
Victoria	20-24	M	210533
Victoria	25-34	F	492492
Victoria	25-34	M	483005
Victoria	35-44	F	466025
Victoria	35-44	M	452707
Victoria	45-54	F	424557
Victoria	45-54	M	402329
Victoria	55-64	F	385315
Victoria	55-64	M	361238
Victoria	65-74	F	316522
Victoria	65-74	M	289036
Victoria	75-84	F	184873
Victoria	75-84	M	159926
Victoria	85+	F	87455
Victoria	85+	M	55017
Queensland	0-4	F	141746
Queensland	0-4	M	150708
Queensland	5-14	F	326530
Queensland	5-14	M	345336
Queensland	15-19	F	152988
Queensland	15-19	M	160521
Queensland	20-24	F	160852
Queensland	20-24	M	162887
Queensland	25-34	F	357651
Queensland	25-34	M	344067
Queensland	35-44	F	353426
Queensland	35-44	M	334387
Queensland	45-54	F	345286
Queensland	45-54	M	328847
Queensland	55-64	F	316136
Queensland	55-64	M	299154
Queensland	65-74	F	258059
Queensland	65-74	M	245407
Queensland	75-84	F	143929
Queensland	75-84	M	131066
Queensland	85+	F	59126
Queensland	85+	M	38018
South Australia	0-4	F	45872
South Australia	0-4	M	48352
South Australia	5-14	F	101691
South Australia	5-14	M	107220
South Australia	15-19	F	48041
South Australia	15-19	M	51114
South Australia	20-24	F	53018
South Australia	20-24	M	56156
South Australia	25-34	F	117619
South Australia	25-34	M	117670
