STE_NAME16	Age.min	Sex	persons
New South Wales	0	F	44443
New South Wales	0	M	47069
New South Wales	1	F	45457
New South Wales	1	M	47785
New South Wales	2	F	45172
New South Wales	2	M	48413
New South Wales	3	F	45414
New South Wales	3	M	48218
New South Wales	4	F	46860
New South Wales	4	M	49228
New South Wales	5	F	48209
New South Wales	5	M	50931
New South Wales	6	F	47730
New South Wales	6	M	50695
New South Wales	7	F	48732
New South Wales	7	M	51130
New South Wales	8	F	49107
New South Wales	8	M	52291
New South Wales	9	F	49606
New South Wales	9	M	52384
New South Wales	10	F	48733
New South Wales	10	M	51683
New South Wales	11	F	49435
New South Wales	11	M	52031
New South Wales	12	F	48683
New South Wales	12	M	51390
New South Wales	13	F	48761
New South Wales	13	M	51167
New South Wales	14	F	48082
New South Wales	14	M	51171
New South Wales	15	F	46415
New South Wales	15	M	49266
New South Wales	16	F	44841
New South Wales	16	M	48078
New South Wales	17	F	43797
New South Wales	17	M	46821
New South Wales	18	F	43497
New South Wales	18	M	46225
New South Wales	19	F	43203
New South Wales	19	M	45766
New South Wales	20	F	45315
New South Wales	20	M	48789
New South Wales	21	F	47724
New South Wales	21	M	51023
New South Wales	22	F	48082
New South Wales	22	M	50847
New South Wales	23	F	49214
New South Wales	23	M	51272
New South Wales	24	F	51031
New South Wales	24	M	52878
New South Wales	25	F	52415
New South Wales	25	M	53863
New South Wales	26	F	54677
New South Wales	26	M	55473
New South Wales	27	F	55662
New South Wales	27	M	55729
New South Wales	28	F	56836
New South Wales	28	M	56436
New South Wales	29	F	58243
New South Wales	29	M	56643
New South Wales	30	F	60243
New South Wales	30	M	57664
New South Wales	31	F	60502
New South Wales	31	M	58250
New South Wales	32	F	59998
New South Wales	32	M	57560
New South Wales	33	F	59574
New South Wales	33	M	56304
New South Wales	34	F	59703
New South Wales	34	M	56268
New South Wales	35	F	59379
New South Wales	35	M	57342
New South Wales	36	F	59415
New South Wales	36	M	57330
New South Wales	37	F	59274
New South Wales	37	M	57029
New South Wales	38	F	59388
New South Wales	38	M	57442
New South Wales	39	F	57394
New South Wales	39	M	56181
New South Wales	40	F	56194
New South Wales	40	M	55449
New South Wales	41	F	53205
New South Wales	41	M	52879
New South Wales	42	F	52683
