STE_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
New South Wales		52	46
New South Wales		3937	63
New South Wales		5250	354
New South Wales		7875	377
New South Wales		10500	211
New South Wales		11812	325
New South Wales		14437	353
New South Wales		18375	564
New South Wales		23625	310
New South Wales		28875	157
New South Wales		34125	89
New South Wales		39375	45
New South Wales		44625	17
New South Wales		49875	57
New South Wales	(Other)	52	821
New South Wales	(Other)	3937	362
New South Wales	(Other)	5250	1681
New South Wales	(Other)	7875	2328
New South Wales	(Other)	10500	1517
New South Wales	(Other)	11812	4127
New South Wales	(Other)	14437	3390
New South Wales	(Other)	18375	4432
New South Wales	(Other)	23625	2768
New South Wales	(Other)	28875	1292
New South Wales	(Other)	34125	580
New South Wales	(Other)	39375	342
New South Wales	(Other)	44625	136
New South Wales	(Other)	49875	376
New South Wales	Co-op/church group etc	52	531
New South Wales	Co-op/church group etc	3937	792
New South Wales	Co-op/church group etc	5250	3554
New South Wales	Co-op/church group etc	7875	7576
New South Wales	Co-op/church group etc	10500	2770
New South Wales	Co-op/church group etc	11812	3738
New South Wales	Co-op/church group etc	14437	3259
New South Wales	Co-op/church group etc	18375	2868
New South Wales	Co-op/church group etc	23625	906
New South Wales	Co-op/church group etc	28875	288
New South Wales	Co-op/church group etc	34125	130
New South Wales	Co-op/church group etc	39375	70
New South Wales	Co-op/church group etc	44625	23
New South Wales	Co-op/church group etc	49875	23
New South Wales	Person not in same household	52	1005
New South Wales	Person not in same household	3937	585
New South Wales	Person not in same household	5250	4386
New South Wales	Person not in same household	7875	7471
New South Wales	Person not in same household	10500	8202
New South Wales	Person not in same household	11812	11431
New South Wales	Person not in same household	14437	19432
New South Wales	Person not in same household	18375	28907
New South Wales	Person not in same household	23625	20342
New South Wales	Person not in same household	28875	11026
New South Wales	Person not in same household	34125	6097
New South Wales	Person not in same household	39375	3641
New South Wales	Person not in same household	44625	2021
New South Wales	Person not in same household	49875	4382
New South Wales	Real estate agent	52	655
New South Wales	Real estate agent	3937	274
New South Wales	Real estate agent	5250	2346
New South Wales	Real estate agent	7875	7977
New South Wales	Real estate agent	10500	8849
New South Wales	Real estate agent	11812	24280
New South Wales	Real estate agent	14437	68261
New South Wales	Real estate agent	18375	168792
New South Wales	Real estate agent	23625	151538
New South Wales	Real estate agent	28875	94298
New South Wales	Real estate agent	34125	50109
New South Wales	Real estate agent	39375	25491
New South Wales	Real estate agent	44625	13916
New South Wales	Real estate agent	49875	25195
New South Wales	State or territory housing authority	52	2573
New South Wales	State or territory housing authority	3937	5132
New South Wales	State or territory housing authority	5250	30901
New South Wales	State or territory housing authority	7875	17251
New South Wales	State or territory housing authority	10500	7350
New South Wales	State or territory housing authority	11812	8650
New South Wales	State or territory housing authority	14437	6628
