STE_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
New South Wales	15-19		F	14016
New South Wales	15-19		M	15788
New South Wales	15-19	0	F	196348
New South Wales	15-19	0	M	210219
New South Wales	15-19	1	F	11380
New South Wales	15-19	1	M	10135
New South Wales	20-24		F	15422
New South Wales	20-24		M	19316
New South Wales	20-24	0	F	210419
New South Wales	20-24	0	M	222878
New South Wales	20-24	1	F	15536
New South Wales	20-24	1	M	12613
New South Wales	25-34		F	38718
New South Wales	25-34		M	45813
New South Wales	25-34	0	F	491197
New South Wales	25-34	0	M	486838
New South Wales	25-34	1	F	47923
New South Wales	25-34	1	M	31536
New South Wales	35-44		F	33154
New South Wales	35-44		M	39036
New South Wales	35-44	0	F	447667
New South Wales	35-44	0	M	455616
New South Wales	35-44	1	F	78161
New South Wales	35-44	1	M	49532
New South Wales	45-54		F	26425
New South Wales	45-54		M	31369
New South Wales	45-54	0	F	391808
New South Wales	45-54	0	M	402665
New South Wales	45-54	1	F	101557
New South Wales	45-54	1	M	63122
New South Wales	55-64		F	23897
New South Wales	55-64		M	27417
New South Wales	55-64	0	F	363792
New South Wales	55-64	0	M	374107
New South Wales	55-64	1	F	105417
New South Wales	55-64	1	M	67155
New South Wales	65-74		F	22331
New South Wales	65-74		M	22499
New South Wales	65-74	0	F	322771
New South Wales	65-74	0	M	315306
New South Wales	65-74	1	F	62600
New South Wales	65-74	1	M	43212
New South Wales	75-84		F	21325
New South Wales	75-84		M	17150
New South Wales	75-84	0	F	193191
New South Wales	75-84	0	M	171981
New South Wales	75-84	1	F	25691
New South Wales	75-84	1	M	22183
New South Wales	85+		F	19773
New South Wales	85+		M	10263
New South Wales	85+	0	F	87986
New South Wales	85+	0	M	54257
New South Wales	85+	1	F	5064
New South Wales	85+	1	M	6556
Victoria	15-19		F	10426
Victoria	15-19		M	11336
Victoria	15-19	0	F	156938
Victoria	15-19	0	M	167108
Victoria	15-19	1	F	9325
Victoria	15-19	1	M	8069
Victoria	20-24		F	11658
Victoria	20-24		M	14196
Victoria	20-24	0	F	173743
Victoria	20-24	0	M	185133
Victoria	20-24	1	F	14400
Victoria	20-24	1	M	11208
Victoria	25-34		F	30469
Victoria	25-34		M	36080
Victoria	25-34	0	F	416917
Victoria	25-34	0	M	417406
Victoria	25-34	1	F	45103
Victoria	25-34	1	M	29517
Victoria	35-44		F	25206
Victoria	35-44		M	29435
Victoria	35-44	0	F	370893
Victoria	35-44	0	M	378494
Victoria	35-44	1	F	69923
Victoria	35-44	1	M	44782
Victoria	45-54		F	20190
Victoria	45-54		M	23508
Victoria	45-54	0	F	308584
Victoria	45-54	0	M	320678
Victoria	45-54	1	F	95786
Victoria	45-54	1	M	58144
Victoria	55-64		F	17726
Victoria	55-64		M	19536
Victoria	55-64	0	F	270715
Victoria	55-64	0	M	281903
Victoria	55-64	1	F	96871
Victoria	55-64	1	M	59792
Victoria	65-74		F	16985
Victoria	65-74		M	16431
Victoria	65-74	0	F	242469
Victoria	65-74	0	M	234354
Victoria	65-74	1	F	57075
Victoria	65-74	1	M	38248
Victoria	75-84		F	14845
Victoria	75-84		M	12326
Victoria	75-84	0	F	147638
Victoria	75-84	0	M	128636
Victoria	75-84	1	F	22387
Victoria	75-84	1	M	18956
Victoria	85+		F	11802
Victoria	85+		M	6555
Victoria	85+	0	F	71639
Victoria	85+	0	M	42854
Victoria	85+	1	F	4014
Victoria	85+	1	M	5611
Queensland	15-19		F	10230
Queensland	15-19		M	11394
Queensland	15-19	0	F	135027
Queensland	15-19	0	M	142291
Queensland	15-19	1	F	7733
Queensland	15-19	1	M	6838
Queensland	20-24		F	11686
Queensland	20-24		M	14512
Queensland	20-24	0	F	139808
Queensland	20-24	0	M	141084
Queensland	20-24	1	F	9358
Queensland	20-24	1	M	7284
Queensland	25-34		F	26479
Queensland	25-34		M	33589
Queensland	25-34	0	F	300307
Queensland	25-34	0	M	291743
Queensland	25-34	1	F	30864
Queensland	25-34	1	M	18734
Queensland	35-44		F	22002
Queensland	35-44		M	28556
Queensland	35-44	0	F	279930
Queensland	35-44	0	M	276261
Queensland	35-44	1	F	51491
Queensland	35-44	1	M	29570
Queensland	45-54		F	19356
Queensland	45-54		M	25578
Queensland	45-54	0	F	260596
Queensland	45-54	0	M	264698
Queensland	45-54	1	F	65335
Queensland	45-54	1	M	38570
Queensland	55-64		F	16732
Queensland	55-64		M	20617
Queensland	55-64	0	F	232798
Queensland	55-64	0	M	238548
Queensland	55-64	1	F	66611
Queensland	55-64	1	M	39984
Queensland	65-74		F	14529
Queensland	65-74		M	15816
Queensland	65-74	0	F	201442
Queensland	65-74	0	M	200856
Queensland	65-74	1	F	42093
Queensland	65-74	1	M	28731
Queensland	75-84		F	12433
Queensland	75-84		M	10429
Queensland	75-84	0	F	114790
Queensland	75-84	0	M	105740
Queensland	75-84	1	F	16704
Queensland	75-84	1	M	14899
Queensland	85+		F	9182
Queensland	85+		M	4985
Queensland	85+	0	F	47356
Queensland	85+	0	M	29418
Queensland	85+	1	F	2588
Queensland	85+	1	M	3615
South Australia	15-19		F	2579
South Australia	15-19		M	2852
South Australia	15-19	0	F	42951
South Australia	15-19	0	M	46022
South Australia	15-19	1	F	2515
South Australia	15-19	1	M	2243
South Australia	20-24		F	2497
South Australia	20-24		M	3180
South Australia	20-24	0	F	46875
South Australia	20-24	0	M	49992
South Australia	20-24	1	F	3649
South Australia	20-24	1	M	2984
