STE_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
New South Wales	15-19				F	13558
New South Wales	15-19				M	15280
New South Wales	15-19	0			F	194272
New South Wales	15-19	0			M	213038
New South Wales	15-19	1	0	1	F	12607
New South Wales	15-19	1	0	1	M	7123
New South Wales	15-19	1	1	0	F	1203
New South Wales	15-19	1	1	0	M	659
New South Wales	15-19	1	1	1	F	110
New South Wales	15-19	1	1	1	M	47
New South Wales	20-24				F	14956
New South Wales	20-24				M	18597
New South Wales	20-24	0			F	202124
New South Wales	20-24	0			M	224907
New South Wales	20-24	1	0	1	F	10311
New South Wales	20-24	1	0	1	M	5427
New South Wales	20-24	1	1	0	F	13400
New South Wales	20-24	1	1	0	M	5717
New South Wales	20-24	1	1	1	F	582
New South Wales	20-24	1	1	1	M	162
New South Wales	25-34				F	37096
New South Wales	25-34				M	44412
New South Wales	25-34	0			F	337229
New South Wales	25-34	0			M	397608
New South Wales	25-34	1	0	1	F	14528
New South Wales	25-34	1	0	1	M	8715
New South Wales	25-34	1	1	0	F	183388
New South Wales	25-34	1	1	0	M	111445
New South Wales	25-34	1	1	1	F	5606
New South Wales	25-34	1	1	1	M	2008
New South Wales	35-44				F	31283
New South Wales	35-44				M	37406
New South Wales	35-44	0			F	170262
New South Wales	35-44	0			M	220122
New South Wales	35-44	1	0	1	F	10464
New South Wales	35-44	1	0	1	M	6673
New South Wales	35-44	1	1	0	F	338552
New South Wales	35-44	1	1	0	M	275711
New South Wales	35-44	1	1	1	F	8420
New South Wales	35-44	1	1	1	M	4279
New South Wales	45-54				F	25263
New South Wales	45-54				M	30106
New South Wales	45-54	0			F	300431
New South Wales	45-54	0			M	284071
New South Wales	45-54	1	0	1	F	22210
New South Wales	45-54	1	0	1	M	9153
New South Wales	45-54	1	1	0	F	168326
New South Wales	45-54	1	1	0	M	171341
New South Wales	45-54	1	1	1	F	3566
New South Wales	45-54	1	1	1	M	2489
New South Wales	55-64				F	23022
