STE_NAME21	CountryOfBirth	persons
New South Wales		685252
New South Wales	AFG	14623
New South Wales	AUS	5277591
New South Wales	BGD	29600
New South Wales	BIH	7639
New South Wales	BRA	20411
New South Wales	CAN	15214
New South Wales	CHL	14073
New South Wales	CHN	247595
New South Wales	DEU	28921
New South Wales	EGY	21142
New South Wales	FJI	37370
New South Wales	FRA	13274
New South Wales	GBR	266608
New South Wales	GRC	29399
New South Wales	HKG	48129
New South Wales	HRV	15483
New South Wales	IDN	37907
New South Wales	IND	208962
New South Wales	IRL	27001
New South Wales	IRN	27515
New South Wales	IRQ	55353
New South Wales	ITA	47197
New South Wales	JPN	14894
New South Wales	KHM	13823
New South Wales	KOR	53046
New South Wales	LBN	63293
New South Wales	LKA	31427
New South Wales	MKD	17309
New South Wales	MLT	13491
New South Wales	MMR	7742
New South Wales	MUS	5794
New South Wales	MYS	39555
New South Wales	NLD	15777
New South Wales	NPL	64946
New South Wales	NZL	118527
New South Wales	PAK	33902
New South Wales	PHL	106930
New South Wales	PNG	5536
New South Wales	POL	13830
New South Wales	SGP	14665
New South Wales	THA	31633
New South Wales	TUR	15147
New South Wales	TWN	14544
New South Wales	USA	34832
New South Wales	VNM	97995
New South Wales	WSM	10147
New South Wales	ZAF	49740
New South Wales	ZWE	7383
Victoria		533789
Victoria	AFG	25432
Victoria	AUS	4228686
Victoria	BGD	10295
Victoria	BIH	9193
Victoria	BRA	5874
Victoria	CAN	10438
Victoria	CHL	8296
Victoria	CHN	171447
Victoria	DEU	25365
Victoria	EGY	14085
Victoria	FJI	12435
Victoria	FRA	8073
Victoria	GBR	205182
Victoria	GRC	46623
Victoria	HKG	25324
Victoria	HRV	15260
Victoria	IDN	20643
Victoria	IND	258193
Victoria	IRL	17456
Victoria	IRN	21923
Victoria	IRQ	26083
Victoria	ITA	64796
Victoria	JPN	9251
Victoria	KHM	16758
Victoria	KOR	15429
Victoria	LBN	18689
Victoria	LKA	68066
Victoria	MKD	19025
Victoria	MLT	16844
Victoria	MMR	14216
Victoria	MUS	12341
Victoria	MYS	62662
Victoria	NLD	18477
Victoria	NPL	20154
Victoria	NZL	99344
Victoria	PAK	30945
Victoria	PHL	68463
Victoria	PNG	2712
Victoria	POL	14202
Victoria	SGP	17954
Victoria	THA	21059
Victoria	TUR	18689
Victoria	TWN	10719
Victoria	USA	23964
Victoria	VNM	93598
Victoria	WSM	7716
Victoria	ZAF	31274
Victoria	ZWE	6039
Queensland		431189
Queensland	AFG	4733
Queensland	AUS	3680014
Queensland	BGD	3304
Queensland	BIH	3626
Queensland	BRA	12544
Queensland	CAN	12883
Queensland	CHL	3409
Queensland	CHN	55762
Queensland	DEU	20981
Queensland	EGY	2955
Queensland	FJI	14465
Queensland	FRA	7085
Queensland	GBR	220669
Queensland	GRC	3354
Queensland	HKG	12829
Queensland	HRV	3633
Queensland	IDN	8696
Queensland	IND	71819
Queensland	IRL	12611
Queensland	IRN	8016
Queensland	IRQ	5332
Queensland	ITA	13217
Queensland	JPN	13236
Queensland	KHM	2497
Queensland	KOR	19658
Queensland	LBN	1661
Queensland	LKA	12009
Queensland	MKD	1131
Queensland	MLT	2473
Queensland	MMR	4299
Queensland	MUS	1797
Queensland	MYS	16618
Queensland	NLD	13746
