STE_NAME21	PrivateDwelling	Sex	persons
New South Wales	0	F	260517
New South Wales	0	M	275577
New South Wales	1	F	3817629
New South Wales	1	M	3698812
Victoria	0	F	195093
Victoria	0	M	198342
Victoria	1	F	3085797
Victoria	1	M	2980759
Queensland	0	F	214654
Queensland	0	M	247104
Queensland	1	F	2422880
Queensland	1	M	2311111
South Australia	0	F	54938
South Australia	0	M	59265
South Australia	1	F	844135
South Australia	1	M	814918
Western Australia	0	F	105542
Western Australia	0	M	149497
Western Australia	1	F	1234456
Western Australia	1	M	1179871
Tasmania	0	F	19297
Tasmania	0	M	19897
Tasmania	1	F	262286
Tasmania	1	M	251384
Northern Territory	0	F	25932
Northern Territory	0	M	32332
Northern Territory	1	F	102824
Northern Territory	1	M	100224
Australian Capital Territory	0	F	13671
Australian Capital Territory	0	M	14219
Australian Capital Territory	1	F	215447
Australian Capital Territory	1	M	208970
Other Territories	0	F	696
Other Territories	0	M	1079
Other Territories	1	F	1844
Other Territories	1	M	1809
