STE_NAME21	Age	UsualResidence	persons
New South Wales	0-14	Home	1441048
New South Wales	0-14	Visitor from ACT	360
New South Wales	0-14	Visitor from NSW	24769
New South Wales	0-14	Visitor from NT	30
New South Wales	0-14	Visitor from OT	6
New South Wales	0-14	Visitor from QLD	550
New South Wales	0-14	Visitor from SA	61
New South Wales	0-14	Visitor from TAS	40
New South Wales	0-14	Visitor from VIC	428
New South Wales	0-14	Visitor from WA	60
New South Wales	0-14	Visitor same SA2	1035
New South Wales	15-24	Home	915668
New South Wales	15-24	Visitor from ACT	827
New South Wales	15-24	Visitor from NSW	31954
New South Wales	15-24	Visitor from NT	69
New South Wales	15-24	Visitor from OT	6
New South Wales	15-24	Visitor from QLD	1756
New South Wales	15-24	Visitor from SA	276
New South Wales	15-24	Visitor from TAS	128
New South Wales	15-24	Visitor from VIC	1097
New South Wales	15-24	Visitor from WA	373
New South Wales	15-24	Visitor same SA2	1130
New South Wales	25-34	Home	1101279
New South Wales	25-34	Visitor from ACT	763
New South Wales	25-34	Visitor from NSW	33073
New South Wales	25-34	Visitor from NT	89
New South Wales	25-34	Visitor from OT	4
New South Wales	25-34	Visitor from QLD	1748
New South Wales	25-34	Visitor from SA	344
New South Wales	25-34	Visitor from TAS	132
New South Wales	25-34	Visitor from VIC	1523
New South Wales	25-34	Visitor from WA	343
New South Wales	25-34	Visitor same SA2	1108
New South Wales	35-44	Home	1073352
New South Wales	35-44	Visitor from ACT	544
New South Wales	35-44	Visitor from NSW	23765
New South Wales	35-44	Visitor from NT	53
New South Wales	35-44	Visitor from OT	9
New South Wales	35-44	Visitor from QLD	1157
New South Wales	35-44	Visitor from SA	200
New South Wales	35-44	Visitor from TAS	103
New South Wales	35-44	Visitor from VIC	974
New South Wales	35-44	Visitor from WA	213
New South Wales	35-44	Visitor same SA2	1130
New South Wales	45-54	Home	987744
New South Wales	45-54	Visitor from ACT	522
New South Wales	45-54	Visitor from NSW	22736
New South Wales	45-54	Visitor from NT	61
New South Wales	45-54	Visitor from OT	5
New South Wales	45-54	Visitor from QLD	1481
New South Wales	45-54	Visitor from SA	234
New South Wales	45-54	Visitor from TAS	120
New South Wales	45-54	Visitor from VIC	978
New South Wales	45-54	Visitor from WA	219
New South Wales	45-54	Visitor same SA2	1249
New South Wales	55-64	Home	926378
New South Wales	55-64	Visitor from ACT	824
New South Wales	55-64	Visitor from NSW	24829
New South Wales	55-64	Visitor from NT	52
New South Wales	55-64	Visitor from OT	5
New South Wales	55-64	Visitor from QLD	1785
New South Wales	55-64	Visitor from SA	289
New South Wales	55-64	Visitor from TAS	226
New South Wales	55-64	Visitor from VIC	1413
New South Wales	55-64	Visitor from WA	280
New South Wales	55-64	Visitor same SA2	1621
New South Wales	65-74	Home	754539
New South Wales	65-74	Visitor from ACT	669
New South Wales	65-74	Visitor from NSW	20911
New South Wales	65-74	Visitor from NT	38
New South Wales	65-74	Visitor from OT	15
New South Wales	65-74	Visitor from QLD	1289
New South Wales	65-74	Visitor from SA	324
New South Wales	65-74	Visitor from TAS	257
New South Wales	65-74	Visitor from VIC	2073
New South Wales	65-74	Visitor from WA	256
New South Wales	65-74	Visitor same SA2	2002
New South Wales	75-84	Home	434484
New South Wales	75-84	Visitor from ACT	231
New South Wales	75-84	Visitor from NSW	11470
New South Wales	75-84	Visitor from NT	12
New South Wales	75-84	Visitor from QLD	395
