STE_NAME21	Age	NeedsAssistance	Sex	persons
New South Wales	0-4		F	13526
New South Wales	0-4		M	14182
New South Wales	0-4	0	F	211622
New South Wales	0-4	0	M	222385
New South Wales	0-4	1	F	2200
New South Wales	0-4	1	M	4145
New South Wales	5-14		F	28375
New South Wales	5-14		M	30259
New South Wales	5-14	0	F	445868
New South Wales	5-14	0	M	457175
New South Wales	5-14	1	F	12826
New South Wales	5-14	1	M	27450
New South Wales	15-19		F	11868
New South Wales	15-19		M	13288
New South Wales	15-19	0	F	204357
New South Wales	15-19	0	M	213448
New South Wales	15-19	1	F	5520
New South Wales	15-19	1	M	9416
New South Wales	20-24		F	13881
New South Wales	20-24		M	17298
New South Wales	20-24	0	F	222985
New South Wales	20-24	0	M	230669
New South Wales	20-24	1	F	4511
New South Wales	20-24	1	M	6844
New South Wales	25-34		F	34744
New South Wales	25-34		M	40538
New South Wales	25-34	0	F	534211
New South Wales	25-34	0	M	513233
New South Wales	25-34	1	F	8888
New South Wales	25-34	1	M	10411
New South Wales	35-44		F	30386
New South Wales	35-44		M	35179
New South Wales	35-44	0	F	517434
New South Wales	35-44	0	M	498165
New South Wales	35-44	1	F	11162
New South Wales	35-44	1	M	10841
New South Wales	45-54		F	24896
New South Wales	45-54		M	29257
New South Wales	45-54	0	F	476613
New South Wales	45-54	0	M	452036
New South Wales	45-54	1	F	18283
New South Wales	45-54	1	M	15864
New South Wales	55-64		F	22604
New South Wales	55-64		M	25873
New South Wales	55-64	0	F	441193
New South Wales	55-64	0	M	417183
New South Wales	55-64	1	F	29304
New South Wales	55-64	1	M	25628
New South Wales	65-74		F	19535
New South Wales	65-74		M	20326
New South Wales	65-74	0	F	347030
New South Wales	65-74	0	M	324144
New South Wales	65-74	1	F	41138
New South Wales	65-74	1	M	36545
New South Wales	75-84		F	16170
New South Wales	75-84		M	13930
New South Wales	75-84	0	F	167911
New South Wales	75-84	0	M	157646
New South Wales	75-84	1	F	56131
New South Wales	75-84	1	M	39739
New South Wales	85+		F	14676
New South Wales	85+		M	7972
New South Wales	85+	0	F	39993
New South Wales	85+	0	M	33402
New South Wales	85+	1	F	58153
New South Wales	85+	1	M	29704
Victoria	0-4		F	9951
Victoria	0-4		M	10245
Victoria	0-4	0	F	171429
Victoria	0-4	0	M	179244
Victoria	0-4	1	F	1844
Victoria	0-4	1	M	3190
Victoria	5-14		F	20617
Victoria	5-14		M	22010
Victoria	5-14	0	F	353737
Victoria	5-14	0	M	362828
Victoria	5-14	1	F	11207
Victoria	5-14	1	M	23154
Victoria	15-19		F	8760
Victoria	15-19		M	9348
Victoria	15-19	0	F	163055
Victoria	15-19	0	M	169346
Victoria	15-19	1	F	4869
Victoria	15-19	1	M	7819
Victoria	20-24		F	10296
Victoria	20-24		M	12615
Victoria	20-24	0	F	185474
Victoria	20-24	0	M	192354
Victoria	20-24	1	F	4029
Victoria	20-24	1	M	5561
Victoria	25-34		F	27157
Victoria	25-34		M	31314
Victoria	25-34	0	F	456897
Victoria	25-34	0	M	442888
Victoria	25-34	1	F	8440
Victoria	25-34	1	M	8803
Victoria	35-44		F	23329
Victoria	35-44		M	26326
Victoria	35-44	0	F	432626
Victoria	35-44	0	M	417299
Victoria	35-44	1	F	10068
Victoria	35-44	1	M	9085
Victoria	45-54		F	19117
Victoria	45-54		M	21885
Victoria	45-54	0	F	389621
Victoria	45-54	0	M	367480
Victoria	45-54	1	F	15819
Victoria	45-54	1	M	12962
Victoria	55-64		F	16867
Victoria	55-64		M	18543
Victoria	55-64	0	F	344889
Victoria	55-64	0	M	323384
Victoria	55-64	1	F	23558
Victoria	55-64	1	M	19311
Victoria	65-74		F	14599
Victoria	65-74		M	14765
Victoria	65-74	0	F	268780
Victoria	65-74	0	M	247207
Victoria	65-74	1	F	33147
Victoria	65-74	1	M	27058
Victoria	75-84		F	10674
Victoria	75-84		M	9651
Victoria	75-84	0	F	127564
Victoria	75-84	0	M	118468
Victoria	75-84	1	F	46635
Victoria	75-84	1	M	31801
Victoria	85+		F	8096
Victoria	85+		M	4749
Victoria	85+	0	F	30241
Victoria	85+	0	M	25679
Victoria	85+	1	F	49116
Victoria	85+	1	M	24589
Queensland	0-4		F	8339
Queensland	0-4		M	8993
Queensland	0-4	0	F	131759
Queensland	0-4	0	M	138811
Queensland	0-4	1	F	1649
Queensland	0-4	1	M	2903
Queensland	5-14		F	19296
Queensland	5-14		M	20763
Queensland	5-14	0	F	295844
Queensland	5-14	0	M	301861
