STE_NAME16	medianTotalPersonalIncome
New South Wales	42276
Victoria	41756
Queensland	40924
South Australia	38168
Western Australia	44096
Tasmania	36452
Northern Territory	48672
Australian Capital Territory	62556
Other Territories	43108
