STE_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
New South Wales			9910
New South Wales		1951	5148
New South Wales		1960	12974
New South Wales		1970	29637
New South Wales		1980	46612
New South Wales		1990	49042
New South Wales		2000	52208
New South Wales		2010	61059
New South Wales		2015	43615
New South Wales		2016	16141
New South Wales		2017	15454
New South Wales		2018	15666
New South Wales		2019	17597
New South Wales		2020	6427
New South Wales		2021	1877
New South Wales	AFG		287
New South Wales	AFG	1970	7
New South Wales	AFG	1980	94
New South Wales	AFG	1990	923
New South Wales	AFG	2000	2858
New South Wales	AFG	2010	4427
New South Wales	AFG	2015	3456
New South Wales	AFG	2016	566
New South Wales	AFG	2017	539
New South Wales	AFG	2018	500
New South Wales	AFG	2019	557
New South Wales	AFG	2020	223
New South Wales	AFG	2021	182
New South Wales	BGD		418
New South Wales	BGD	1970	17
New South Wales	BGD	1980	181
New South Wales	BGD	1990	831
New South Wales	BGD	2000	4136
New South Wales	BGD	2010	11421
New South Wales	BGD	2015	6202
New South Wales	BGD	2016	1331
New South Wales	BGD	2017	1535
New South Wales	BGD	2018	1380
New South Wales	BGD	2019	1317
New South Wales	BGD	2020	597
New South Wales	BGD	2021	241
New South Wales	CAN		254
New South Wales	CAN	1951	61
New South Wales	CAN	1960	184
New South Wales	CAN	1970	972
New South Wales	CAN	1980	1675
New South Wales	CAN	1990	1695
New South Wales	CAN	2000	2077
New South Wales	CAN	2010	3417
New South Wales	CAN	2015	2148
New South Wales	CAN	2016	471
New South Wales	CAN	2017	481
New South Wales	CAN	2018	569
New South Wales	CAN	2019	677
New South Wales	CAN	2020	412
New South Wales	CAN	2021	120
New South Wales	CHN		5697
New South Wales	CHN	1951	467
New South Wales	CHN	1960	1354
New South Wales	CHN	1970	1563
New South Wales	CHN	1980	3134
New South Wales	CHN	1990	27726
New South Wales	CHN	2000	38818
New South Wales	CHN	2010	76654
New South Wales	CHN	2015	42797
New South Wales	CHN	2016	10510
New South Wales	CHN	2017	11738
New South Wales	CHN	2018	10270
New South Wales	CHN	2019	12105
New South Wales	CHN	2020	4047
New South Wales	CHN	2021	721
New South Wales	DEU		920
New South Wales	DEU	1951	3928
New South Wales	DEU	1960	5636
New South Wales	DEU	1970	3323
New South Wales	DEU	1980	2098
New South Wales	DEU	1990	2633
New South Wales	DEU	2000	2254
New South Wales	DEU	2010	3852
New South Wales	DEU	2015	1970
New South Wales	DEU	2016	428
New South Wales	DEU	2017	454
New South Wales	DEU	2018	453
New South Wales	DEU	2019	586
New South Wales	DEU	2020	291
New South Wales	DEU	2021	86
New South Wales	EGY		604
New South Wales	EGY	1951	474
New South Wales	EGY	1960	1376
New South Wales	EGY	1970	3169
New South Wales	EGY	1980	2000
New South Wales	EGY	1990	2810
New South Wales	EGY	2000	2657
New South Wales	EGY	2010	3234
New South Wales	EGY	2015	2386
New South Wales	EGY	2016	525
New South Wales	EGY	2017	604
New South Wales	EGY	2018	517
New South Wales	EGY	2019	479
New South Wales	EGY	2020	210
New South Wales	EGY	2021	90
New South Wales	FJI		903
New South Wales	FJI	1951	85
New South Wales	FJI	1960	227
New South Wales	FJI	1970	554
New South Wales	FJI	1980	2293
New South Wales	FJI	1990	9514
New South Wales	FJI	2000	9140
New South Wales	FJI	2010	7980
New South Wales	FJI	2015	3004
New South Wales	FJI	2016	651
New South Wales	FJI	2017	593
New South Wales	FJI	2018	788
New South Wales	FJI	2019	913
New South Wales	FJI	2020	483
New South Wales	FJI	2021	238
New South Wales	GBR		8079
New South Wales	GBR	1951	6621
New South Wales	GBR	1960	20830
New South Wales	GBR	1970	56804
New South Wales	GBR	1980	36783
New South Wales	GBR	1990	30190
New South Wales	GBR	2000	24657
New South Wales	GBR	2010	43485
New South Wales	GBR	2015	25355
New South Wales	GBR	2016	4821
New South Wales	GBR	2017	4552
New South Wales	GBR	2018	4669
New South Wales	GBR	2019	5113
New South Wales	GBR	2020	2499
New South Wales	GBR	2021	899
New South Wales	GRC		1487
New South Wales	GRC	1951	411
New South Wales	GRC	1960	5850
New South Wales	GRC	1970	14312
New South Wales	GRC	1980	3408
New South Wales	GRC	1990	1009
New South Wales	GRC	2000	628
New South Wales	GRC	2010	506
New South Wales	GRC	2015	1203
New South Wales	GRC	2016	170
New South Wales	GRC	2017	135
New South Wales	GRC	2018	102
New South Wales	GRC	2019	93
New South Wales	GRC	2020	51
New South Wales	GRC	2021	23
New South Wales	HKG		811
New South Wales	HKG	1951	118
New South Wales	HKG	1960	377
New South Wales	HKG	1970	1107
New South Wales	HKG	1980	4401
New South Wales	HKG	1990	12559
New South Wales	HKG	2000	13134
New South Wales	HKG	2010	5968
New South Wales	HKG	2015	3646
New South Wales	HKG	2016	1099
New South Wales	HKG	2017	1163
New South Wales	HKG	2018	1018
New South Wales	HKG	2019	1154
New South Wales	HKG	2020	1128
New South Wales	HKG	2021	442
New South Wales	HRV		500
New South Wales	HRV	1951	112
New South Wales	HRV	1960	1471
New South Wales	HRV	1970	6686
New South Wales	HRV	1980	2138
New South Wales	HRV	1990	890
New South Wales	HRV	2000	2439
New South Wales	HRV	2010	843
New South Wales	HRV	2015	226
New South Wales	HRV	2016	41
New South Wales	HRV	2017	36
New South Wales	HRV	2018	43
New South Wales	HRV	2019	25
New South Wales	HRV	2020	14
New South Wales	HRV	2021	8
New South Wales	IDN		817
New South Wales	IDN	1951	114
New South Wales	IDN	1960	359
New South Wales	IDN	1970	416
New South Wales	IDN	1980	1785
New South Wales	IDN	1990	4320
New South Wales	IDN	2000	7731
New South Wales	IDN	2010	9217
New South Wales	IDN	2015	5207
New South Wales	IDN	2016	1486
New South Wales	IDN	2017	1536
New South Wales	IDN	2018	1743
New South Wales	IDN	2019	2163
New South Wales	IDN	2020	929
New South Wales	IDN	2021	104
New South Wales	IND		3103
New South Wales	IND	1951	350
New South Wales	IND	1960	361
New South Wales	IND	1970	2148
New South Wales	IND	1980	3238
New South Wales	IND	1990	6810
New South Wales	IND	2000	17100
New South Wales	IND	2010	58794
New South Wales	IND	2015	41860
New South Wales	IND	2016	13636
New South Wales	IND	2017	14974
New South Wales	IND	2018	18027
New South Wales	IND	2019	19731
New South Wales	IND	2020	7013
New South Wales	IND	2021	1829
New South Wales	IRL		525
New South Wales	IRL	1951	101
New South Wales	IRL	1960	533
New South Wales	IRL	1970	2081
New South Wales	IRL	1980	2226
New South Wales	IRL	1990	3554
New South Wales	IRL	2000	2733
New South Wales	IRL	2010	5610
New South Wales	IRL	2015	4981
New South Wales	IRL	2016	679
New South Wales	IRL	2017	901
New South Wales	IRL	2018	1086
New South Wales	IRL	2019	1341
New South Wales	IRL	2020	547
New South Wales	IRL	2021	107
New South Wales	IRN		549
New South Wales	IRN	1951	12
New South Wales	IRN	1960	14
New South Wales	IRN	1970	300
New South Wales	IRN	1980	1054
New South Wales	IRN	1990	3562
New South Wales	IRN	2000	3507
New South Wales	IRN	2010	5867
New South Wales	IRN	2015	7865
New South Wales	IRN	2016	964
New South Wales	IRN	2017	1081
New South Wales	IRN	2018	883
New South Wales	IRN	2019	1158
New South Wales	IRN	2020	484
New South Wales	IRN	2021	214
New South Wales	IRQ		884
New South Wales	IRQ	1951	12
New South Wales	IRQ	1960	20
New South Wales	IRQ	1970	722
New South Wales	IRQ	1980	1040
New South Wales	IRQ	1990	1122
New South Wales	IRQ	2000	10345
New South Wales	IRQ	2010	14076
New South Wales	IRQ	2015	10745
New South Wales	IRQ	2016	4693
New South Wales	IRQ	2017	3383
New South Wales	IRQ	2018	2302
New South Wales	IRQ	2019	4838
New South Wales	IRQ	2020	1058
New South Wales	IRQ	2021	102
New South Wales	ITA		2338
New South Wales	ITA	1951	1565
New South Wales	ITA	1960	13578
New South Wales	ITA	1970	15102
New South Wales	ITA	1980	3763
New South Wales	ITA	1990	1441
New South Wales	ITA	2000	1146
New South Wales	ITA	2010	2019
New South Wales	ITA	2015	3386
New South Wales	ITA	2016	621
New South Wales	ITA	2017	621
New South Wales	ITA	2018	590
New South Wales	ITA	2019	729
New South Wales	ITA	2020	253
New South Wales	ITA	2021	51
New South Wales	JPN		379
New South Wales	JPN	1951	36
New South Wales	JPN	1960	140
New South Wales	JPN	1970	174
New South Wales	JPN	1980	533
