STE_NAME16	AustCitizen	persons
New South Wales	0	1316132
New South Wales	1	6756031
Victoria	0	1113670
Victoria	1	5389821
Queensland	0	814179
Queensland	1	4341959
South Australia	0	232419
South Australia	1	1549097
Western Australia	0	456452
Western Australia	1	2203574
Tasmania	0	70414
Tasmania	1	487157
Northern Territory	0	47034
Northern Territory	1	185571
Australian Capital Territory	0	64485
Australian Capital Territory	1	390014
Other Territories	0	1353
Other Territories	1	3435
